"TEMP_chronid","ndb.chronologies.chronologyid","ndb.chronologies.collectionunitid","ndb.chronologies.agemodel","ndb.chronologies.ageboundolder","ndb.chronologies.ageboundyounger","ndb.chronologies.dateprepared","ndb.chronologies.notes","ndb.chronologies.agetypeid","ndb.chronologies.contactid","ndb.chronologies.isdefault","ndb.chronologies.chronologyname"
"TEMP1",46959,4414,"bounds",15214,12804,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP2",46960,4414,"event",14394,13604,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP3",46961,4415,"bounds",14584,8194,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP4",46962,4415,"event",12684,10314,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP5",46963,4416,"bounds",13704,9624,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP6",46964,4416,"event",12354,10974,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP7",46965,4417,"bounds",22424,6804,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP8",46966,4417,"event",22472,6767,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP9",46967,4419,"bounds",15594,5204,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP10",46968,4419,"event",14694,6704,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP11",46969,4420,"bounds",1004,104,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP12",46970,4420,"event",684,414,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP13",46971,4421,"bounds",684,524,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP14",46972,4421,"event",644,564,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP15",46973,4422,"bounds",664,544,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP16",46974,4422,"event",634,584,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP17",46975,4423,"bounds",3064,234,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP18",46976,4423,"event",2184,1114,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP19",46977,4424,"bounds",10694,9484,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP20",46978,4424,"event",10284,9904,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP21",46979,4425,"bounds",8000,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP22",46980,4425,"event",8000,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP23",46981,4426,"bounds",16694,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP24",46982,4426,"event",15574,64,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP25",46983,4427,"bounds",22472,6767,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP26",46984,4427,"event",19797,9582,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP27",46985,4430,"bounds",40754,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP28",46986,4430,"event",27514,7264,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP29",46987,4431,"bounds",46984,-75,45678,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP30",46988,4431,"event",30954,10264,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP31",46989,4432,"bounds",45500,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP32",46990,4432,"event",30900,5900,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP33",46991,4433,"bounds",32484,9084,45683,NA,3,6539,FALSE,"Syverson-Blois"
