"siteid","collectionunitid","sampleid","datasetid","analysisunitid","geochronid","geochrontypeid","agetypeid","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes","depenvtid","sitename","rejected"
244,5601,116781,9747,82004,8938,"Carbon-14","Radiocarbon years BP",11670,300,300,FALSE,NA,"A-3212","Mammuthus dung","",115,"Bechan Cave",FALSE
244,5601,116782,9747,82004,8939,"Carbon-14","Radiocarbon years BP",11870,140,140,FALSE,NA,"AA-1123","dung","",115,"Bechan Cave",FALSE
244,5601,116783,9747,82004,8940,"Carbon-14","Radiocarbon years BP",11850,160,160,FALSE,NA,"A-3296","Mammuthus dung","",115,"Bechan Cave",FALSE
244,5601,116784,9747,82005,8941,"Carbon-14","Radiocarbon years BP",12090,210,210,FALSE,NA,"AA-1113","dung","",115,"Bechan Cave",FALSE
244,5601,116785,9747,82005,8942,"Carbon-14","Radiocarbon years BP",12320,160,160,FALSE,NA,"AA-1114","dung","",115,"Bechan Cave",FALSE
244,5601,116786,9747,82005,8943,"Carbon-14","Radiocarbon years BP",12390,120,120,FALSE,NA,"AA-1110","dung","",115,"Bechan Cave",FALSE
244,5601,116787,9747,82005,8944,"Carbon-14","Radiocarbon years BP",12390,140,140,FALSE,NA,"AA-1122","dung","",115,"Bechan Cave",FALSE
244,5601,116788,9747,82005,8945,"Carbon-14","Radiocarbon years BP",12400,250,250,FALSE,NA,"A-3297","dung","",115,"Bechan Cave",FALSE
244,5601,116789,9747,82005,8946,"Carbon-14","Radiocarbon years BP",12430,150,150,FALSE,NA,"AA-1119","dung","",115,"Bechan Cave",FALSE
244,5601,116790,9747,82005,8947,"Carbon-14","Radiocarbon years BP",12430,300,300,FALSE,NA,"AA-1112","dung","",115,"Bechan Cave",FALSE
244,5601,116791,9747,82005,8948,"Carbon-14","Radiocarbon years BP",12470,140,140,FALSE,NA,"AA-1109","dung","",115,"Bechan Cave",FALSE
244,5601,116792,9747,82005,8949,"Carbon-14","Radiocarbon years BP",12570,100,100,FALSE,NA,"AA-1124","dung","",115,"Bechan Cave",FALSE
244,5601,116793,9747,82005,8950,"Carbon-14","Radiocarbon years BP",12570,130,130,FALSE,NA,"AA-1121","dung","",115,"Bechan Cave",FALSE
244,5601,116794,9747,82005,8951,"Carbon-14","Radiocarbon years BP",12610,140,140,FALSE,NA,"AA-1116","dung","",115,"Bechan Cave",FALSE
244,5601,116795,9747,82005,8952,"Carbon-14","Radiocarbon years BP",12620,130,130,FALSE,NA,"AA-1117","dung","",115,"Bechan Cave",FALSE
244,5601,116796,9747,82005,8953,"Carbon-14","Radiocarbon years BP",12620,220,220,FALSE,NA,"A-3298","Mammuthus dung","",115,"Bechan Cave",FALSE
244,5601,116797,9747,82005,8954,"Carbon-14","Radiocarbon years BP",12880,140,140,FALSE,NA,"AA-1120","dung","",115,"Bechan Cave",FALSE
244,5601,116798,9747,82005,8955,"Carbon-14","Radiocarbon years BP",12900,160,160,FALSE,NA,"A-3213","Mammuthus dung","",115,"Bechan Cave",FALSE
244,5601,116799,9747,82006,8956,"Carbon-14","Radiocarbon years BP",13040,280,280,FALSE,NA,"AA-1111","dung","",115,"Bechan Cave",FALSE
244,5601,116800,9747,82006,8957,"Carbon-14","Radiocarbon years BP",13505,580,580,FALSE,NA,"GX-9371","dung","",115,"Bechan Cave",FALSE
295,7236,118576,10263,84443,10733,"Carbon-14","Radiocarbon years BP",13550,400,400,FALSE,NA,"A-1079","plant matter","Sample located in upper portion of analysis unit.",101,"Boney Spring",FALSE
295,7236,118577,10263,84443,10734,"Carbon-14","Radiocarbon years BP",13700,600,600,FALSE,NA,"M-2211","plant matter","Sample located in upper portion of analysis unit.",101,"Boney Spring",FALSE
295,7236,118578,10263,84443,10735,"Carbon-14","Radiocarbon years BP",16450,200,200,FALSE,NA,"I-4236","wood","Sample located in lower portion of analysis unit.",101,"Boney Spring",FALSE
295,7236,118579,10263,84443,10736,"Carbon-14","Radiocarbon years BP",16580,220,220,FALSE,NA,"I-3922","wood","Sample located in lower portion of analysis unit.",101,"Boney Spring",FALSE
295,7236,118580,10263,84443,10737,"Carbon-14","Radiocarbon years BP",16490,290,290,FALSE,NA,"TX-1477","wood","Sample located in lower portion of analysis unit.",101,"Boney Spring",FALSE
295,7236,118581,10263,84443,10738,"Carbon-14","Radiocarbon years BP",16540,170,170,FALSE,NA,"TX-1478","wood","Sample located in lower portion of analysis unit.",101,"Boney Spring",FALSE
295,7236,118582,10263,84443,10739,"Carbon-14","Radiocarbon years BP",16190,400,400,FALSE,NA,"TX-1629","","",101,"Boney Spring",FALSE
295,7236,118583,10263,84443,10740,"Carbon-14","Radiocarbon years BP",28230,940,940,FALSE,NA,"TX-1473","carbonate","",101,"Boney Spring",FALSE
295,7236,119163,10263,84443,11320,"Carbon-14","Radiocarbon years BP",1910,90,90,FALSE,NA,"Tx-1470","","",101,"Boney Spring",FALSE
295,7236,119164,10263,84443,11321,"Carbon-14","Radiocarbon years BP",1900,80,80,FALSE,NA,"Tx-1471","","",101,"Boney Spring",FALSE
295,7236,119165,10263,84443,11322,"Carbon-14","Radiocarbon years BP",1920,50,50,FALSE,NA,"Tx-1472","","",101,"Boney Spring",FALSE
295,7236,119166,10263,84443,11323,"Carbon-14","Radiocarbon years BP",4200,140,140,FALSE,NA,"A-1076","","",101,"Boney Spring",FALSE
295,7236,119167,10263,84443,11324,"Carbon-14","Radiocarbon years BP",7290,1900,1900,FALSE,NA,"Tx-1466","","",101,"Boney Spring",FALSE
337,4435,115080,9284,80108,7237,"Carbon-14","Radiocarbon years BP",12190,215,215,FALSE,NA,"Uga-666","Picea  wood","",33,"Carter Site",FALSE
