"","obfuscation.problem","ndb.sites.siteid","ndb.sites.sitename","ndb.publications.publicationid","doi","isbn","ndb.publications.citation","ndb.publications.pubtypeid","ndb.collectionunits.collectionunitid","ndb.collectionunits.handle","discovery","ndb.analysisunits.analysisunitid","ndb.analysisunits.analysisunitname","ndb.geochronology.geochronid","ndb.geochronology.labnumber","ndb.geochronology.age","ndb.geochronology.errorolder","ndb.geochronology.erroryounger","ndb.geochronology.infinite","ndb.geochronology.materialdated","taxonname","ndb.variables.taxonid","elementdated","ndb.variables.variableelementid","ndb.repositoryinstitutions.repositoryid","repository","acronym","ndb.specimens.specimennr","ndb.geochronology.depth","ndb.geochronology.notes","ndb.radiocarbon.radiocarbonmethodid","ndb.radiocarbon.d13C","ndb.radiocarbon.d15N","ndb.radiocarbon.C:N","rejected","ndb.geochronology.agetypeid","ndb.geochronology.geochrontypeid","human","validationnotes","geochronologyid","datasetid","sampleid","datasetid.1","analysisunitid"
"1","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80059,"Brown sand wedge",NA,"AA-1360",10580,100,100,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"date rejected by author",2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,9275,80059
"2","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80059,"Brown sand wedge",NA,"AA-1371",9560,180,180,FALSE,"Charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"date rejected by author",2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,9275,80059
"3","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"AA-1413",8830,120,120,FALSE,"Burned bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"4","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"AA-1367",9150,90,90,FALSE,"Organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"5","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"AA-1366",9890,100,100,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"6","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"AA-1365",8230,100,100,FALSE,"Organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,"date rejected by author",2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,9275,80060
"7","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"AA-1368",11400,190,190,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"date rejected by author",2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,9275,80060
"8","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"A-4700",8639,310,310,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"9","",3536,"Blackwater Draw Loc. 1",NA,"10.1017/S0033822200011413",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"Y-1990",7610,160,160,FALSE,"Bison bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"10","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"Y-2488",8830,160,160,FALSE,"Sediment organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
