"","collectionunitid","chronologyid","chronologyname","ageboundolder","ageboundyounger","agetype","agemodel"
"1",10879,7466,"NEOTOMA 1.1",7417,6941,"Calibrated radiocarbon years BP","linear interpolation"
"2",10924,7510,"Blois et al. 2010",18310,0,"Calibrated radiocarbon years BP","linear regression"
"3",11330,7989,"Faunmap 1",26100,14310,"Calendar years BP","OxCal phase"
"4",11348,8009,"NEOTOMA 1",15701,13995,"Calibrated radiocarbon years BP","individually dated anlaysis unit"
"5",11403,8074,"Neotoma 1",71000,28557,"Calibrated radiocarbon years BP","Individually dated analysis units"
"6",11403,24532,"Faunmap 2.1",29670,27070,"Calendar years BP","Individually dated analysis unit"
"7",11441,8112,"NEOTOMA 1",13393,13175,"Calibrated radiocarbon years BP","individually dated analysis unit: Oxcal phase"
"8",11515,8174,"NEOTOMA 1",12796,12657,"Calibrated radiocarbon years BP","individually dated analysis unit"
"9",11552,8214,"Shelter Cave Midden",41550,36560,"Calibrated radiocarbon years BP","individually dated analysis unit"
"10",11555,8215,"Neotoma 1",12800,7000,"Calibrated radiocarbon years BP","OxCal multiple phase model"
"11",11771,8417,"NEOTOMA 1.0",22145,19199,"Calibrated radiocarbon years BP","individually dated analysis unit"
"12",11848,8496,"NEOTOMA 1",15187,13190,"Calibrated radiocarbon years BP","individually dated analysis unit"
"13",11865,8518,"NEOTOMA 1",32627,29541,"Calibrated radiocarbon years BP","individually dated analysis unit"
"14",11866,8519,"NEOTOMA 1",7418,6568,"Calibrated radiocarbon years BP","individually dated analysis unit"
"15",11953,8629,"NEOTOMA 1",25605,19063,"Calibrated radiocarbon years BP","individually dated analysis unit"
"16",13353,9972,"Neotoma 1",10860,1737,"Calibrated radiocarbon years BP","Bacon"
"17",13356,9977,"Alaskan Archaeofaunas 2",550,480,"Calibrated radiocarbon years BP","individually dated analysis units"
"18",13444,10045,"Calibrated Age @2sigma",12890,12030,"Calibrated radiocarbon years BP","individually dated analysis units"
"19",13445,10046,"Calibrated Age @2sigma",13160,12020,"Calibrated radiocarbon years BP","individually dated analysis units"
"20",13446,10047,"Calibrated Age @2sigma",12640,11250,"Calibrated radiocarbon years BP","individually dated analysis units"
"21",13447,10048,"Calibrated Age @2sigma",12050,11310,"Calibrated radiocarbon years BP","individually dated analysis units"
"22",13479,10083,"Chron 1",20370,16300,"Calibrated radiocarbon years BP","individually dated analysis units"
"23",13480,10084,"Chron 1",18110,16530,"Calibrated radiocarbon years BP","individually dated analysis units"
"24",13481,10085,"Chron 1",25530,19050,"Calibrated radiocarbon years BP","individually dated analysis units"
"25",13496,10101,"Chron 1",21870,17410,"Calibrated radiocarbon years BP","individually dated anlysis units"
"26",13497,10102,"Chron 1",19550,18510,"Calibrated radiocarbon years BP","individually dated anlysis units"
"27",14886,11494,"Neotoma 1",42005,9744,"Calibrated radiocarbon years BP","Individually dated analysis units"
"28",14886,24936,"Faunmap 2.1",42010,40920,"Calendar years BP","Individually dated analysis unit"
"29",15293,11953,"Tremayne 2011",3980,3730,"Calendar years BP","one-sigma range of calibrated dates"
"30",15295,11955,"Shirar 2009",550,250,"Calendar years BP","individually dated analysis units"
"31",15296,11956,"Hall 1971",372,372,"Calendar years BP","Individually dated analysis unit"
"32",15299,11958,"Etnier",7113,6444,"Calendar years BP","Individually dated analysis unit"
"33",15302,11961,"Chron 1",3160,2750,"Calibrated radiocarbon years BP","individually dated analysis units"
"34",15303,11962,"Chron 1",5440,4850,"Calibrated radiocarbon years BP","individually dated analysis units"
"35",15304,11963,"Chron 1",650,300,"Calibrated radiocarbon years BP","individually dated analysis units"
"36",15305,11964,"Chron 1",2310,1550,"Calibrated radiocarbon years BP","individually dated analysis units"
"37",15306,11965,"Chron 1",2310,1860,"Calibrated radiocarbon years BP","individually dated analysis units"
"38",15307,11966,"Chron 1",3720,2170,"Calibrated radiocarbon years BP","individually dated analysis units"
"39",15308,11967,"Chron 1",2340,1940,"Calibrated radiocarbon years BP","individually dated analysis units"
"40",15309,11968,"Chron 1",300,0,"Calibrated radiocarbon years BP","individually dated analysis units"
"41",15310,11969,"Chron 1",300,-10,"Calibrated radiocarbon years BP","individually dated analysis units"
"42",15311,11970,"Chron 1",2440,1980,"Calibrated radiocarbon years BP","individually dated analysis units"
"43",15312,11971,"Chron 1",660,520,"Calibrated radiocarbon years BP","individually dated analysis units"
"44",15313,11972,"Chron 1",670,310,"Calibrated radiocarbon years BP","individually dated analysis units"
"45",15314,11973,"Chron 1",430,-10,"Calibrated radiocarbon years BP","individually dated analysis units"
"46",15315,11974,"Chron 1",4410,3630,"Calibrated radiocarbon years BP","individually dated analysis units"
"47",15317,11975,"Chron 1",1950,1410,"Calibrated radiocarbon years BP","individually dated analysis units"
"48",15318,11976,"Chron 1",2950,2350,"Calibrated radiocarbon years BP","individually dated analysis units"
"49",15319,11977,"Chron 1",1890,1600,"Calibrated radiocarbon years BP","individually dated analysis units"
"50",15320,11978,"Chron 1",660,470,"Calibrated radiocarbon years BP","individually dated analysis units"
"51",15321,11979,"Chron 1",9080,8530,"Calibrated radiocarbon years BP","individually dated analysis units"
"52",15323,11981,"Chron 1",2710,2170,"Calibrated radiocarbon years BP","individually dated analysis units"
"53",15324,11982,"Chron 1",4810,4080,"Calibrated radiocarbon years BP","individually dated analysis units"
"54",15325,11983,"Chron 1",5710,5300,"Calibrated radiocarbon years BP","individually dated analysis units"
"55",15326,11984,"Chron 1",2300,1620,"Calibrated radiocarbon years BP","individually dated analysis units"
"56",15327,11985,"Chron 1",5910,5320,"Calibrated radiocarbon years BP","individually dated analysis units"
"57",15328,11986,"Chron 1",1710,1310,"Calibrated radiocarbon years BP","individually dated analysis units"
"58",15329,11987,"Chron 1",660,310,"Calibrated radiocarbon years BP","individually dated analysis units"
"59",15330,11988,"Chron 1",520,280,"Calibrated radiocarbon years BP","individually dated analysis units"
"60",15331,11989,"Chron 1",2290,1710,"Calibrated radiocarbon years BP","individually dated analysis units"
"61",15332,11990,"Chron 1",2730,2150,"Calibrated radiocarbon years BP","individually dated analysis units"
"62",15333,11991,"Chron 1",640,460,"Calibrated radiocarbon years BP","individually dated analysis units"
"63",15334,11992,"Chron 1",2100,1610,"Calibrated radiocarbon years BP","individually dated analysis units"
"64",15335,11993,"Chron 1",3720,3250,"Calibrated radiocarbon years BP","individually dated analysis units"
"65",15336,11994,"Chron 1",1290,990,"Calibrated radiocarbon years BP","individually dated analysis units"
"66",15337,11995,"Chron 1",2110,1520,"Calibrated radiocarbon years BP","individually dated analysis units"
"67",15338,11996,"Chron 1",2040,1720,"Calibrated radiocarbon years BP","individually dated analysis units"
"68",15339,11997,"Chron 1",2770,2370,"Calibrated radiocarbon years BP","individually dated analysis units"
"69",15342,12002,"Chron 1",550,-10,"Calibrated radiocarbon years BP","individualy dated analysis units"
"70",15343,12003,"Chron 1",10390,9460,"Calibrated radiocarbon years BP","individually dated analysis units"
"71",15344,12004,"Chron 1",11960,9080,"Calibrated radiocarbon years BP","individually dated analysis units"
"72",15346,12005,"Chron 1",9250,8210,"Calibrated radiocarbon years BP","individually dated analysis units"
"73",15347,12006,"Chron 1",11100,9950,"Calibrated radiocarbon years BP","individually dated analysis units"
"74",15348,12007,"Chron 1",430,-10,"Calibrated radiocarbon years BP","individually dated analysis units"
"75",15354,12013,"Chron 1",17180,14270,"Calibrated radiocarbon years BP","individually dated analysis units"
"76",15356,12015,"Chron 1",1370,990,"Calibrated radiocarbon years BP","individually dated analysis units"
"77",15357,12016,"Chron 1",1900,1290,"Calibrated radiocarbon years BP","individually dated analysis units"
"78",15358,12017,"Chron 1",11070,9460,"Calibrated radiocarbon years BP","individually dated analysis units"
"79",15359,12018,"Chron 1",31290,27620,"Calibrated radiocarbon years BP","individually dated analysis units"
"80",15360,12019,"Chron 1",7700,6800,"Calibrated radiocarbon years BP","individually dated analysis units"
"81",15361,12020,"Chron 1",10700,8990,"Calibrated radiocarbon years BP","individually dated analysis units"
"82",15362,12021,"Brown",510,310,"Calibrated radiocarbon years BP","Individually dated analysis unit"
