"","taxonid","taxoncode","taxonname","author","valid","highertaxonid","extinct","taxagroupid","publicationid","validatorid","validatedate","notes"
"67",6261,"Myc.co","Myocastor coypus",NA,TRUE,6867,FALSE,"MAM",1531,NA,NA,NA
"325",6262,"Myc.sp","Myocastor sp.",NA,TRUE,6867,FALSE,"MAM",1531,NA,NA,NA
"388",6263,"Mycdae","Myocastoridae",NA,TRUE,6462,FALSE,"MAM",1531,NA,NA,NA
"2756",52880,"Nes","Nesoryzomys","Heller, 1904",TRUE,6835,FALSE,"MAM",NA,NA,NA,NA
"5314",5828,"Ali.sp","Alilepus sp.","Dice, 1931",TRUE,6760,TRUE,"MAM",5064,44,"2012-09-27T00:00:00.000Z",NA
"5315",5829,"Ali.va","Alilepus vagus","Gazin, 1934",TRUE,6760,TRUE,"MAM",5064,44,"2012-06-14T00:00:00.000Z",NA
"5316",5830,"Ali.wi","Alilepus wilsoni","White, 1991",TRUE,6760,TRUE,"MAM",5064,44,"2012-09-27T00:00:00.000Z",NA
"5317",5831,"All.pl","Allophaiomys pliocaenicus","Kormos, 1932",TRUE,5832,TRUE,"MAM",1536,44,"2012-07-20T00:00:00.000Z","McKenna and Bell (1997) synonymyze Allophaiomys with Microtus. [ECG 25 Jul 2007]"
"5318",5832,"All","Allophaiomys","Kormos, 1932",TRUE,6711,TRUE,"MAM",1536,44,"2012-07-20T00:00:00.000Z","McKenna and Bell (1997) synonymyze Allophaiomys with Microtus. [ECG 25 Jul 2007]"
"5321",5835,"Amm.ha","Ammospermophilus harrisii","(Audubon & Bachman, 1854)",TRUE,6761,FALSE,"MAM",1530,44,"2012-08-13T00:00:00.000Z",NA
"5322",5836,"Amm.in","Ammospermophilus interpres","(Merriam, 1890)",TRUE,6761,FALSE,"MAM",1530,44,"2012-08-13T00:00:00.000Z",NA
"5323",5837,"Amm.le","Ammospermophilus leucurus","(Merriam, 1889)",TRUE,6761,FALSE,"MAM",1530,44,"2012-08-13T00:00:00.000Z",NA
"5324",5838,"Amm.ne","Ammospermophilus nelsoni","(Merriam, 1893)",TRUE,6761,FALSE,"MAM",1530,44,"2012-08-13T00:00:00.000Z",NA
"5325",5839,"Amm.sp","Ammospermophilus sp.","Merriam, 1892",TRUE,6761,FALSE,"MAM",1530,44,"2012-08-13T00:00:00.000Z",NA
"5332",5846,"Apl.ru","Aplodontia rufa",NA,TRUE,6765,FALSE,"MAM",1518,NA,NA,NA
"5333",5847,"Apl.sp","Aplodontia sp.",NA,TRUE,6765,FALSE,"MAM",1518,NA,NA,NA
"5334",5848,"Apldae","Aplodontiidae",NA,TRUE,6462,FALSE,"MAM",1518,NA,NA,NA
"5340",5854,"Ato.te","Atopomys texensis",NA,TRUE,6768,TRUE,"MAM",1539,NA,NA,NA
"5341",5855,"Azt.ag","Aztlanolagus agilis","Russell & Harris, 1986",TRUE,6769,TRUE,"MAM",5064,44,"2012-10-31T00:00:00.000Z",NA
"5343",5857,"Bai.sp","Baiomys sp.","True, 1894",TRUE,6770,FALSE,"MAM",1524,44,"2012-11-27T00:00:00.000Z",NA
"5344",5858,"Bai.ta","Baiomys taylori","(Thomas, 1887)",TRUE,6770,FALSE,"MAM",1524,44,"2012-11-27T00:00:00.000Z",NA
"5356",5875,"Bla.br","Blarina brevicauda","(Say, 1823)",TRUE,6775,FALSE,"MAM",1522,44,"2012-11-28T00:00:00.000Z",NA
"5357",5876,"Bla.ca","Blarina carolinensis","(Bachman, 1837)",TRUE,6775,FALSE,"MAM",1522,44,"2012-11-28T00:00:00.000Z",NA
"5358",5877,"Bla.hy","Blarina hylophaga","Elliot, 1899",TRUE,6775,FALSE,"MAM",1522,44,"2012-11-28T00:00:00.000Z",NA
"5360",5879,"Bla.sp","Blarina sp.","Gray, 1838",TRUE,6775,FALSE,"MAM",1522,44,"2012-11-28T00:00:00.000Z",NA
"5375",5890,"Bra.id","Brachylagus idahoensis","(Merriam, 1891)",TRUE,6782,FALSE,"MAM",1520,44,"2012-10-31T00:00:00.000Z",NA
"5385",5900,"Cal.sp","Calomys sp.","Waterhouse, 1837",TRUE,6786,FALSE,"MAM",1524,44,"2012-06-06T00:00:00.000Z",NA
"5412",5927,"Cas.ca","Castor californicus","Kellogg, 1911",TRUE,6792,TRUE,"MAM",5062,44,"2012-11-30T00:00:00.000Z",NA
"5413",5928,"Cas.cn","Castor canadensis","Kuhl, 1820",TRUE,6792,FALSE,"MAM",1519,44,"2012-11-30T00:00:00.000Z",NA
"5414",5929,"Cas.sp","Castor sp.","Linnaeus, 1758",TRUE,6792,FALSE,"MAM",1519,44,"2012-11-30T00:00:00.000Z",NA
"5415",5930,"Casdae","Castoridae","Hemprich, 1820",TRUE,6462,FALSE,"MAM",1519,44,"2012-11-30T00:00:00.000Z",NA
"5416",5931,"Css.le","Castoroides leiseyorum","Morgan & White, 1995",TRUE,6793,TRUE,"MAM",1566,44,"2012-06-26T00:00:00.000Z",NA
"5417",5932,"Css.oh","Castoroides ohioensis","Foster, 1838",TRUE,6793,TRUE,"MAM",1541,44,"2012-06-26T00:00:00.000Z",NA
"5424",5947,"Cnd.cr","Condylura cristata","(Linnaeus, 1758)",TRUE,6798,FALSE,"MAM",1522,44,"2013-02-20T00:00:00.000Z",NA
"5425",5948,"Cnd.sp","Condylura sp.","Illiger, 1811",TRUE,6798,FALSE,"MAM",1522,44,"2013-02-20T00:00:00.000Z",NA
"5429",5952,"Cra.sp","Cratogeomys sp.","Merriam, 1895",TRUE,6800,FALSE,"MAM",1525,44,"2012-06-18T00:00:00.000Z",NA
"5430",5953,"Crcdae","Cricetidae","Fischer, 1817",TRUE,6462,FALSE,"MAM",1524,44,"2012-07-30T00:00:00.000Z",NA
"5431",5954,"Crp.pa","Cryptotis parva","(Say, 1823)",TRUE,6801,FALSE,"MAM",1522,44,"2012-11-28T00:00:00.000Z",NA
"5432",5955,"Crp.sp","Cryptotis sp.","Pomel, 1848",TRUE,6801,FALSE,"MAM",1522,44,"2012-11-28T00:00:00.000Z",NA
"5437",5960,"Cyn.gu","Cynomys gunnisoni","(Baird, 1855)",TRUE,6804,FALSE,"MAM",1530,44,"2012-08-10T00:00:00.000Z",NA
"5438",5961,"Cyn.le","Cynomys leucurus","Merriam, 1890",TRUE,6804,FALSE,"MAM",1530,44,"2012-08-10T00:00:00.000Z",NA
"5439",5962,"Cyn.lu","Cynomys ludovicianus","Ord, 1815",TRUE,6804,FALSE,"MAM",1530,44,"2012-08-10T00:00:00.000Z",NA
"5440",5963,"Cyn.sp","Cynomys sp.","Rafinesque, 1817",TRUE,6804,FALSE,"MAM",1530,44,"2012-08-10T00:00:00.000Z",NA
"5441",5964,"Cyn.pa","Cynomys parvidens","J.A. Allen, 1905",TRUE,6804,FALSE,"MAM",1530,44,"2012-08-10T00:00:00.000Z",NA
"5443",5966,"Das.be","Dasypus bellus",NA,TRUE,6806,FALSE,"MAM",1541,NA,NA,NA
"5444",5967,"Das.no","Dasypus novemcinctus",NA,TRUE,6806,FALSE,"MAM",1513,NA,NA,NA
"5445",5968,"Das.sp","Dasypus sp.",NA,TRUE,6806,FALSE,"MAM",1513,NA,NA,NA
"5451",5974,"Dcx.gr","Dicrostonyx groenlandicus","(Traill, 1823)",TRUE,6710,FALSE,"MAM",1524,44,"2012-11-07T00:00:00.000Z",NA
"5452",5975,"Dcx.hu","Dicrostonyx hudsonius","(Pallas, 1778)",TRUE,6710,FALSE,"MAM",1524,44,"2012-11-07T00:00:00.000Z",NA
"5453",5976,"Dcx.sp","Dicrostonyx sp.","Gloger, 1841",TRUE,6710,FALSE,"MAM",1524,44,"2012-11-07T00:00:00.000Z",NA
"5457",5977,"Dcx.to","Dicrostonyx torquatus","(Pallas, 1778)",TRUE,6710,FALSE,"MAM",1524,44,"2012-11-07T00:00:00.000Z","According to Musser & Carleton (in Wilson & Reeder, 2005), Dicrostonyx torquatus was ""once believed to encompass most or all New World populations...but karyotypic and breeding evidence...supports strict application of D. torquatus for only Eurasian populations."" Thus, D. torquatus identified from North American sites is probably another species. Fulton et al. (2013, Molecular Ecology) used aDNA to indentify D.richardsoni from two sites in South Dakota and Iowa. The specimens from the Iowa site were previously assigned to D. torquatus. [E.C. Grimm, 1 Apr 2013]
"
"5458",5978,"Diddae","Didelphidae",NA,TRUE,6712,FALSE,"MAM",1514,NA,NA,NA
"5459",5979,"Did.sp","Didelphis sp.",NA,TRUE,6713,TRUE,"MAM",1514,NA,NA,NA
"5460",5980,"Did.ma","Didelphis marsupialis",NA,TRUE,6713,FALSE,"MAM",1514,NA,NA,NA
"5461",5981,"Did.vi","Didelphis virginiana",NA,TRUE,6713,FALSE,"MAM",1514,NA,NA,NA
"5467",5987,"Dip.ag","Dipodomys agilis","Gambel, 1848",TRUE,6717,FALSE,"MAM",1526,44,"2012-08-17T00:00:00.000Z",NA
"5468",5988,"Dip.ca","Dipodomys californicus","Merriam, 1890",TRUE,6717,FALSE,"MAM",1526,44,"2012-08-17T00:00:00.000Z",NA
