"siteid","collectionunitid","datasetid","datasettype"
244,5601,5746,"vertebrate"
244,5601,9747,"geochron"
295,7236,7381,"vertebrate"
295,7236,10263,"geochron"
295,7236,10898,NA
337,4435,4580,"vertebrate"
337,4435,9284,"geochron"
490,5017,5162,"vertebrate"
490,5017,9563,"geochron"
490,5017,10659,NA
1135,4491,4636,"vertebrate"
1135,4491,9316,"geochron"
1361,7237,7382,"vertebrate"
1361,7237,10264,"geochron"
1482,7276,7421,"vertebrate"
1482,7276,10267,"geochron"
1757,1756,1815,NA
1757,1756,6781,"vertebrate"
1757,1756,8444,"geochron"
3531,4414,4559,"vertebrate"
3531,4414,9270,"geochron"
3532,4415,4560,"vertebrate"
3532,4415,9271,"geochron"
3533,4416,4561,"vertebrate"
3533,4416,9272,"geochron"
3534,4417,4562,"vertebrate"
3534,4417,9273,"geochron"
3535,4418,4563,"vertebrate"
3535,4418,9274,"geochron"
3536,4419,4564,"vertebrate"
3536,4419,9275,"geochron"
3537,4420,4565,"vertebrate"
3537,4420,9276,"geochron"
3538,4421,4566,"vertebrate"
3538,4421,9277,"geochron"
3539,4422,4567,"vertebrate"
3539,4422,61351,"geochron"
3540,4423,4568,"vertebrate"
3540,4423,61352,"geochron"
3541,4424,4569,"vertebrate"
3541,4424,9278,"geochron"
3542,4425,4570,"vertebrate"
3542,4425,9279,"geochron"
3542,4425,10602,NA
3543,4426,4571,"vertebrate"
3543,4426,9280,"geochron"
3543,4426,59175,"vertebrate"
3543,4426,59176,"vertebrate"
3543,4426,59177,"geochron"
3544,4427,4572,"vertebrate"
3544,4427,9281,"geochron"
3546,4430,4575,"vertebrate"
3546,4430,9282,"geochron"
3546,4431,4576,"vertebrate"
3546,4431,61521,"geochron"
3546,4432,4577,"vertebrate"
3546,4432,61522,"geochron"
3546,4433,4578,"vertebrate"
3546,4433,9283,"geochron"
3549,4437,4582,"vertebrate"
3549,4437,9285,"geochron"
3549,4437,59185,"vertebrate"
3550,4438,4583,"vertebrate"
3550,4438,9286,"geochron"
3550,4438,10604,NA
3551,4439,4584,"vertebrate"
3551,4439,9287,"geochron"
3552,4440,4585,"vertebrate"
3552,4440,9288,"geochron"
3553,4441,4586,"vertebrate"
3553,4441,9289,"geochron"
3554,4442,4587,"vertebrate"
3554,4442,9290,"geochron"
3554,4442,59186,"geochron"
3555,4443,4588,"vertebrate"
3555,4443,61353,"geochron"
3557,4445,4590,"vertebrate"
3557,4445,9291,"geochron"
3558,4446,4591,"vertebrate"
3558,4446,9292,"geochron"
3558,35355,49230,"geochron"
3558,35355,49231,"vertebrate"
3558,44550,61220,"geochron"
3558,44550,61221,"vertebrate"
3559,4447,4592,"vertebrate"
3559,4447,9293,"geochron"
3560,4448,4593,"vertebrate"
3560,4448,9294,"geochron"
3561,4449,4594,"vertebrate"
3561,4449,9295,"geochron"
3562,4450,4595,"vertebrate"
3562,4450,9296,"geochron"
3563,35348,49213,"geochron"
3563,35348,49214,"vertebrate"
3564,4454,4599,"vertebrate"
3564,4454,9297,"geochron"
3565,4455,4600,"vertebrate"
3565,4455,9298,"geochron"
3566,4456,4601,"vertebrate"
3566,4456,9299,"geochron"
3567,4457,4602,"vertebrate"
3567,4457,9300,"geochron"
3568,4458,4603,"vertebrate"
3568,4458,61354,"geochron"
3569,4460,4605,"vertebrate"
3569,4460,9301,"geochron"
3569,4461,4606,"vertebrate"
3569,4461,9302,"geochron"
3569,10924,14261,"geochron"
3569,10924,14262,"vertebrate"
3571,4463,4608,"vertebrate"
3571,4463,9303,"geochron"
3572,4465,4610,"vertebrate"
3572,4465,9304,"geochron"
3574,4467,4612,"vertebrate"
3574,4467,9305,"geochron"
3575,4468,4613,"vertebrate"
3575,4468,9306,"geochron"
3577,4470,4615,"vertebrate"
3577,4470,9307,"geochron"
3578,4471,4616,"vertebrate"
3578,4471,9308,"geochron"
3579,4472,4617,"vertebrate"
3579,4472,9309,"geochron"
3579,4472,10606,NA
3581,4476,4621,"vertebrate"
3581,4476,9310,"geochron"
3584,4481,4626,"vertebrate"
3584,4481,9311,"geochron"
3586,4483,4628,"vertebrate"
3586,4483,9312,"geochron"
3587,4484,4629,"vertebrate"
3587,4484,9313,"geochron"
3591,4488,4633,"vertebrate"
3591,4488,9314,"geochron"
3593,4490,4635,"vertebrate"
3593,4490,9315,"geochron"
3595,4492,4637,"vertebrate"
3595,4492,9317,"geochron"
3596,4493,4638,"vertebrate"
3596,4493,9318,"geochron"
3597,4494,4639,"vertebrate"
3597,4494,9319,"geochron"
3600,4497,4642,"vertebrate"
3600,4497,9320,"geochron"
3601,4498,4643,"vertebrate"
3601,4498,9321,"geochron"
3602,4499,4644,"vertebrate"
3602,4499,9322,"geochron"
3603,4500,4645,"vertebrate"
3603,4500,9323,"geochron"
3604,4501,4646,"vertebrate"
3604,4501,61355,"geochron"
3606,4503,4648,"vertebrate"
3606,4503,9324,"geochron"
3607,4504,4649,"vertebrate"
3607,4504,9325,"geochron"
3608,4505,4650,"vertebrate"
3608,4505,9326,"geochron"
3611,4508,4653,"vertebrate"
3611,4508,9327,"geochron"
3612,4509,4654,"vertebrate"
3612,4509,9328,"geochron"
3617,4514,4659,"vertebrate"
3617,4514,9329,"geochron"
3624,4520,4665,"vertebrate"
3624,4520,61356,"geochron"
3627,4523,4668,"vertebrate"
3627,4523,61357,"geochron"
3629,4525,4670,"vertebrate"
3629,4525,61358,"geochron"
3633,4528,4673,"vertebrate"
3633,4528,9330,"geochron"
3634,4529,4674,"vertebrate"
3634,4529,9331,"geochron"
3636,4531,4676,"vertebrate"
3636,4531,61359,"geochron"
3638,4533,4678,"vertebrate"
3638,4533,9332,"geochron"
3640,4535,4680,"vertebrate"
3640,4535,9333,"geochron"
3641,4536,4681,"vertebrate"
3641,4536,9334,"geochron"
3642,4537,4682,"vertebrate"
3642,4537,9335,"geochron"
3643,4538,4683,"vertebrate"
3643,4538,61360,"geochron"
3644,4539,4684,"vertebrate"
3644,4539,9336,"geochron"
3645,4540,4685,"vertebrate"
3645,4540,61361,"geochron"
3646,4541,4686,"vertebrate"
3646,4541,9337,"geochron"
3647,4542,4687,"vertebrate"
3647,4542,9338,"geochron"
3649,4544,4689,"vertebrate"
3649,4544,9339,"geochron"
3652,4553,4698,"vertebrate"
3652,4553,9340,"geochron"
3653,4554,4699,"vertebrate"
3653,4554,9341,"geochron"
3663,4564,4709,"vertebrate"
3663,4564,61362,"geochron"
3664,4565,4710,"vertebrate"
3664,4565,9342,"geochron"
3665,4566,4711,"vertebrate"
3665,4566,10608,NA
3665,4566,61363,"geochron"
3666,4567,4712,"vertebrate"
3666,4567,9343,"geochron"
3666,4567,10609,NA
3667,4568,4713,"vertebrate"
3667,4568,61364,"geochron"
3669,4570,4715,"vertebrate"
3669,4570,61365,"geochron"
3670,4571,4716,"vertebrate"
3670,4571,9344,"geochron"
3672,4577,4722,"vertebrate"
3672,4577,9345,"geochron"
3673,4579,4724,"vertebrate"
3673,4579,60146,"geochron"
3673,44097,60696,"geochron"
3673,44097,60697,"vertebrate"
3673,44098,60698,"geochron"
3673,44098,60699,"vertebrate"
3673,44099,60700,"geochron"
3673,44099,60701,"vertebrate"
3673,44100,60702,"geochron"
3673,44100,60703,"vertebrate"
3673,44101,60704,"geochron"
3673,44101,60705,"vertebrate"
3673,44102,60706,"geochron"
3673,44102,60707,"vertebrate"
3675,4581,4726,"vertebrate"
3675,4581,9347,"geochron"
3676,4582,4727,"vertebrate"
3676,4582,9348,"geochron"
3677,7685,10357,"geochron"
3677,7685,13058,"vertebrate"
3680,4592,4737,"vertebrate"
3680,4592,9349,"geochron"
3681,4593,4738,"vertebrate"
3681,4593,9350,"geochron"
3682,4594,4739,"vertebrate"
3682,4594,9351,"geochron"
3683,4595,4740,"vertebrate"
3683,4595,9352,"geochron"
3684,4596,4741,"vertebrate"
3684,4596,9353,"geochron"
3685,4597,4742,"vertebrate"
3685,4597,9354,"geochron"
3686,4599,4744,"vertebrate"
3686,4599,61366,"geochron"
3687,4600,4745,"vertebrate"
3687,4600,61367,"geochron"
3689,4602,4747,"vertebrate"
3689,4602,9355,"geochron"
3690,4603,4748,"vertebrate"
3690,4603,9356,"geochron"
3691,4604,4749,"vertebrate"
3691,4604,9357,"geochron"
3692,4605,4750,"vertebrate"
3692,4605,9358,"geochron"
3693,4606,4751,"vertebrate"
3693,4606,9359,"geochron"
3694,4607,4752,"vertebrate"
3694,4607,9360,"geochron"
3695,4608,4753,"vertebrate"
3695,4608,9361,"geochron"
3695,4609,4754,"vertebrate"
3695,4609,9362,"geochron"
3696,4610,4755,"vertebrate"
3696,4610,9363,"geochron"
3697,4611,4756,"vertebrate"
3697,4611,61368,"geochron"
3699,4613,4758,"vertebrate"
3699,4613,9364,"geochron"
3700,4614,4759,"vertebrate"
3700,4614,9365,"geochron"
3700,4614,10611,NA
3702,4616,4761,"vertebrate"
3702,4616,9366,"geochron"
3703,4617,4762,"vertebrate"
3703,4617,9367,"geochron"
3704,4618,4763,"vertebrate"
3704,4618,9368,"geochron"
3705,4619,4764,"vertebrate"
3705,4619,9369,"geochron"
3706,4620,4765,"vertebrate"
3706,4620,9370,"geochron"
3707,4621,4766,"vertebrate"
3707,4621,9371,"geochron"
3708,4622,4767,"vertebrate"
3708,4622,9372,"geochron"
3710,4624,4769,"vertebrate"
3710,4624,9373,"geochron"
3711,4625,4770,"vertebrate"
3711,4625,9374,"geochron"
3713,4627,4772,"vertebrate"
3713,4627,9375,"geochron"
3714,4628,4773,"vertebrate"
3714,4628,9376,"geochron"
3715,4629,4774,"vertebrate"
3715,4629,9377,"geochron"
3718,4632,4777,"vertebrate"
3718,4632,9378,"geochron"
3720,4634,4779,"vertebrate"
3720,4634,9379,"geochron"
3721,4635,4780,"vertebrate"
3721,4635,9380,"geochron"
3723,4637,4782,"vertebrate"
3723,4637,9381,"geochron"
3726,4640,4785,"vertebrate"
3726,4640,9382,"geochron"
3727,4641,4786,"vertebrate"
3727,4641,9383,"geochron"
3728,4642,4787,"vertebrate"
3728,4642,9384,"geochron"
3729,4643,4788,"vertebrate"
3729,4643,9385,"geochron"
3730,4644,4789,"vertebrate"
3730,4644,9386,"geochron"
3732,4646,4791,"vertebrate"
3732,4646,9387,"geochron"
3732,4646,10613,NA
