ndb.sites.siteid,ndb.sites.sitename,ndb.publications.publicationid,doi,isbn,ndb.publications.citation,ndb.publications.pubtypeid,ndb.collectionunits.collectionunitid,ndb.collectionunits.handle,discovery,ndb.analysisunits.analysisunitid,ndb.analysisunits.analysisunitname,ndb.geochronology.geochronid,ndb.geochronology.labnumber,ndb.geochronology.age,ndb.geochronology.errorolder,ndb.geochronology.erroryounger,ndb.geochronology.infinite,ndb.geochronology.materialdated,taxonname,ndb.variables.taxonid,elementdated,ndb.variables.variableelementid,ndb.repositoryinstitutions.repositoryid,repository,acronym,ndb.specimens.specimennr,ndb.geochronology.depth,ndb.geochronology.notes,ndb.radiocarbon.radiocarbonmethodid,ndb.radiocarbon.d13C,ndb.radiocarbon.d15N,ndb.radiocarbon.C:N,rejected,ndb.geochronology.agetypeid,ndb.geochronology.geochrontypeid,human,validationnotes,geochronologyid,datasetid,sampleid,identifier_check,ndb.datasets.datasetid,geochrondsid_check,ndb.samples.sampleid,valid_geochron
3844,Delaware Canyon 34CD258D,NA,10.1080/2052546.1986.11909335,NA,NA,NA,4769,DECN258D,literature search,91799,Unknown,7685,SMU-635,1010,64,64,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caddo paleosol,NA,5,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9436,Valid (existing),115528,Valid (updated)
3844,Delaware Canyon 34CD258D,NA,10.1002/gea.3340010303,NA,NA,NA,4769,DECN258D,literature search,91799,Unknown,7686,SMU-733,1410,100,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caddo paleosol,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9436,Valid (existing),115529,Valid (updated)
3844,Delaware Canyon 34CD258D,NA,10.1080/2052546.1986.11909335,NA,NA,NA,4769,DECN258D,literature search,91799,Unknown,7687,SMU-636,1790,72,72,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caddo paleosol,NA,5,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9436,Valid (existing),115530,Valid (updated)
3846,Delaware Canyon 34CD258B,NA,10.1002/gea.3340010303,NA,NA,NA,4771,DECN258B,literature search,91800,Unknown,7688,UGa-2651,1705,70,70,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caddo paleosol,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9437,Valid (existing),115531,Valid (updated)
3846,Delaware Canyon 34CD258B,NA,10.1002/gea.3340010303,NA,NA,NA,4771,DECN258B,literature search,91800,Unknown,7689,UGa-2652,1800,90,90,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caddo paleosol,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9437,Valid (existing),115532,Valid (updated)
3846,Delaware Canyon 34CD258B,NA,10.1002/gea.3340010303,NA,NA,NA,4771,DECN258B,literature search,91800,Unknown,7690,UGa-2653,1750,95,95,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caddo paleosol,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9437,Valid (existing),115533,Valid (updated)
4703,U-Bar Cave [LA5689],NA,10.58799/NMG-v7n4.74,NA,NA,NA,5747,UBARCAVE,literature search,91849,Red Guano Unit,9304,A-4128,31150,NA,NA,TRUE,guano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9863,Valid (existing),117147,Valid (updated)
3566,Brynjulfson Cave #1,16894,NA,NA,NA,NA,4456,BRYNJLF1,researcher contributed,80165,Assemblage,11333,CAMS-16594,31270,410,410,FALSE,"bone, Dasypus bellus Osteoderm, ISM- Illinois State Museum UMVP 856",Dasypus bellus,NA,Osteoderm,NA,67,Illinois State Museum,NA,UMVP 856,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,9299,Valid (existing),119176,Valid (updated)
10040,Picture Cave,NA,10.5066/P91UOARW,NA,NA,NA,11340,PC1A,literature search,104739,Picture Cave 1A,13562,A-1706,1530,120,120,FALSE,Opuntia phaeacantha and Opuntia violacea seeds (Opuntia phaeacantha-type seeds),"Opuntia phaeacantha, Opuntia violacea",NA,seeds,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,15042,Valid (existing),135872,Valid (updated)
10358,Innerkip Site [AhHe-VP],NA,10.1016/0033-5894(87)90040-8,NA,NA,NA,11720,INNERKIP,literature search,116061,Assemblage,14845,BGS-134A,33670,830,830,FALSE,peat,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mud overlying fossiliferous peat, below late Wisconsinan till; date rejected as contaminated",1,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,15753,Valid (existing),148096,Valid (updated)
