"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
4460,7046,"TEMP52",21234,23254,19524,NA,80175,"TEMP1"
4460,7045,"TEMP51",18834,19974,17854,NA,80175,"TEMP1"
4461,7048,"TEMP54",21274,23294,19564,NA,80176,"TEMP3"
4461,7047,"TEMP53",18814,19944,17844,NA,80176,"TEMP3"
10924,12738,"CAMS 137747",2924,3034,2824,NA,98153,"TEMP5"
10924,12739,"CAMS 135971",7734,7834,7664,NA,98155,"TEMP5"
10924,12740,"CAMS 137748",9764,10064,9594,NA,98157,"TEMP5"
10924,12741,"CAMS 135969",5694,5894,5494,NA,98159,"TEMP5"
10924,12742,"CAMS 135970",13224,13404,13084,NA,98160,"TEMP5"
10924,12743,"CAMS 135968",21454,22254,20634,NA,98162,"TEMP5"
4460,7046,"TEMP52",21234,23254,19524,NA,80175,"TEMP2"
4460,7045,"TEMP51",18834,19974,17854,NA,80175,"TEMP2"
4461,7048,"TEMP54",21274,23294,19564,NA,80176,"TEMP4"
4461,7047,"TEMP53",18814,19944,17844,NA,80176,"TEMP4"
10924,12738,"CAMS 137747",2924,3034,2824,NA,98153,"TEMP6"
10924,12739,"CAMS 135971",7734,7834,7664,NA,98155,"TEMP6"
10924,12740,"CAMS 137748",9764,10064,9594,NA,98157,"TEMP6"
10924,12741,"CAMS 135969",5694,5894,5494,NA,98159,"TEMP6"
10924,12742,"CAMS 135970",13224,13404,13084,NA,98160,"TEMP6"
10924,12743,"CAMS 135968",21454,22254,20634,NA,98162,"TEMP6"
10924,NA,NA,NA,2854,0,23,98150,"TEMP6"
10924,NA,NA,NA,2654,0,23,98150,"TEMP5"
10924,NA,NA,NA,2854,0,23,98151,"TEMP6"
10924,NA,NA,NA,2654,0,23,98151,"TEMP5"
10924,NA,NA,NA,2854,0,23,98152,"TEMP6"
10924,NA,NA,NA,2654,0,23,98152,"TEMP5"
10924,NA,NA,NA,7484,2854,23,98154,"TEMP6"
10924,NA,NA,NA,7484,3244,23,98154,"TEMP5"
10924,NA,NA,NA,9374,8004,23,98156,"TEMP6"
10924,NA,NA,NA,9374,8004,23,98156,"TEMP5"
10924,NA,NA,NA,13074,9944,23,98158,"TEMP6"
10924,NA,NA,NA,12724,10234,23,98158,"TEMP5"
10924,NA,NA,NA,18094,13394,23,98161,"TEMP6"
10924,NA,NA,NA,16464,13744,23,98161,"TEMP5"
10924,NA,NA,NA,26000,19574,37,98163,"TEMP6"
10924,NA,NA,NA,26000,21204,37,98163,"TEMP5"
10924,NA,NA,NA,26000,19574,37,98164,"TEMP6"
10924,NA,NA,NA,26000,21204,37,98164,"TEMP5"
