"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
4460,80175,"event",19974,21324,18884,"computed","TEMP2"
4460,80175,"bounds",NA,23794,16564,"computed","TEMP1"
4461,80176,"event",20014,21454,18844,"computed","TEMP4"
4461,80176,"bounds",NA,24084,16334,"computed","TEMP3"
10924,98153,"event",2934,3034,2854,"computed","TEMP6"
10924,98155,"event",7734,7824,7664,"computed","TEMP6"
10924,98157,"event",9784,9944,9654,"computed","TEMP6"
10924,98159,"event",5684,5894,5464,"computed","TEMP6"
10924,98160,"event",13234,13404,13074,"computed","TEMP6"
10924,98162,"event",21464,22194,20754,"computed","TEMP6"
10924,98153,"bounds",NA,3234,2654,"computed","TEMP5"
10924,98155,"bounds",NA,8004,7484,"computed","TEMP5"
10924,98157,"bounds",NA,10234,9374,"computed","TEMP5"
10924,98159,"bounds",NA,6394,4964,"computed","TEMP5"
10924,98160,"bounds",NA,13774,12704,"computed","TEMP5"
10924,98162,"bounds",NA,23684,19274,"computed","TEMP5"
10924,98150,"event",NA,2854,0,"inferred","TEMP6"
10924,98150,"bounds",NA,2654,0,"inferred","TEMP5"
10924,98151,"event",NA,2854,0,"inferred","TEMP6"
10924,98151,"bounds",NA,2654,0,"inferred","TEMP5"
10924,98152,"event",NA,2854,0,"inferred","TEMP6"
10924,98152,"bounds",NA,2654,0,"inferred","TEMP5"
10924,98154,"event",NA,7484,2854,"inferred","TEMP6"
10924,98154,"bounds",NA,7484,3244,"inferred","TEMP5"
10924,98156,"event",NA,9374,8004,"inferred","TEMP6"
10924,98156,"bounds",NA,9374,8004,"inferred","TEMP5"
10924,98158,"event",NA,13074,9944,"inferred","TEMP6"
10924,98158,"bounds",NA,12724,10234,"inferred","TEMP5"
10924,98161,"event",NA,18094,13394,"inferred","TEMP6"
10924,98161,"bounds",NA,16464,13744,"inferred","TEMP5"
10924,98163,"event",NA,26000,19574,"inferred","TEMP6"
10924,98163,"bounds",NA,26000,21204,"inferred","TEMP5"
10924,98164,"event",NA,26000,19574,"inferred","TEMP6"
10924,98164,"bounds",NA,26000,21204,"inferred","TEMP5"
