"sitename_ndb","siteid_ndb","site_name_card","site_identifier_card","longitude_card","long_ndb","latitude_card","lat_ndb","drop"
"DgOv-94",14370,"","DgOv-94",-111.583333,-111.58333,49.083333,49.08333,FALSE
"Kenney [DjPk-1]",16310,"Kenney","DjPk-1",-113.75,-113.75,49.55,49.55,FALSE
"Bill White [DJPo-25]",14331,"Bill White","DjPo-25",-114.355556,-114.41667,49.575,49.58333,FALSE
"Maple Leaf [DjPo-47]",16436,"Maple Leaf","DjPo-47",-114.358333,-114.41667,49.566667,49.58333,FALSE
"DjPo-81",16188,"","DjPo-81",-114.366667,-114.41667,49.580556,49.58333,FALSE
"Crowsnest Dancehall [DjPp-3]",14363,"Crowsnest Dance Hall","DjPp-3",-114.583333,-114.58333,49.583333,49.58333,FALSE
"Eagle Cave [DjPp-100]",3587,"Eagle Cave","DjPp-100",-114.556667,-114.64,49.636111,49.63611,FALSE
"DkPi-2",16043,"","DkPi-2",-113.416667,-113.41667,49.75,49.75,FALSE
"Head Smashed-In Bison Jump [DKPj-1]",23721,"Head-Smashed-In Buffalo Jump","DkPj-1",-113.645833,-113.64583,49.711111,49.71111,FALSE
"Ross [DiPd-3]",16344,"Ross","DlPd-3",-112.583333,-112.58333,49.916667,49.91667,FALSE
"Lindoe [EaOp-100]",16437,"Lindoe","EaOp-100",-110.6,-110.6,50.133333,50.13333,FALSE
"Galt Island Bluff [EaOq-VP]",16470,"Galt Island Bluff","EaOq-?",-110.82,-110.81944,50.076667,50.07722,FALSE
"Cactus Flower Local Fauna [EbOp-16]",14342,"Cactus Flower","EbOp-16",-110.633333,-110.63333,50.25,50.25,FALSE
"Cattle Brown [EcPn-2]",14346,"Cattle Baron","EcPn-2",-114.25,-114.25,50.416667,50.41667,FALSE
"Metke [EdPl-10]",16321,"Metke","EdPl-10",-113.916667,-113.91667,50.583333,50.58333,FALSE
"EhPv-VP [Banff]",23569,"Banff","EhPv-?",-115.5,-115.5,51.28,51.28,FALSE
"Vermilion Lakes Site Locality A [EhPv-8]",16109,"Vermilion Lakes Loc. A (153R)","EhPv-8",-115.65,-115.65,51.166667,51.16667,FALSE
"The Hiching Post Ranch site [EiPv-VP]",16155,"Hitching Post Ranch","EiPo-51",-114.483333,-114.48333,51.4,51.4,FALSE
"Seward Site [EjPc-VP]",14357,"Seward","EjPc-?",-112.333333,-112.33333,51.566667,51.56667,FALSE
"Anderson [FdOt-1]",14322,"Anderson","FdOt-1",-111.25,-111.25,52.583333,52.58333,FALSE
"Boss Hill [FdPe-4]",14336,"Boss Hill","FdPe-4",-112.75,-112.75,52.583333,52.58333,FALSE
"Strathcona [FjPi-29]",16340,"Strathcona","FjPi-29",-113.383333,-113.38333,53.55,53.55,FALSE
"Whitemud Creek",14393,"Whitemud Creek","FiPj-?-1",-113.533333,-113.66667,53.416667,53.5,FALSE
"Galt Island Bluff [EaOq-VP]",16470,"Galt Island Bluff","EaOq-VP",-110.82,-110.81944,50.076667,50.07722,FALSE
"Brown [BeCs-3]",21270,"Brown","BeCs-3",-63.133333,-63.13333,44.791667,44.78333,FALSE
"Northeast Point [BgDq-7]",16536,"Northeast Point","BgDq-7",-66.816667,-66.81667,45.041667,45.04167,FALSE
"Teacher's Cove [BgDr-11]",16333,"Teacher's Cove","BgDr-11",-67,-67,45.15,45.15,FALSE
"Partridge Island [BgDr-48]",22061,"Partridge Island","BgDr-48",-66.928333,-66.92833,45.024444,45.02444,FALSE
"Minister's Island [BgDs-10]",23892,"Minister's Island","BgDs-10",-67.05,-67.05,45.1,45.1,FALSE
"McAleenan [BhDr-1]",21558,"McAleenan","BhDr-1",-66.95,-66.95,45.175,45.175,FALSE
"Fulton Island [BlDn-12]",23545,"Fulton Island","BlDn-12",-66.251389,-66.25139,45.901389,45.90139,FALSE
"Boyd's Cove [DiAp-3]",17801,"Boyd's Cove","DiAp-3",-54.633333,-54.63333,49.466667,49.46667,FALSE
"Merle Gear [GfBw-6]",21752,"Merle Gear","GfBw-6",-59.8,-59.8,54.9,54.9,FALSE
"DjPq-1",23608,"","DjPq-1",-114.638889,-114.75,49.633333,49.58333,FALSE
"DjPq-2",23451,"","DjPq-2",-114.625,-114.75,49.6375,49.58333,FALSE
"Bowker Creek [DcRt-13]",14338,"Bowker Creek","DcRt-13",-123.3,-123.3,48.433333,48.43333,FALSE
"Esquimalt Lagoon 11T [Fort Rodd Hill] [DcRu-2]",23547,"Fort Rodd Hill","DcRu-65",-123.466667,-123.48333,48.433333,48.41667,FALSE
"Pender Canal [DeRt-1]",22075,"Pender Canal","DeRt-1",-123.255556,-123.25556,48.763889,48.76389,FALSE
"Harbour House [DfRu-3]",23727,"Harbour House","DfRu-3",-123.416667,-123.41667,48.916667,48.91667,FALSE
"Montague Harbour [DfRu-13]",22648,"Montague Harbour","DfRu-13",-123.4,-123.4,48.890278,48.89028,FALSE
"St. Mungo Cannery [DgRr-2]",16528,"St. Mungo Cannery","DgRr-2",-122.941667,-122.94167,49.156944,49.15694,FALSE
"Glenrose Cannery [DgRr-6]",23624,"Glenrose Cannery","DgRr-6",-122.933333,-122.93333,49.1625,49.1625,FALSE
"Dionisio Point [DgRv-3]",23752,"Dionisio Point","DgRv-3",-123.575,-123.575,49.01166,49.75,FALSE
"Belcarra Park [DhRr-6] [Tum-tumay-whueton]",16721,"təmtəmíxʷtən","DhRr-6",-122.926111,-122.5,49.312778,49.3,FALSE
"Musqueam Northeast [DhRt-4]",22028,"Musqueam Northeast","DhRt-4",-123.2,-123.2,49.225,49.225,FALSE
"Point Grey [DhRt-5]",22168,"Point Grey","DhRt-5",-123.241667,-123.24167,49.275,49.275,FALSE
"Locarno Beach [DhRt-6]",21466,"Locarno Beach","DhRt-6",-123.183333,-123.18333,49.216667,49.21667,FALSE
"Whalen [DfRs-3]",16156,"Whalen Farm","DfRs-3",-124.8333,-123.03333,48.75,49,FALSE
"Chesterman Beach [DgSl-61]",23739,"Chesterman Beach","DgSl-61",-125.883333,-125.88333,49.116667,49.11667,FALSE
"Shoemaker Bay [DhSe-2]",16429,"Shoemaker Bay","DhSe-2",-124.833333,-124.83333,49.255,49.25556,FALSE
"Little Qualicum River [DiSc-1]",23743,"Little Qualicum River","DiSc-1",-124.466667,-124.46667,49.366667,49.36667,FALSE
"Deep Bay [DiSe-7]",23430,"Deep Bay","DiSe-7",-124.723333,-124.72361,49.466667,49.46667,FALSE
"DiSe-10",15995,"","DiSe-10",-124.766667,-124.76667,49.483333,49.48333,FALSE
"Loon Cave [DiSo-9]",21493,"Loon Cave","DiSo-9",-126.44,-126.44583,49.47,49.47083,FALSE
"Yaksis Cave [DiSo-16]",16431,"Yaksis Cave","DiSo-16",-126.436667,-126.4375,49.475,49.475,FALSE
"Millard Creek [DkSb-2]",21758,"Millard Creek","DkSf-2",-124.973611,-124.97361,49.666667,49.66667,FALSE
"Baker [EdQx-43]",17177,"Baker","EdQx-43",-119.916667,-119.91667,50.583333,50.58333,FALSE
"EdQx-44",23532,"","EdQx-44",-119.916667,-119.91667,50.583333,50.58333,FALSE
"Knoll [EdRg-2]",22442,"Knoll","EdRg-2",-121.05,-121.05,50.504444,50.50444,FALSE
"EeRh-61",23542,"Rattlesnake Hill","EeRh-61",-121.166667,-121.16667,50.774444,50.77444,FALSE
"Bell [EeRk-4]",16649,"Bell","EeRk-4",-121.825,-121.825,50.743056,50.74306,FALSE
"Keatley Creek [EeRl-7]",22459,"Keatley Creek","EeRl-7",-121.916667,-121.91667,50.75,50.75,FALSE
"Namu [ElSx-1]",22031,"Namu","ElSx-1",-127.863889,-127.86389,51.858889,51.85889,FALSE
"McNaughton Island [ElTb-10]",24049,"McNaughton Island","ElTb-10",-128.225,-128.225,51.975,51.975,FALSE
"Nitlitliquotlank [FaSu-2]",22048,"Nitlitliquotlank","FaSu-2",-127.375,-127.375,52.116667,52.11667,FALSE
"Daniktco [FdSi-3]",22749,"Daniktco","FdSi-3",-125.866667,-125.86667,52.533333,52.53333,FALSE
"McNichol Creek [GcTo-6]",21560,"MCNichol Creek","GcTo-6",-130.342905,-130.35,54.333784,54.34167,FALSE
"Clayhurst Gravel Pit [Clayhurst Crossing] [HaRa-VP]",22533,"Clayhurst Gravel Pit","HaRa-VP",-120.083333,-120.08333,56.127778,56.12778,FALSE
"Farrell Creek [HaRk-1]",23575,"Farrell Creek","HaRk-1",-121.716667,-121.71667,56.116667,56.11667,FALSE
"Portage Pass [HaRm-VP]",22360,"Portage Mountain moraine","HaRm-VP",-122.111667,-120,56.01,56,FALSE
"Charlie Lake Cave [HbRf39]",4766,"Charlie Lake Cave","HbRf-39",-120.9375,-120.9375,56.276389,56.27639,FALSE
"HfTo-VP",23442,"","HfTo-VP",-130.35,-130.35,56.938889,56.93889,FALSE
"Assiniboine River [DlLj-YP]",16769,"","DlLj-?",-97.5,-97.5,49.841667,49.84167,FALSE
"Brockinton [DhMg-7]",23606,"Brockinton","DhMg-7",-101.025,-101.025,49.208333,49.20833,FALSE
"Cherry Point [DkMe-10]",23737,"Cherry Point","DkMe-10",-100.738889,-100.73889,49.701389,49.70139,FALSE
"Stott [DlMa-1]",16337,"Stott","DlMa-1",-100.086111,-100.08611,49.875,49.875,FALSE
"Whitemouth Falls [EaLa-1]",16159,"Whitemouth Falls","EaLa-1",-96.033333,-96.03333,50.119444,50.11944,FALSE
"Bjorklund [EaLa-3]",17843,"Bjorklund","EaLa-3",-96.0375,-96.0375,50.120833,50.12083,FALSE
"Lockport [EaLf-1]",21470,"Lockport","EaLf-1",-96.916667,-96.91667,50.083333,50.08333,FALSE
"Wright [EaLg-9]",16258,"Wright","EaLg-9",-97.0375,-97.0375,50.025,50.025,FALSE
"Miniota [EaMg-12]",21760,"Miniota","EaMg-12",-101.061944,-101.03306,50.160278,50.14333,FALSE
"Pas Reserve [FkMh-5]",22063,"Pas Reserve","FkMh-5",-101.258333,-101.25833,53.826389,53.82639,FALSE
"Notigi Lake [GlLu-4]",16535,"Notigi Lake UNR 23","GlLu-4",-99.379167,-99.37917,55.904167,55.90417,FALSE
"Kame Hills [HiLp-1]",22455,"Kame Hills","HiLp-1",-98.558333,-98.55833,57.491667,57.49167,FALSE
"Seahorse [IeKn-6]",16421,"Seahorse Gully","IeKn-6",-94.25,-94.25,58.75,58.75,FALSE
"Egenolf Lake [IgLx-1]",23544,"Egenolf Lake","IgLx-1",-99.866667,-99.86667,59.05,59.05,FALSE
"Desnoyers [JePw-1]",23435,"Desnoyers","JePw-1",-115.773333,-115.77333,60.821667,60.82167,FALSE
"Grotte Valerie [JhTm-VP]",23405,"Grotte Valerie","JhTm-?",-124.091667,-124.08333,61.291667,61.28333,FALSE
"Annie Lake [JcUr-3]",16036,"Annie Lake","JcUr-3",-134.985278,-134.98528,60.334167,60.33417,FALSE
"Thandlat Mountain [JdVb-2]",16326,"Thandlät Mountain","JdVb-2",-136.256944,-136.23722,60.597222,60.60833,FALSE
"Canyon [JfVg-1]",23602,"Canyon","JfVg-1",-137.063889,-137.06389,60.86,60.86,FALSE
"Narrows [KeNo-2]",22033,"Narrows","KeNo-2",-108.941667,-108.94167,62.7925,62.7925,FALSE
"Martin Zheh [MeTp-4]",21536,"Martin Zheh","MeTp-4",-133.104167,-133.10417,66.780278,66.78028,FALSE
"Whirl Lake [MjTp-1]",16158,"Whirl Lake","MjTp-1",-133.225,-133.225,67.507778,67.50778,FALSE
"Whitestone Mammoth",16160,"Whitestone mammoth CRH-43","McVh-?",-138.45,-138.45,66.408333,66.40833,FALSE
"Old Chief [MjKv-7]",16548,"Old Chief","MjVk-7",-139.622222,-139.62222,67.587778,67.58778,FALSE
"Klo-kut [MjVl-1]",22441,"Klo-kut","MjVl-1",-139.675,-139.675,67.569444,67.56944,FALSE
"Gupuk [NiTs-1]",23645,"Gupuk","NiTs-1",-134.043889,-134.04389,69.345833,69.34583,FALSE
"Co-op [OdPp-2]",23622,"Co-op","OdPp-2",-117.325,-117.325,70.590278,70.59028,FALSE
"Bison Skull [OaRw-2]",23597,"Bison Skull","OaRw-2",-127.451667,-127.45167,70.140556,70.14056,FALSE
"Rita Claire [OaRw-3]",23731,"Rita-Claire","OaRw-3",-127.445278,-127.44528,70.140556,70.14056,FALSE
"Crane [ObRv-1]",17782,"Crane","ObRv-1",-127.319167,-127.31917,70.22,70.22,FALSE
"Qugyuk [ObRw-1]",23636,"Qugyuk","ObRw-1",-127.571389,-127.57139,70.236389,70.23639,FALSE
"Tanfield [KdDq-7]",22426,"Tanfield","KdDq-7",-69.55,-69.55,62.65,62.65,FALSE
"Nanook [KdDq-9]",22032,"Nanook","KdDq-9",-69.55,-69.55,62.65,62.65,FALSE
"Kamaiyuk 1 [KfDe-5]",22454,"Kamaiyuk 1","KfDe-5",-65.368889,-65.36889,62.836389,62.83639,FALSE
"T1 [KkHh-1]",22423,"T3 Native Point","KkHh-1",-82.525,-82.525,63.7625,63.7625,FALSE
"Lake [KkHh-2]",21258,"Lake","KkHh-2",-82.495833,-82.49583,63.784722,63.78472,FALSE
"Silumiut [KkJg-1]",16434,"Silumiut","KkJg-1",-90.098611,-90.08333,63.686389,63.68639,FALSE
"Nadlok [MbNs-1]",23720,"Nadlok","MbNs-1",-110.243056,-110.24306,66.2675,66.2675,FALSE
"Netsilik River 2 [NiJp-4]",22038,"Netsilik River 2","NiJp-4",-93.316389,-93.31639,69.386944,69.38694,FALSE
"Lady Franklin Point [NcPd-2]",21232,"99-225 H.17","NcPd-2",-113.2704,-113.20833,68.4875,68.46806,FALSE
"Saatut [PeHa-1]",16409,"Saatut II","PeHa-1",-80.226944,-80.22694,72.734444,72.73444,FALSE
"Nunguvik [PgHb-1]",16539,"Nunguvik","PgHb-1",-80.572222,-80.57222,73.049167,73.04917,FALSE
"Tasealuk [PfJv-2]",16334,"Tasealuk","PfJv-2",-95.154167,-95.15417,72.834722,72.83472,FALSE
"Rocky Point [QkHn-27]",22401,"Rocky Point","QkHn-27",-84.645833,-84.64583,75.686667,75.68667,FALSE
"Tasiarulik [QjJx-10]",16335,"Tasiarulik","QjJx-10",-95.9425,-95.9425,75.548056,75.54806,FALSE
"Brooman Point [QiLd-1]",21269,"Brooman Point","QiLd-1",-97.283333,-97.28333,75.390278,75.39028,FALSE
"QkLh-VP",23732,"","QkLh-?",-98.416667,-98.41667,75.716667,75.75,FALSE
"Thule Winter Site",16287,"Porden Point Brook","RbJr-1",-93.670833,-93.66667,76.26,76.25,FALSE
"Port Refuge [RbJu-1]",22358,"Port Refuge","RbJu-1",-94.633333,-94.63333,76.289444,76.28944,FALSE
"Skraeling Island [SfFk-4]",16444,"Skraeling Island","SfFk-4",-75.598611,-75.59861,78.904167,78.90417,FALSE
"Sverdrup [SfFk-5]",22419,"Sverdrup","SfFk-5",-75.664722,-75.66472,78.916667,78.91667,FALSE
"Eskimobyen [SgFm-4]",23546,"Eskimobyen","SgFm-4",-76.144722,-76.14472,79.119444,79.11944,FALSE
"Bight [SgFm-16]",17504,"Bight","SgFm-16",-76.121667,-76.12167,79.106111,79.10611,FALSE
"McKinley Bay [OaRl-VP]",21559,"Mckinley Bay","OaTi-1",-130.969444,-130.97722,70.112222,70.06222,FALSE
"Bonisteel [AfGu-2]",16736,"Bonisteel","AfGu-___2",-79.416667,-79.41667,42.916667,42.91667,FALSE
"Gunby [AiGx-5]",17187,"Gunby","AiGx-___5",-79.916667,-79.91667,43.416667,43.41667,FALSE
"Boys [AlGs-10]",16780,"Boys","AlGs-__10",-79.075,-79.075,43.895833,43.89583,FALSE
"Newo Asiniak [FbNp-16]",22044,"New","AlGt-__36",-79.225,-106.59306,43.875,52.22361,FALSE
"Robson Road [AaHp-20]",22399,"Robson Road","AaHp-__20",-82.583333,-82.58333,42.083333,42.08333,FALSE
"Bruner-Colasanti [AaHq-8]",21274,"Bruner-Colasanti","AaHq-___8",-82.833333,-82.83333,42,42,FALSE
"Wolfe Creek [AcHm-3]",16249,"Wolfe Creek","AcHm-___3",-82.083333,-82.08333,42.416667,42.41667,FALSE
"Van Bemmel [AcHm-31]",16086,"Van Bemmel","AcHm-__31",-82.083333,-82.08333,42.416667,42.41667,FALSE
"Liahn I [AcHo-1]",21404,"Liahn I","AcHo-___1",-82.416667,-82.41667,42.416667,42.41667,FALSE
"Bruce Boyd [AdHc-4]",21273,"Bruce Boyd","AdHc-4",-80.466667,-80.46667,42.6,42.6,FALSE
"Sherman [AdHl-16]",16427,"Sherman","AdHl-__16",-81.916667,-81.91667,42.583333,42.58333,FALSE
"Dymock [AeHj-2]",23493,"Dymock","AeHj-___2",-81.583333,-81.58333,42.75,42.75,FALSE
"Slack-Caswell [AfHa-1]",16445,"Slack-Caswell","AfHa-___1",-80.165278,-80.16528,42.9125,42.91528,FALSE
"Elliott [AfHc-2]",23112,"Elliott","AfHc-___2",-80.416667,-80.41667,42.916667,42.91667,FALSE
"Boresma [AfHi-121]",16760,"Boresma","AfHi-_121",-81.416111,-81.41611,42.905556,42.90556,FALSE
"Roeland [AfHj-14]",22404,"Roeland","AfHj-__14",-81.583333,-81.58333,42.916667,42.91667,FALSE
"Porteous [AgHb-1]",22361,"Porteous","AgHb-___1",-80.215,-80.2125,43.129167,43.12917,FALSE
"Raymond Reid [AiHa-4]",22382,"Raymond Reid","AiHa-___4",-80.083333,-80.08333,43.416667,43.41667,FALSE
"Dawson Creek [BaGn-16]",23393,"Dawson Creek","BaGn-__16",-78.324722,-78.32472,44.115556,44.11556,FALSE
"Wiacek [BcGw-26]",16161,"Wiacek","BcGw-__26",-79.666667,-79.66667,44.333333,44.33333,FALSE
"Constance Bay 1 [BiGa-2]",16947,"Constance Bay 2","BiGa-___3",-76.066667,-76.07083,45.466667,45.47806,FALSE
"Rocky Ridge [BbHj-16]",22402,"Rocky Ridge","BbHj-__16",-81.583333,-81.58333,44.25,44.25,FALSE
"Wabinosh River [EaJf-1]",16058,"Wabinosh River","EaJf-___1",-88.951667,-88.95167,50.052778,50.05278,FALSE
"Kakago [GkJa-6]",22452,"Kakago","GkJa-___6",-88.05,-88.05,55.783333,55.78333,FALSE
"Innerkip Site [AhHe-VP]",10358,"Innerkip","AhHe-?",-80.716667,-80.71556,43.166667,43.17589,FALSE
"Cadieux [BhFn-7]",22573,"Cadieux","BhFn-7",-74.178333,-74.17833,45.263889,45.26389,FALSE
"Caverne de la Mine [Mine Cave]",19922,"Caverne de la Mine","BiFw-?",-75.850278,-75.85028,45.471667,45.42167,FALSE
"Morrison's Island [BkGg-12]",21940,"Morrison's Island 6","BkGg-12",-77.033333,-77.03333,45.816667,45.81667,FALSE
"Ouellet [DaEk-6]",22054,"Ouellet","DaEk-6",-69.692222,-69.69222,48.095556,48.09556,FALSE
"Lavoie [DbEj-11]",16714,"Lavoie","DbEj-11",-69.55,-69.55,48.2325,48.2325,FALSE
"Nunaingok 1 [JcDe-1]",16537,"Nunaingok 1","JcDe-1",-64.701389,-64.70139,60.354444,60.35444,FALSE
"Baie Deception [KaFh-2]",17173,"Baie Déception","KaFh-2",-74.566667,-74.56667,62.100556,62.10056,FALSE
"Ohituk [KcFr-3A]",16546,"Ohituk","KcFr-3A",-77.923663,-77.92444,62.424988,62.42333,FALSE
"Pita [KcFr-5]",22146,"Pita","KcFr-5",-77.930058,-77.9275,62.418761,62.42083,FALSE
"Lebret [EeMv-26]",23611,"Lebret","EeMw-26",-103.7,-103.66667,50.741667,50.66667,FALSE
