"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
51418,"TX-6537",8144,8494,7804
51428,"TX-6413",5584,5864,5344
51430,"CAMS-35971",13184,13294,13114
51433,"CAMS-9412",13144,13294,12944
51423,"TX-6154",8834,9154,8544
51432,"CAMS-9410",13244,13344,13164
51431,"CAMS-33972",13244,13314,13174
51434,"CAMS-8737",13684,13804,13534
51420,"CAMS-4065",12304,12584,12024
51429,"CAMS-19972",13284,13414,13184
51419,"TX-6137",15634,15994,15294
51424,"TX-7430",18714,18994,18334
51422,"TX-6943",1324,1504,1134
51425,"TX-7191",484,544,334
51421,"TX-6096",14654,15164,14164
51427,"TX-6097",2564,2734,2374
51426,"TX-6752",3414,3584,3224
