"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
8452,"TX-3632",18072,19317,16822
8453,"TX-3633",16642,19622,12422
903014,"AA-4940",23532,23892,23192
903015,"CAMS-1558",22907,23027,22612
903013,"AA-5258",22847,23197,22522
903012,"Beta-22944",8257,9452,7342
903016,"Beta-120100",19792,20007,19607
903017,"Beta-120101",24007,24217,23842
903018,"Beta-120102",19717,19877,19562
903019,"Beta-120104",21687,21942,21437
903020,"Beta-124331",21037,21312,20897
903021,"Beta-124332",20712,20887,20532
903022,"Beta-124333",20797,20962,20582
903023,"Beta-125786",15437,15592,15287
903024,"Beta-125787",17097,17307,16997
903025,"Beta-125788",17152,17322,17032
903026,"Beta-125789",20237,20377,20082
903027,"Beta-125790",17612,17817,17422
903028,"Beta-125791",21587,21782,21397
903029,"Beta-296147",22737,22947,22492
903030,"Beta-297900",19102,19677,18612
903032,"Beta-333097",37437,38582,36772
903031,"UGAMS-10623",34247,34407,34047
903033,"Beta-333113",19277,19437,19127
903034,"UGAMS-11271",16127,16262,15987
903035,"UCIAMS-87759",21287,21692,21012
903037,"UCIAMS-87760",24612,25042,24297
903036,"UGAMS-18966",24437,24597,24257
903038,"UGAMS-11272",24272,24497,24132
