"site_name","site_identifier","siteid.x","sitename","lab_number","age","errorolder","erroryounger","measured_age","ma_sigma","normalized_age","na_sigma"
"Goldstream","AKFAI-VP",23605,"Cripple Creek [AKFAI-VP]","AA-17509",36137,1100,1100,NA,NA,36137,783
"Colorado Creek","AKOPH-VP",13138,"Colorado Creek","Beta-5691",15120,170,170,NA,NA,15090,170
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Cave B [AKBEN001]","Beta-20027",14720,950,950,NA,NA,14270,950
"Deering","AKKTZ023",26998,"Deering 299, [KTZ-00299]","Beta-138562",1250,40,40,NA,NA,1230,40
"Broken Mammoth","AKXBD131",23601,"Broken Mammoth [AKIKR-VP]","CAMS-7203",11060,90,90,NA,NA,11040,80
"Broken Mammoth","AKXBD131",23601,"Broken Mammoth [AKIKR-VP]","CAMS-8261",11500,80,80,NA,NA,11500,80
"Broken Mammoth","AKXBD131",23601,"Broken Mammoth [AKIKR-VP]","CAMS-8261",11420,70,70,NA,NA,11500,80
"Goldstream","AKFAI-VP",23605,"Eva Creek [AKFAI-VP]","I-2116",24400,650,650,NA,NA,24000,650
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-979",2810,110,110,2810,110,2890,110
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-980",9070,150,150,9070,150,9150,150
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-982",1100,100,100,1100,100,1180,100
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-983",2700,110,110,2700,110,2780,110
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-1210",15750,350,350,15750,350,15830,350
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-1289",2160,110,110,2160,110,2240,110
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-1290",2770,110,110,2770,110,2850,110
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-1291",510,100,100,510,100,590,100
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-1327",13010,350,350,13070,280,13150,280
"Trail Creek Cave 9","AKBEN001",16030,"Trail Creek Caves, [BEN-001]","K-1327",13070,280,280,13070,280,13150,280
"Choris","AKKTZ007",22713,"Choris [AKKTZ007]","P-175",2244,133,133,2244,133,2324,133
"Goldstream","AKFAI-VP",23605,"Cripple Creek [AKFAI-VP]","QC-672",26350,6030,6030,NA,NA,26950,NA
"Hahanudan Lake (RkIk-4)","AKMLZ012",27396,"Hahanudan Lake (RkIk-4), [MLZ-00012]","S-921",765,455,455,765,460,845,460
"Hahanudan Lake (RkIk-5)","AKMLZ013",27397,"Hahanudan Lake (RkIk-5), [MLZ-00013], [Two House Site]","S-975",285,95,95,290,100,290,100
"Lost Chicken Creek","AKEAG200",21496,"Lost Chicken Creek","SI-355",26760,300,300,26760,300,26840,300
"Hungry Fox","KIR-00289",11845,"Hungry Fox Site [KIR-289]","Beta-288563",400,40,40,400,NA,470,40
