"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","chronology.agemodel","chroncontrols.notes"
4417,NA,NA,NA,22472,6767,80,80054,"event","inferred: full range of dated units in collection"
4417,NA,NA,NA,16857,12867,23,80054,"bounds","inferred: between Gleysol and Peorian Loess"
4419,NA,NA,NA,13432,6772,80,80058,"event","inferred: full range of dated units in collection"
4419,NA,NA,NA,13732,5232,80,80058,"bounds","inferred: full range of dated units in collection"
4425,NA,NA,NA,1192,0,23,80069,"event","inferred: above Stratum B"
4425,NA,NA,NA,1022,0,23,80069,"bounds","inferred: above Stratum B"
4425,NA,NA,NA,1617,1367,23,80071,"event","inferred: between Strata B and D"
4425,NA,NA,NA,1817,1022,23,80071,"bounds","inferred: range of Strata B and D"
4425,NA,NA,NA,8000,1727,37,80073,"event","inferred: below Stratum D; Mesoindian"
4425,NA,NA,NA,8000,1817,37,80073,"bounds","inferred: below Stratum D; Mesoindian"
4427,NA,NA,NA,16862,12852,23,80095,"event","inferred: between Gleysol and Peorian Loess"
4427,NA,NA,NA,22457,6812,23,80095,"bounds","inferred: between Gleysol and Peorian Loess"
4427,NA,NA,NA,19797,9582,80,80097,"event","inferred: full range of dated units in collection"
4427,NA,NA,NA,22472,6767,80,80097,"bounds","inferred: full range of dated units in collection"
4430,NA,NA,NA,27457,7267,80,352326,"event","inferred: full range of dated units in collection"
4430,NA,NA,NA,40662,-75,80,352326,"bounds","inferred: full range of dated units in collection"
4430,NA,NA,NA,27457,7267,80,352327,"event","inferred: full range of dated units in collection"
4430,NA,NA,NA,40662,-75,80,352327,"bounds","inferred: full range of dated units in collection"
4430,NA,NA,NA,27457,7267,80,352328,"event","inferred: full range of dated units in collection"
4430,NA,NA,NA,40662,-75,80,352328,"bounds","inferred: full range of dated units in collection"
4437,NA,NA,NA,28502,1292,80,80110,"event","inferred: full range of dated units in collection"
4437,NA,NA,NA,30082,-75,80,80110,"bounds","inferred: full range of dated units in collection"
4437,NA,NA,NA,12317,1292,23,80111,"event","inferred: above Hearth II and III"
4437,NA,NA,NA,11002,-75,23,80111,"bounds","inferred: above Hearth II and III"
4437,NA,NA,NA,35000,13687,37,80112,"event","inferred: below Hearth II and III; biostratigraphically &lt;35ka"
