"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","TEMP_chronid"
"4417",80054,"event",NA,22472,6767,"TEMP8"
"4417",80054,"bounds",NA,16857,12867,"TEMP7"
"4419",80058,"event",NA,13432,6772,"TEMP10"
"4419",80058,"bounds",NA,13732,5232,"TEMP9"
"4425",80069,"event",NA,1192,0,"TEMP22"
"4425",80069,"bounds",NA,1022,0,"TEMP21"
"4425",80071,"event",NA,1617,1367,"TEMP22"
"4425",80071,"bounds",NA,1817,1022,"TEMP21"
"4425",80073,"event",NA,8000,1727,"TEMP22"
"4425",80073,"bounds",NA,8000,1817,"TEMP21"
"4427",80095,"event",NA,16862,12852,"TEMP26"
"4427",80095,"bounds",NA,22457,6812,"TEMP25"
"4427",80097,"event",NA,19797,9582,"TEMP26"
"4427",80097,"bounds",NA,22472,6767,"TEMP25"
"4430",352326,"event",NA,27457,7267,"TEMP28"
"4430",352326,"bounds",NA,40662,-75,"TEMP27"
"4430",352327,"event",NA,27457,7267,"TEMP28"
"4430",352327,"bounds",NA,40662,-75,"TEMP27"
"4430",352328,"event",NA,27457,7267,"TEMP28"
"4430",352328,"bounds",NA,40662,-75,"TEMP27"
"4437",80110,"event",NA,28502,1292,"TEMP38"
"4437",80110,"bounds",NA,30082,-75,"TEMP37"
"4437",80111,"event",NA,12317,1292,"TEMP38"
"4437",80111,"bounds",NA,11002,-75,"TEMP37"
"4437",80112,"event",NA,35000,13687,"TEMP38"
"4437",80112,"bounds",NA,35000,14912,"TEMP37"
"4437",80115,"event",NA,12317,1292,"TEMP38"
"4437",80115,"bounds",NA,11002,-75,"TEMP37"
"4437",80116,"event",NA,12317,1292,"TEMP38"
"4437",80116,"bounds",NA,11002,-75,"TEMP37"
"4438",80117,"event",NA,1277,1,"TEMP40"
"4438",80117,"bounds",NA,1247,1,"TEMP39"
"4438",80119,"event",NA,3302,2252,"TEMP40"
"4438",80119,"bounds",NA,3237,2337,"TEMP39"
"4438",80122,"event",NA,1277,1,"TEMP40"
"4438",80122,"bounds",NA,1247,1,"TEMP39"
"4438",80124,"event",NA,1577,1352,"TEMP40"
"4438",80124,"bounds",NA,1542,1387,"TEMP39"
"4438",80125,"event",NA,1577,1352,"TEMP40"
"4438",80125,"bounds",NA,1542,1387,"TEMP39"
"4438",80126,"event",NA,1577,1352,"TEMP40"
"4438",80126,"bounds",NA,1542,1387,"TEMP39"
"4438",80127,"event",NA,1577,1352,"TEMP40"
"4438",80127,"bounds",NA,1542,1387,"TEMP39"
"4438",80128,"event",NA,1577,1352,"TEMP40"
"4438",80128,"bounds",NA,1542,1387,"TEMP39"
"4440",80131,"event",NA,24000,10000,"TEMP44"
"4440",80131,"bounds",NA,24000,10000,"TEMP43"
"4441",80134,"event",NA,35000,10000,"TEMP46"
"4441",80134,"bounds",NA,35000,10000,"TEMP45"
"4443",80140,"event",NA,1300,957,"TEMP50"
"4443",80140,"bounds",NA,1300,1057,"TEMP49"
"4447",80146,"event",27477,27777,27187,"TEMP56"
"4447",80146,"bounds",NA,28462,26497,"TEMP55"
"4447",80148,"event",27477,27777,27187,"TEMP56"
"4447",80148,"bounds",NA,28462,26497,"TEMP55"
"4450",80151,"event",NA,11867,950,"TEMP62"
"4450",80151,"bounds",NA,10872,950,"TEMP61"
"4450",80152,"event",NA,11867,950,"TEMP62"
"4450",80152,"bounds",NA,10872,950,"TEMP61"
"4450",80156,"event",NA,29302,11867,"TEMP62"
"4450",80156,"bounds",NA,36787,10872,"TEMP61"
"4450",80157,"event",NA,29302,11867,"TEMP62"
"4450",80157,"bounds",NA,36787,10872,"TEMP61"
"4450",80159,"event",NA,29302,11867,"TEMP62"
"4450",80159,"bounds",NA,36787,10872,"TEMP61"
"4454",80163,"event",NA,13212,11802,"TEMP64"
"4454",80163,"bounds",NA,14022,11227,"TEMP63"
"4457",80166,"event",NA,997,200,"TEMP70"
"4457",80166,"bounds",NA,997,200,"TEMP69"
"4457",80171,"event",NA,25842,18867,"TEMP70"
"4457",80171,"bounds",NA,19377,19272,"TEMP69"
"4463",80181,"event",NA,2377,1762,"TEMP78"
"4463",80181,"bounds",NA,2362,1792,"TEMP77"
"4463",80182,"event",NA,2377,1762,"TEMP78"
"4463",80182,"bounds",NA,2362,1792,"TEMP77"
"4463",80186,"event",NA,2697,1412,"TEMP78"
"4463",80186,"bounds",NA,2702,1412,"TEMP77"
"4470",80198,"event",NA,8222,1,"TEMP84"
"4470",80198,"bounds",NA,7747,1,"TEMP83"
"4472",80216,"event",NA,35000,14202,"TEMP88"
"4472",80216,"bounds",NA,35000,15467,"TEMP87"
"4472",80217,"event",NA,5417,3642,"TEMP88"
"4472",80217,"bounds",NA,4192,0,"TEMP87"
"4472",80219,"event",NA,13047,6512,"TEMP88"
"4472",80219,"bounds",NA,11777,7732,"TEMP87"
"4472",80220,"event",NA,13047,6512,"TEMP88"
"4472",80220,"bounds",NA,11777,7732,"TEMP87"
"4472",80221,"event",13577,14202,13047,"TEMP88"
"4472",80221,"bounds",NA,15467,11777,"TEMP87"
"4472",80223,"event",13577,14202,13047,"TEMP88"
"4472",80223,"bounds",NA,15467,11777,"TEMP87"
"4472",80224,"event",13577,14202,13047,"TEMP88"
"4472",80224,"bounds",NA,15467,11777,"TEMP87"
"4472",80225,"event",NA,5417,3642,"TEMP88"
"4472",80225,"bounds",NA,4192,0,"TEMP87"
"4472",80226,"event",NA,5417,3642,"TEMP88"
"4472",80226,"bounds",NA,4192,0,"TEMP87"
"4472",80227,"event",NA,5417,3642,"TEMP88"
"4472",80227,"bounds",NA,4192,0,"TEMP87"
"4472",80228,"event",NA,5417,3642,"TEMP88"
"4472",80228,"bounds",NA,4192,0,"TEMP87"
"4472",80229,"event",NA,5417,3642,"TEMP88"
"4472",80229,"bounds",NA,4192,0,"TEMP87"
"4472",80230,"event",NA,5417,3642,"TEMP88"
"4472",80230,"bounds",NA,4192,0,"TEMP87"
"4472",80231,"event",NA,5417,3642,"TEMP88"
"4472",80231,"bounds",NA,4192,0,"TEMP87"
"4472",80232,"event",NA,5417,3642,"TEMP88"
"4472",80232,"bounds",NA,4192,0,"TEMP87"
"4484",80246,"event",NA,24677,2252,"TEMP96"
"4484",80246,"bounds",NA,23322,4407,"TEMP95"
"4484",80248,"event",NA,65000,27217,"TEMP96"
"4484",80248,"bounds",NA,65000,28682,"TEMP95"
"4490",80254,"event",NA,35000,17377,"TEMP100"
"4490",80254,"bounds",NA,35000,17587,"TEMP99"
"4490",80256,"event",NA,17127,9352,"TEMP100"
"4490",80256,"bounds",NA,16912,11012,"TEMP99"
"4490",80257,"event",NA,17127,9352,"TEMP100"
"4490",80257,"bounds",NA,16912,11012,"TEMP99"
"4490",80258,"event",NA,17127,9352,"TEMP100"
"4490",80258,"bounds",NA,16912,11012,"TEMP99"
"4490",80259,"event",NA,17127,9352,"TEMP100"
"4490",80259,"bounds",NA,16912,11012,"TEMP99"
"4490",80260,"event",NA,17127,9352,"TEMP100"
"4490",80260,"bounds",NA,16912,11012,"TEMP99"
"4490",80261,"event",NA,17127,9352,"TEMP100"
"4490",80261,"bounds",NA,16912,11012,"TEMP99"
"4490",80265,"event",NA,2297,0,"TEMP100"
"4490",80265,"bounds",NA,1317,0,"TEMP99"
"4490",80266,"event",NA,3247,0,"TEMP100"
"4490",80266,"bounds",NA,4222,0,"TEMP99"
"4490",80267,"event",NA,5547,2297,"TEMP100"
"4490",80267,"bounds",NA,5907,1317,"TEMP99"
"4490",80268,"event",NA,9352,5207,"TEMP100"
"4490",80268,"bounds",NA,11012,4847,"TEMP99"
"4490",349069,"event",NA,17587,1317,"TEMP100"
"4490",349069,"bounds",NA,17377,2297,"TEMP99"
"4490",350190,"event",NA,17377,2297,"TEMP100"
"4490",350190,"bounds",NA,17587,1317,"TEMP99"
"4490",350720,"event",NA,17587,1317,"TEMP100"
"4490",350720,"bounds",NA,17377,2297,"TEMP99"
"4490",350776,"event",NA,17587,1317,"TEMP100"
"4490",350776,"bounds",NA,17377,2297,"TEMP99"
"4491",80269,"event",NA,41347,26197,"TEMP102"
"4491",80269,"bounds",NA,48497,22772,"TEMP101"
"4491",80270,"event",NA,41347,26197,"TEMP102"
"4491",80270,"bounds",NA,48497,22772,"TEMP101"
"4491",80271,"event",NA,41347,26197,"TEMP102"
"4491",80271,"bounds",NA,48497,22772,"TEMP101"
"4491",80272,"event",NA,41347,26197,"TEMP102"
"4491",80272,"bounds",NA,48497,22772,"TEMP101"
"4491",80276,"event",NA,41347,26197,"TEMP102"
"4491",80276,"bounds",NA,48497,22772,"TEMP101"
"4491",80277,"event",NA,41347,26197,"TEMP102"
"4491",80277,"bounds",NA,48497,22772,"TEMP101"
"4491",80278,"event",NA,41347,26197,"TEMP102"
"4491",80278,"bounds",NA,48497,22772,"TEMP101"
"4491",80279,"event",NA,41347,26197,"TEMP102"
"4491",80279,"bounds",NA,48497,22772,"TEMP101"
"4491",80280,"event",NA,41347,26197,"TEMP102"
"4491",80280,"bounds",NA,48497,22772,"TEMP101"
"4491",80281,"event",NA,41347,26197,"TEMP102"
"4491",80281,"bounds",NA,48497,22772,"TEMP101"
"4491",80282,"event",NA,41347,26197,"TEMP102"
"4491",80282,"bounds",NA,48497,22772,"TEMP101"
"4491",80283,"event",NA,41347,26197,"TEMP102"
"4491",80283,"bounds",NA,48497,22772,"TEMP101"
"4491",80284,"event",NA,41347,26197,"TEMP102"
"4491",80284,"bounds",NA,48497,22772,"TEMP101"
"4491",80285,"event",NA,41347,26197,"TEMP102"
"4491",80285,"bounds",NA,48497,22772,"TEMP101"
"4491",80286,"event",NA,41347,26197,"TEMP102"
"4491",80286,"bounds",NA,48497,22772,"TEMP101"
"4491",80287,"event",NA,41347,26197,"TEMP102"
"4491",80287,"bounds",NA,48497,22772,"TEMP101"
"4491",80288,"event",NA,41347,26197,"TEMP102"
"4491",80288,"bounds",NA,48497,22772,"TEMP101"
"4491",80289,"event",NA,41347,26197,"TEMP102"
"4491",80289,"bounds",NA,48497,22772,"TEMP101"
"4491",80290,"event",NA,41347,26197,"TEMP102"
"4491",80290,"bounds",NA,48497,22772,"TEMP101"
"4491",80291,"event",NA,41347,26197,"TEMP102"
"4491",80291,"bounds",NA,48497,22772,"TEMP101"
"4491",80292,"event",NA,41347,26197,"TEMP102"
"4491",80292,"bounds",NA,48497,22772,"TEMP101"
"4491",80293,"event",NA,41347,26197,"TEMP102"
"4491",80293,"bounds",NA,48497,22772,"TEMP101"
"4493",80296,"event",NA,16702,3672,"TEMP106"
"4493",80296,"bounds",NA,16007,4477,"TEMP105"
"4493",80297,"event",NA,16702,3672,"TEMP106"
"4493",80297,"bounds",NA,16007,4477,"TEMP105"
"4504",80309,"event",NA,482,0,"TEMP122"
"4504",80309,"bounds",NA,-8,-75,"TEMP121"
"4504",80310,"event",NA,10482,3017,"TEMP122"
"4504",80310,"bounds",NA,9147,3597,"TEMP121"
"4504",80311,"event",NA,10482,3017,"TEMP122"
"4504",80311,"bounds",NA,9147,3597,"TEMP121"
"4504",80312,"event",NA,10482,3017,"TEMP122"
"4504",80312,"bounds",NA,9147,3597,"TEMP121"
"4504",80313,"event",NA,10482,3017,"TEMP122"
"4504",80313,"bounds",NA,9147,3597,"TEMP121"
"4504",80314,"event",NA,10482,3017,"TEMP122"
"4504",80314,"bounds",NA,9147,3597,"TEMP121"
"4504",80316,"event",NA,12632,10482,"TEMP122"
"4504",80316,"bounds",NA,14327,9147,"TEMP121"
"4504",80318,"event",NA,14800,12632,"TEMP122"
"4504",80318,"bounds",NA,14800,14327,"TEMP121"
"4504",80319,"event",NA,14800,12622,"TEMP122"
"4504",80319,"bounds",NA,14800,14287,"TEMP121"
"4504",80321,"event",NA,14800,12622,"TEMP122"
"4504",80321,"bounds",NA,14800,14287,"TEMP121"
"4504",80322,"event",NA,14800,12622,"TEMP122"
"4504",80322,"bounds",NA,14800,14287,"TEMP121"
"4504",80323,"event",NA,14800,12622,"TEMP122"
"4504",80323,"bounds",NA,14800,14287,"TEMP121"
"4504",80325,"event",NA,2382,1607,"TEMP122"
"4504",80325,"bounds",NA,3574,864,"TEMP121"
"4504",80326,"event",NA,2382,1607,"TEMP122"
"4504",80326,"bounds",NA,3574,864,"TEMP121"
"4504",80328,"event",NA,3017,2382,"TEMP122"
"4504",80328,"bounds",NA,3597,1792,"TEMP121"
"4504",80330,"event",NA,10482,3017,"TEMP122"
"4504",80330,"bounds",NA,9147,3597,"TEMP121"
"4505",80332,"event",NA,24822,23467,"TEMP124"
"4505",80332,"bounds",NA,24767,23662,"TEMP123"
"4505",80333,"event",NA,24822,23467,"TEMP124"
"4505",80333,"bounds",NA,24767,23662,"TEMP123"
"4505",80335,"event",9747,10212,9297,"TEMP124"
"4505",80335,"bounds",NA,11007,8492,"TEMP123"
"4505",80345,"event",NA,1727,1132,"TEMP124"
"4505",80345,"bounds",NA,1522,1292,"TEMP123"
"4505",80348,"event",NA,542,202,"TEMP124"
"4505",80348,"bounds",NA,527,282,"TEMP123"
"4536",80380,"event",NA,1117,350,"TEMP142"
"4536",80380,"bounds",NA,1082,350,"TEMP141"
"4536",80381,"event",NA,987,350,"TEMP142"
"4536",80381,"bounds",NA,1012,350,"TEMP141"
"4536",80385,"event",NA,747,697,"TEMP142"
