"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
10879,12737,"Beta-188747",7164,7364,6954,112,98083,"TEMP1861"
10924,12738,"CAMS 137747",2924,3034,2824,112,98153,"TEMP1863"
10924,12739,"CAMS 135971",7734,7834,7664,112,98155,"TEMP1863"
10924,12740,"CAMS 137748",9764,10064,9594,112,98157,"TEMP1863"
10924,12741,"CAMS 135969",5694,5894,5494,112,98159,"TEMP1863"
10924,12742,"CAMS 135970",13224,13404,13084,112,98160,"TEMP1863"
10924,12743,"CAMS 135968",21454,22254,20634,112,98162,"TEMP1863"
11330,13533,"CAMS-104172",19000,23100,17600,112,104582,"TEMP1865"
11330,13534,"CAMS-120078",18800,18900,18600,112,104582,"TEMP1865"
11330,13535,"UNL-1436",18950,21750,17850,77,104582,"TEMP1865"
11330,13536,"UNL-1437",19150,22450,18050,77,104582,"TEMP1865"
11348,13566,"UGa-2774",14844,15574,14124,112,104748,"TEMP1867"
11403,13883,"I-2116",28674,29904,27694,112,106441,"TEMP1869"
11441,14079,"CAMS-13033",13474,13614,13334,112,107879,"TEMP1871"
11441,14078,"CAMS-10224",13384,13484,13284,112,107879,"TEMP1871"
11441,14081,"CAMS-82933",13364,13444,13294,112,107879,"TEMP1871"
11441,14080,"CAMS-33974",13314,13424,13204,112,107879,"TEMP1871"
11441,14076,"CAMS-82932",13294,13394,13194,112,107879,"TEMP1871"
11441,14077,"CAMS-09476",13234,13324,13124,112,107879,"TEMP1871"
11515,14340,"NZA-28895",12764,12834,12724,112,111225,"TEMP1873"
11552,14478,"AA-2075",39700,41500,37400,112,112265,"TEMP1875"
11555,14483,"Tx-6595",9800,11000,8800,112,112270,"TEMP1877"
11555,14484,"Tx-8463",9700,10000,9600,112,112269,"TEMP1877"
11555,14487,"Tx-8223b",11200,11800,10800,112,112271,"TEMP1877"
11555,14486,"Tx-8223a",10800,11100,10600,112,112271,"TEMP1877"
11555,14488,"Tx-6596",12000,12800,11200,112,112274,"TEMP1877"
11555,14489,"Tx-6594",12400,13700,11000,112,112275,"TEMP1877"
11555,14490,"C-108a",9300,10500,8400,112,112273,"TEMP1877"
11555,14491,"C-470",12600,17100,9600,112,112276,"TEMP1877"
11555,14492,"C-65",6100,6800,5400,112,112278,"TEMP1877"
11771,15124,"CAMS 88275",19700,20100,19300,112,117411,"TEMP1879"
11771,15125,"CAMS 74625",19800,19900,19600,112,117411,"TEMP1879"
11771,15126,"CAMS 88274",19900,20300,19600,112,117411,"TEMP1879"
11771,15127,"CAMS 74624",22000,22200,21600,112,117411,"TEMP1879"
11771,15128,"CAMS 102798",19800,19900,19600,112,117411,"TEMP1879"
11771,15129,"CAMS 97341",20500,20700,20400,112,117411,"TEMP1879"
11771,15130,"CAMS 102797",20700,20900,20600,112,117411,"TEMP1879"
11771,15131,"MHA02-M7",15740,18340,13540,28,117411,"TEMP1879"
11848,15446,"AA46351",15494,15744,15264,112,121459,"TEMP1881"
11848,15444,"AA46352",14914,15144,14454,112,121459,"TEMP1881"
11848,15445,"AA46353",13384,13494,13254,112,121459,"TEMP1881"
11848,15443,"AA46350",7644,7724,7584,112,121459,"TEMP1881"
11848,15442,"AA46349",1574,1694,1434,112,121459,"TEMP1881"
11865,15494,"Beta-110939",31694,32604,31244,112,121703,"TEMP1883"
11865,15495,"Beta-110938",30634,31034,30154,112,121703,"TEMP1883"
11865,15493,"Beta-110937",30464,30934,30004,112,121703,"TEMP1883"
11866,15496,"B-41170",7194,7344,7014,112,121704,"TEMP1885"
11866,15497,"B-46211",7124,7254,7014,112,121704,"TEMP1885"
11866,15498,"B-46212",6774,6924,6664,112,121704,"TEMP1885"
11953,15816,"CAMS-117322",24894,25504,24314,112,124804,"TEMP1887"
11953,15814,"CAMS-117321",24024,24504,23524,112,124804,"TEMP1887"
11953,53705,"OS-68068",22054,22254,21814,112,124804,"TEMP1887"
11953,53706,"OS-68070",20704,20864,20544,112,124804,"TEMP1887"
11953,15812,"CAMS-119156",19704,19914,19514,112,124804,"TEMP1887"
11953,15815,"CAMS-117319",19614,19954,19264,112,124804,"TEMP1887"
11953,15813,"CAMS-117320",19434,19774,19154,112,124804,"TEMP1887"
11953,53704,"OS-68012",15084,15214,14974,112,124804,"TEMP1887"
13353,17428,"NZA32583",2224,2334,2164,112,132671,"TEMP1889"
