"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4414,"bounds",15214,12804,"2025-01-21",NA,"TEMP1"
4414,"event",14394,13604,"2025-01-21",NA,"TEMP2"
4415,"bounds",14584,8194,"2025-01-21",NA,"TEMP3"
4415,"event",12684,10314,"2025-01-21",NA,"TEMP4"
4416,"bounds",13704,9624,"2025-01-21",NA,"TEMP5"
4416,"event",12354,10974,"2025-01-21",NA,"TEMP6"
4417,"bounds",22424,6804,"2025-01-26",NA,"TEMP7"
4417,"event",22472,6767,"2025-01-26",NA,"TEMP8"
4419,"bounds",15594,5204,"2025-01-26",NA,"TEMP9"
4419,"event",14694,6704,"2025-01-26",NA,"TEMP10"
4420,"bounds",1024,74,"2025-04-28",NA,"TEMP11"
4420,"event",694,414,"2025-04-28",NA,"TEMP12"
4421,"bounds",684,524,"2025-01-21",NA,"TEMP13"
4421,"event",644,564,"2025-01-21",NA,"TEMP14"
4422,"bounds",664,544,"2025-01-21",NA,"TEMP15"
4422,"event",634,584,"2025-01-21",NA,"TEMP16"
4423,"bounds",3064,234,"2025-01-21",NA,"TEMP17"
4423,"event",2184,1114,"2025-01-21",NA,"TEMP18"
4424,"bounds",10694,9484,"2025-01-21",NA,"TEMP19"
4424,"event",10284,9904,"2025-01-21",NA,"TEMP20"
4425,"bounds",8000,0,"2025-01-26",NA,"TEMP21"
4425,"event",8000,0,"2025-01-26",NA,"TEMP22"
4426,"bounds",16694,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP23"
4426,"event",15574,64,"2025-01-26",NA,"TEMP24"
4427,"bounds",22472,6767,"2025-01-26",NA,"TEMP25"
4427,"event",19797,9582,"2025-01-26",NA,"TEMP26"
4430,"bounds",40754,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP27"
4430,"event",27514,7264,"2025-01-26",NA,"TEMP28"
4431,"bounds",46984,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP29"
4431,"event",30954,10264,"2025-01-21",NA,"TEMP30"
4432,"bounds",45500,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP31"
4432,"event",30900,5900,"2025-01-26",NA,"TEMP32"
4433,"bounds",32484,9084,"2025-01-26",NA,"TEMP33"
4433,"event",25114,16414,"2025-01-26",NA,"TEMP34"
4435,"bounds",15754,12964,"2025-01-21",NA,"TEMP35"
4435,"event",14854,13874,"2025-01-21",NA,"TEMP36"
4437,"bounds",15044,10014,"2025-01-26",NA,"TEMP37"
4437,"event",14014,11404,"2025-01-26",NA,"TEMP38"
4438,"bounds",4424,1,"2025-01-26",NA,"TEMP39"
4438,"event",4014,1,"2025-01-26",NA,"TEMP40"
4439,"bounds",16654,12424,"2025-01-21",NA,"TEMP41"
4439,"event",15234,13814,"2025-01-21",NA,"TEMP42"
4440,"bounds",24000,9004,"2025-01-21",NA,"TEMP43"
4440,"event",24000,10000,"2025-01-21",NA,"TEMP44"
4441,"bounds",35000,5324,"2025-01-21",NA,"TEMP45"
4441,"event",35000,6164,"2025-01-21",NA,"TEMP46"
4442,"bounds",31600,2900,"2025-04-22",NA,"TEMP47"
4442,"event",27700,3300,"2025-04-22",NA,"TEMP48"
