"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
10879,98083,"event",7154,7324,6964,"computed","TEMP1862"
10879,98083,"bounds",NA,7714,6574,"computed","TEMP1861"
10924,98153,"event",2934,3034,2854,"computed","TEMP1864"
10924,98155,"event",7734,7824,7664,"computed","TEMP1864"
10924,98157,"event",9784,9944,9654,"computed","TEMP1864"
10924,98159,"event",5684,5894,5464,"computed","TEMP1864"
10924,98160,"event",13234,13404,13074,"computed","TEMP1864"
10924,98162,"event",21464,22194,20754,"computed","TEMP1864"
10924,98153,"bounds",NA,3234,2654,"computed","TEMP1863"
10924,98155,"bounds",NA,8004,7484,"computed","TEMP1863"
10924,98157,"bounds",NA,10234,9374,"computed","TEMP1863"
10924,98159,"bounds",NA,6394,4964,"computed","TEMP1863"
10924,98160,"bounds",NA,13774,12704,"computed","TEMP1863"
10924,98162,"bounds",NA,23684,19274,"computed","TEMP1863"
11330,104582,"event",18950,19450,18750,"computed","TEMP1866"
11330,104582,"bounds",NA,20150,18200,"computed","TEMP1865"
11348,104748,"event",14874,15554,14234,"computed","TEMP1868"
11348,104748,"bounds",NA,16974,12844,"computed","TEMP1867"
11403,106441,"event",28784,29854,27844,"computed","TEMP1870"
11403,106441,"bounds",NA,31874,25824,"computed","TEMP1869"
11441,107879,"event",13344,13404,13294,"computed","TEMP1872"
11441,107879,"bounds",NA,13524,13174,"computed","TEMP1871"
11515,111225,"event",12774,12854,12694,"computed","TEMP1874"
11515,111225,"bounds",NA,13054,12494,"computed","TEMP1873"
11552,112265,"event",39700,41600,37900,"computed","TEMP1876"
11552,112265,"bounds",NA,45400,34200,"computed","TEMP1875"
11555,112270,"event",9900,10900,9000,"computed","TEMP1878"
11555,112269,"event",9700,10000,9500,"computed","TEMP1878"
11555,112271,"event",11000,11300,10800,"computed","TEMP1878"
11555,112274,"event",12100,12900,11200,"computed","TEMP1878"
11555,112275,"event",12500,13700,11300,"computed","TEMP1878"
11555,112273,"event",9400,10500,8500,"computed","TEMP1878"
11555,112276,"event",13200,16500,10500,"computed","TEMP1878"
11555,112278,"event",6100,6800,5400,"computed","TEMP1878"
11555,112270,"bounds",NA,13000,7000,"computed","TEMP1877"
11555,112269,"bounds",NA,10700,8800,"computed","TEMP1877"
11555,112271,"bounds",NA,11800,10400,"computed","TEMP1877"
11555,112274,"bounds",NA,14700,9500,"computed","TEMP1877"
11555,112275,"bounds",NA,16300,8700,"computed","TEMP1877"
11555,112273,"bounds",NA,12500,6500,"computed","TEMP1877"
11555,112276,"bounds",NA,22800,4400,"computed","TEMP1877"
11555,112278,"bounds",NA,8200,4000,"computed","TEMP1877"
11771,117411,"event",19060,20360,17660,"computed","TEMP1880"
11771,117411,"bounds",NA,22560,15000,"computed","TEMP1879"
11848,121459,"event",8544,11844,5244,"computed","TEMP1882"
11848,121459,"bounds",NA,16914,164,"computed","TEMP1881"
11865,121703,"event",31054,31494,30604,"computed","TEMP1884"
11865,121703,"bounds",NA,32294,29814,"computed","TEMP1883"
11866,121704,"event",6994,7144,6844,"computed","TEMP1886"
11866,121704,"bounds",NA,7414,6574,"computed","TEMP1885"
11953,124804,"event",19984,22144,17824,"computed","TEMP1888"
11953,124804,"bounds",NA,25644,14404,"computed","TEMP1887"
13353,132671,"event",2234,2314,2174,"computed","TEMP1890"
13353,132675,"event",4024,4094,3944,"computed","TEMP1890"
13353,132680,"event",10834,11004,10694,"computed","TEMP1890"
13353,132671,"bounds",NA,2424,2054,"computed","TEMP1889"
13353,132675,"bounds",NA,4264,3784,"computed","TEMP1889"
13353,132680,"bounds",NA,11264,10424,"computed","TEMP1889"
13356,132688,"event",514,514,504,"computed","TEMP1892"
13356,132688,"bounds",NA,524,494,"computed","TEMP1891"
13444,133360,"event",12534,12854,12124,"computed","TEMP1894"
13444,133360,"bounds",NA,13614,11354,"computed","TEMP1893"
13445,133361,"event",12674,13094,12174,"computed","TEMP1896"
13445,133361,"bounds",NA,14054,11224,"computed","TEMP1895"
13446,133362,"event",11994,12514,11454,"computed","TEMP1898"
13446,133362,"bounds",NA,13504,10454,"computed","TEMP1897"
13447,133363,"event",11704,11984,11444,"computed","TEMP1900"
13447,133363,"bounds",NA,12554,10904,"computed","TEMP1899"
13479,133943,"event",18414,19934,16974,"computed","TEMP1902"
13479,133943,"bounds",NA,23094,13824,"computed","TEMP1901"
13480,133944,"event",17434,18014,16834,"computed","TEMP1904"
13480,133944,"bounds",NA,19234,15614,"computed","TEMP1903"
13481,133945,"event",22400,24900,20300,"computed","TEMP1906"
13481,133945,"bounds",NA,29700,15600,"computed","TEMP1905"
13496,133984,"event",19654,21404,18094,"computed","TEMP1908"
13496,133984,"bounds",NA,25024,14534,"computed","TEMP1907"
13497,133985,"event",16234,18274,14184,"computed","TEMP1910"
13497,133985,"bounds",NA,21874,10564,"computed","TEMP1909"
14886,138048,"event",41704,42004,41374,"computed","TEMP1912"
14886,138057,"event",10084,10284,9884,"computed","TEMP1912"
14886,138048,"bounds",NA,42644,40734,"computed","TEMP1911"
