"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-86849.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-86749.5,7.844e-9
4,"Boundary","beginAnalysisUnit",,"posterior",-86649.5,3.373e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-86549.5,2.1178e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-86449.5,3.608e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-86349.5,1.804e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-86249.5,3.373e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-86149.5,2.5884e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-86049.5,2.5884e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85949.5,2.9021e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85849.5,2.9021e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85749.5,2.5884e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85649.5,1.0197e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85549.5,1.804e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85449.5,1.804e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85349.5,1.804e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85249.5,3.922e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-85149.5,7.844e-9
4,"Boundary","beginAnalysisUnit",,"posterior",-85049.5,1.5687e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84949.5,2.1178e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84849.5,2.3531e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84749.5,2.3531e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84649.5,1.804e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84549.5,2.5884e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84449.5,2.5884e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84349.5,2.1178e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84249.5,3.1374e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84149.5,2.5884e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-84049.5,1.0197e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-83949.5,1.5687e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-83849.5,5.49e-9
4,"Boundary","beginAnalysisUnit",,"posterior",-83749.5,2.5884e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-83649.5,7.844e-9
4,"Boundary","beginAnalysisUnit",,"posterior",-83549.5,1.0197e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-83449.5,2.1178e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-83349.5,2.3531e-8
