"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-36259.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-36159.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-36059.5,4.177e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35959.5,9.356e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35859.5,6.265e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35759.5,7.268e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35659.5,8.354e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35559.5,1.0442e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-35459.5,7.268e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35359.5,1.3533e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-35259.5,6.265e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35159.5,7.268e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-35059.5,1.2531e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34959.5,3.0909e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-34859.5,1.3533e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34759.5,1.2531e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34659.5,1.0442e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34559.5,1.3533e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34459.5,1.4619e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34359.5,9.356e-8
4,"Boundary","beginAnalysisUnit",,"posterior",-34259.5,1.1445e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34159.5,1.5622e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-34059.5,1.5622e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33959.5,1.3533e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33859.5,2.3975e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33759.5,1.3533e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33659.5,2.3975e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33559.5,2.2889e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33459.5,1.2531e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33359.5,1.5622e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33259.5,1.0442e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33159.5,2.1887e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-33059.5,1.5622e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32959.5,2.7066e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32859.5,1.8712e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32759.5,2.2889e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32659.5,2.1887e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32559.5,2.8152e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32459.5,2.2889e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32359.5,1.771e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32259.5,2.4978e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32159.5,2.9155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-32059.5,2.7066e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31959.5,3.233e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31859.5,2.9155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31759.5,3.642e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31659.5,3.642e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31559.5,3.333e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31459.5,3.433e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31359.5,3.751e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31259.5,3.542e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31159.5,3.642e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-31059.5,4.06e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30959.5,3.642e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30859.5,3.851e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30759.5,4.269e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30659.5,4.377e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30559.5,4.377e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30459.5,3.851e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30359.5,5.622e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30259.5,7.602e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30159.5,5.94e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-30059.5,5.831e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29959.5,5.622e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29859.5,6.249e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29759.5,7.502e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29659.5,6.975e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29559.5,6.666e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29459.5,0.0000010108
4,"Boundary","beginAnalysisUnit",,"posterior",-29359.5,6.357e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29259.5,8.437e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29159.5,0.0000010417
4,"Boundary","beginAnalysisUnit",,"posterior",-29059.5,7.602e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-28959.5,0.0000011562
4,"Boundary","beginAnalysisUnit",,"posterior",-28859.5,9.69e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-28759.5,9.791e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-28659.5,0.000001573
4,"Boundary","beginAnalysisUnit",,"posterior",-28559.5,0.000001375
4,"Boundary","beginAnalysisUnit",,"posterior",-28459.5,0.0000015104
4,"Boundary","beginAnalysisUnit",,"posterior",-28359.5,7.711e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-28259.5,0.0000015212
4,"Boundary","beginAnalysisUnit",,"posterior",-28159.5,0.0000014477
4,"Boundary","beginAnalysisUnit",,"posterior",-28059.5,0.0000019999
4,"Boundary","beginAnalysisUnit",,"posterior",-27959.5,0.0000014586
4,"Boundary","beginAnalysisUnit",,"posterior",-27859.5,0.0000013541
4,"Boundary","beginAnalysisUnit",,"posterior",-27759.5,0.0000020726
4,"Boundary","beginAnalysisUnit",,"posterior",-27659.5,0.0000018854
4,"Boundary","beginAnalysisUnit",,"posterior",-27559.5,0.0000021979
4,"Boundary","beginAnalysisUnit",,"posterior",-27459.5,0.0000018754
4,"Boundary","beginAnalysisUnit",,"posterior",-27359.5,0.0000023232
4,"Boundary","beginAnalysisUnit",,"posterior",-27259.5,0.0000020316
4,"Boundary","beginAnalysisUnit",,"posterior",-27159.5,0.0000023441
4,"Boundary","beginAnalysisUnit",,"posterior",-27059.5,0.0000028336
4,"Boundary","beginAnalysisUnit",,"posterior",-26959.5,0.0000028127
4,"Boundary","beginAnalysisUnit",,"posterior",-26859.5,0.0000027083
4,"Boundary","beginAnalysisUnit",,"posterior",-26759.5,0.0000030934
4,"Boundary","beginAnalysisUnit",,"posterior",-26659.5,0.000003573
4,"Boundary","beginAnalysisUnit",,"posterior",-26559.5,0.000003625
4,"Boundary","beginAnalysisUnit",,"posterior",-26459.5,0.000003813
4,"Boundary","beginAnalysisUnit",,"posterior",-26359.5,0.000004125
4,"Boundary","beginAnalysisUnit",,"posterior",-26259.5,0.000005146
4,"Boundary","beginAnalysisUnit",,"posterior",-26159.5,0.000005125
4,"Boundary","beginAnalysisUnit",,"posterior",-26059.5,0.000004656
4,"Boundary","beginAnalysisUnit",,"posterior",-25959.5,0.000005323
4,"Boundary","beginAnalysisUnit",,"posterior",-25859.5,0.000005645
4,"Boundary","beginAnalysisUnit",,"posterior",-25759.5,0.000005969
4,"Boundary","beginAnalysisUnit",,"posterior",-25659.5,0.000006782
4,"Boundary","beginAnalysisUnit",,"posterior",-25559.5,0.000006594
4,"Boundary","beginAnalysisUnit",,"posterior",-25459.5,0.000006885
4,"Boundary","beginAnalysisUnit",,"posterior",-25359.5,0.000007552
4,"Boundary","beginAnalysisUnit",,"posterior",-25259.5,0.000007635
4,"Boundary","beginAnalysisUnit",,"posterior",-25159.5,0.000009323
4,"Boundary","beginAnalysisUnit",,"posterior",-25059.5,0.000009729
4,"Boundary","beginAnalysisUnit",,"posterior",-24959.5,0.000009281
4,"Boundary","beginAnalysisUnit",,"posterior",-24859.5,0.000009334
4,"Boundary","beginAnalysisUnit",,"posterior",-24759.5,0.000011844
4,"Boundary","beginAnalysisUnit",,"posterior",-24659.5,0.000011229
4,"Boundary","beginAnalysisUnit",,"posterior",-24559.5,0.000012417
4,"Boundary","beginAnalysisUnit",,"posterior",-24459.5,0.000014229
4,"Boundary","beginAnalysisUnit",,"posterior",-24359.5,0.000014979
4,"Boundary","beginAnalysisUnit",,"posterior",-24259.5,0.000015261
4,"Boundary","beginAnalysisUnit",,"posterior",-24159.5,0.000019021
4,"Boundary","beginAnalysisUnit",,"posterior",-24059.5,0.00001925
4,"Boundary","beginAnalysisUnit",,"posterior",-23959.5,0.000019083
4,"Boundary","beginAnalysisUnit",,"posterior",-23859.5,0.000022521
4,"Boundary","beginAnalysisUnit",,"posterior",-23759.5,0.000022906
4,"Boundary","beginAnalysisUnit",,"posterior",-23659.5,0.000023511
4,"Boundary","beginAnalysisUnit",,"posterior",-23559.5,0.000029834
4,"Boundary","beginAnalysisUnit",,"posterior",-23459.5,0.000029292
4,"Boundary","beginAnalysisUnit",,"posterior",-23359.5,0.00003194
4,"Boundary","beginAnalysisUnit",,"posterior",-23259.5,0.00003573
4,"Boundary","beginAnalysisUnit",,"posterior",-23159.5,0.00003953
4,"Boundary","beginAnalysisUnit",,"posterior",-23059.5,0.00003951
4,"Boundary","beginAnalysisUnit",,"posterior",-22959.5,0.00004272
4,"Boundary","beginAnalysisUnit",,"posterior",-22859.5,0.00005227
4,"Boundary","beginAnalysisUnit",,"posterior",-22759.5,0.00005427
4,"Boundary","beginAnalysisUnit",,"posterior",-22659.5,0.00005723
4,"Boundary","beginAnalysisUnit",,"posterior",-22559.5,0.00006732
4,"Boundary","beginAnalysisUnit",,"posterior",-22459.5,0.00007029
4,"Boundary","beginAnalysisUnit",,"posterior",-22359.5,0.00007897
4,"Boundary","beginAnalysisUnit",,"posterior",-22259.5,0.00008259
4,"Boundary","beginAnalysisUnit",,"posterior",-22159.5,0.0000934
4,"Boundary","beginAnalysisUnit",,"posterior",-22059.5,0.00009945
4,"Boundary","beginAnalysisUnit",,"posterior",-21959.5,0.00011459
4,"Boundary","beginAnalysisUnit",,"posterior",-21859.5,0.00012046
4,"Boundary","beginAnalysisUnit",,"posterior",-21759.5,0.0001409
4,"Boundary","beginAnalysisUnit",,"posterior",-21659.5,0.00015028
4,"Boundary","beginAnalysisUnit",,"posterior",-21559.5,0.00016797
4,"Boundary","beginAnalysisUnit",,"posterior",-21459.5,0.00018594
4,"Boundary","beginAnalysisUnit",,"posterior",-21359.5,0.00019953
4,"Boundary","beginAnalysisUnit",,"posterior",-21259.5,0.00023627
4,"Boundary","beginAnalysisUnit",,"posterior",-21159.5,0.00024978
4,"Boundary","beginAnalysisUnit",,"posterior",-21059.5,0.00028779
4,"Boundary","beginAnalysisUnit",,"posterior",-20959.5,0.00031026
4,"Boundary","beginAnalysisUnit",,"posterior",-20859.5,0.0003497
4,"Boundary","beginAnalysisUnit",,"posterior",-20759.5,0.0003979
4,"Boundary","beginAnalysisUnit",,"posterior",-20659.5,0.0004459
4,"Boundary","beginAnalysisUnit",,"posterior",-20559.5,0.0005388
4,"Boundary","beginAnalysisUnit",,"posterior",-20459.5,0.0005861
4,"Boundary","beginAnalysisUnit",,"posterior",-20359.5,0.0006621
4,"Boundary","beginAnalysisUnit",,"posterior",-20259.5,0.0007461
4,"Boundary","beginAnalysisUnit",,"posterior",-20159.5,0.0008354
4,"Boundary","beginAnalysisUnit",,"posterior",-20059.5,0.0007347
4,"Boundary","beginAnalysisUnit",,"posterior",-19959.5,0.0005342
4,"Boundary","beginAnalysisUnit",,"posterior",-19859.5,0.0003274
4,"Boundary","beginAnalysisUnit",,"posterior",-19759.5,0.00019631
4,"Boundary","beginAnalysisUnit",,"posterior",-19659.5,0.00013374
4,"Boundary","beginAnalysisUnit",,"posterior",-19559.5,0.00004571
4,"Boundary","beginAnalysisUnit",,"posterior",-19459.5,0.000006708
4,"Boundary","beginAnalysisUnit",,"posterior",-19359.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-19259.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-19159.5,0
6,"R_Date","15124[CAMS 88275]",,"likelihood",-19099.5,0
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18999.5,0
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18899.5,1.7884e-9
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18799.5,1.7884e-8
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18699.5,3.934e-8
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18599.5,2.3427e-7
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18499.5,0.000003777
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18399.5,0.000018999
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18299.5,0.00006447
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18199.5,0.00017088
6,"R_Date","15124[CAMS 88275]",,"likelihood",-18099.5,0.00038
6,"R_Date","15124[CAMS 88275]",,"likelihood",-17999.5,0.0006297
6,"R_Date","15124[CAMS 88275]",,"likelihood",-17899.5,0.0013364
6,"R_Date","15124[CAMS 88275]",,"likelihood",-17799.5,0.0017048
