"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-26759.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-26749.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-26739.5,0.000005327
4,"Boundary","beginAnalysisUnit",,"posterior",-26729.5,0.000009659
4,"Boundary","beginAnalysisUnit",,"posterior",-26719.5,0.000007433
4,"Boundary","beginAnalysisUnit",,"posterior",-26709.5,0.00000767
4,"Boundary","beginAnalysisUnit",,"posterior",-26699.5,0.000007813
4,"Boundary","beginAnalysisUnit",,"posterior",-26689.5,0.00000696
4,"Boundary","beginAnalysisUnit",,"posterior",-26679.5,0.000006652
4,"Boundary","beginAnalysisUnit",,"posterior",-26669.5,0.000007363
4,"Boundary","beginAnalysisUnit",,"posterior",-26659.5,0.000007363
4,"Boundary","beginAnalysisUnit",,"posterior",-26649.5,0.000007505
4,"Boundary","beginAnalysisUnit",,"posterior",-26639.5,0.000006794
4,"Boundary","beginAnalysisUnit",,"posterior",-26629.5,0.000006557
4,"Boundary","beginAnalysisUnit",,"posterior",-26619.5,0.000005871
4,"Boundary","beginAnalysisUnit",,"posterior",-26609.5,0.000006557
4,"Boundary","beginAnalysisUnit",,"posterior",-26599.5,0.000006794
4,"Boundary","beginAnalysisUnit",,"posterior",-26589.5,0.00000644
4,"Boundary","beginAnalysisUnit",,"posterior",-26579.5,0.000006652
4,"Boundary","beginAnalysisUnit",,"posterior",-26569.5,0.000006771
4,"Boundary","beginAnalysisUnit",,"posterior",-26559.5,0.000006605
4,"Boundary","beginAnalysisUnit",,"posterior",-26549.5,0.000006605
4,"Boundary","beginAnalysisUnit",,"posterior",-26539.5,0.000005564
4,"Boundary","beginAnalysisUnit",,"posterior",-26529.5,0.000006605
4,"Boundary","beginAnalysisUnit",,"posterior",-26519.5,0.000007032
4,"Boundary","beginAnalysisUnit",,"posterior",-26509.5,0.000006321
4,"Boundary","beginAnalysisUnit",,"posterior",-26499.5,0.000005611
4,"Boundary","beginAnalysisUnit",,"posterior",-26489.5,0.000006061
4,"Boundary","beginAnalysisUnit",,"posterior",-26479.5,0.000006274
4,"Boundary","beginAnalysisUnit",,"posterior",-26469.5,0.00000644
4,"Boundary","beginAnalysisUnit",,"posterior",-26459.5,0.0000058
4,"Boundary","beginAnalysisUnit",,"posterior",-26449.5,0.000005729
4,"Boundary","beginAnalysisUnit",,"posterior",-26439.5,0.000006794
4,"Boundary","beginAnalysisUnit",,"posterior",-26429.5,0.000006298
4,"Boundary","beginAnalysisUnit",,"posterior",-26419.5,0.000005634
4,"Boundary","beginAnalysisUnit",,"posterior",-26409.5,0.000006984
4,"Boundary","beginAnalysisUnit",,"posterior",-26399.5,0.000005729
4,"Boundary","beginAnalysisUnit",,"posterior",-26389.5,0.000007079
4,"Boundary","beginAnalysisUnit",,"posterior",-26379.5,0.000006392
4,"Boundary","beginAnalysisUnit",,"posterior",-26369.5,0.000005706
4,"Boundary","beginAnalysisUnit",,"posterior",-26359.5,0.000006345
4,"Boundary","beginAnalysisUnit",,"posterior",-26349.5,0.000005823
4,"Boundary","beginAnalysisUnit",,"posterior",-26339.5,0.000006557
4,"Boundary","beginAnalysisUnit",,"posterior",-26329.5,0.0000058
4,"Boundary","beginAnalysisUnit",,"posterior",-26319.5,0.000006392
4,"Boundary","beginAnalysisUnit",,"posterior",-26309.5,0.000006392
4,"Boundary","beginAnalysisUnit",,"posterior",-26299.5,0.000006108
4,"Boundary","beginAnalysisUnit",,"posterior",-26289.5,0.000006298
4,"Boundary","beginAnalysisUnit",,"posterior",-26279.5,0.000006463
4,"Boundary","beginAnalysisUnit",,"posterior",-26269.5,0.000006084
4,"Boundary","beginAnalysisUnit",,"posterior",-26259.5,0.000006724
4,"Boundary","beginAnalysisUnit",,"posterior",-26249.5,0.000005942
4,"Boundary","beginAnalysisUnit",,"posterior",-26239.5,0.000006013
4,"Boundary","beginAnalysisUnit",,"posterior",-26229.5,0.000005871
4,"Boundary","beginAnalysisUnit",,"posterior",-26219.5,0.000006534
4,"Boundary","beginAnalysisUnit",,"posterior",-26209.5,0.000006226
4,"Boundary","beginAnalysisUnit",,"posterior",-26199.5,0.000006368
4,"Boundary","beginAnalysisUnit",,"posterior",-26189.5,0.000005776
4,"Boundary","beginAnalysisUnit",,"posterior",-26179.5,0.000006298
4,"Boundary","beginAnalysisUnit",,"posterior",-26169.5,0.000005587
4,"Boundary","beginAnalysisUnit",,"posterior",-26159.5,0.000006226
4,"Boundary","beginAnalysisUnit",,"posterior",-26149.5,0.000006582
4,"Boundary","beginAnalysisUnit",,"posterior",-26139.5,0.000006605
4,"Boundary","beginAnalysisUnit",,"posterior",-26129.5,0.00000599
4,"Boundary","beginAnalysisUnit",,"posterior",-26119.5,0.00000599
4,"Boundary","beginAnalysisUnit",,"posterior",-26109.5,0.000006013
4,"Boundary","beginAnalysisUnit",,"posterior",-26099.5,0.00000625
4,"Boundary","beginAnalysisUnit",,"posterior",-26089.5,0.000006794
4,"Boundary","beginAnalysisUnit",,"posterior",-26079.5,0.000006415
4,"Boundary","beginAnalysisUnit",,"posterior",-26069.5,0.000006156
4,"Boundary","beginAnalysisUnit",,"posterior",-26059.5,0.000007079
4,"Boundary","beginAnalysisUnit",,"posterior",-26049.5,0.000006629
4,"Boundary","beginAnalysisUnit",,"posterior",-26039.5,0.000005823
4,"Boundary","beginAnalysisUnit",,"posterior",-26029.5,0.000006392
4,"Boundary","beginAnalysisUnit",,"posterior",-26019.5,0.00000599
4,"Boundary","beginAnalysisUnit",,"posterior",-26009.5,0.0000058
4,"Boundary","beginAnalysisUnit",,"posterior",-25999.5,0.000006156
4,"Boundary","beginAnalysisUnit",,"posterior",-25989.5,0.000005823
4,"Boundary","beginAnalysisUnit",,"posterior",-25979.5,0.00000651
4,"Boundary","beginAnalysisUnit",,"posterior",-25969.5,0.000006913
4,"Boundary","beginAnalysisUnit",,"posterior",-25959.5,0.000006108
4,"Boundary","beginAnalysisUnit",,"posterior",-25949.5,0.000006629
4,"Boundary","beginAnalysisUnit",,"posterior",-25939.5,0.000005753
4,"Boundary","beginAnalysisUnit",,"posterior",-25929.5,0.000005895
4,"Boundary","beginAnalysisUnit",,"posterior",-25919.5,0.000006463
4,"Boundary","beginAnalysisUnit",,"posterior",-25909.5,0.000007032
4,"Boundary","beginAnalysisUnit",,"posterior",-25899.5,0.000006534
4,"Boundary","beginAnalysisUnit",,"posterior",-25889.5,0.000006771
4,"Boundary","beginAnalysisUnit",,"posterior",-25879.5,0.000006415
4,"Boundary","beginAnalysisUnit",,"posterior",-25869.5,0.000006203
4,"Boundary","beginAnalysisUnit",,"posterior",-25859.5,0.000006321
4,"Boundary","beginAnalysisUnit",,"posterior",-25849.5,0.000006415
4,"Boundary","beginAnalysisUnit",,"posterior",-25839.5,0.000005895
4,"Boundary","beginAnalysisUnit",,"posterior",-25829.5,0.000006084
4,"Boundary","beginAnalysisUnit",,"posterior",-25819.5,0.000006889
4,"Boundary","beginAnalysisUnit",,"posterior",-25809.5,0.000006203
4,"Boundary","beginAnalysisUnit",,"posterior",-25799.5,0.000005587
4,"Boundary","beginAnalysisUnit",,"posterior",-25789.5,0.000006699
4,"Boundary","beginAnalysisUnit",,"posterior",-25779.5,0.000006037
4,"Boundary","beginAnalysisUnit",,"posterior",-25769.5,0.000006321
4,"Boundary","beginAnalysisUnit",,"posterior",-25759.5,0.000005966
4,"Boundary","beginAnalysisUnit",,"posterior",-25749.5,0.000006061
4,"Boundary","beginAnalysisUnit",,"posterior",-25739.5,0.000005966
4,"Boundary","beginAnalysisUnit",,"posterior",-25729.5,0.000005729
4,"Boundary","beginAnalysisUnit",,"posterior",-25719.5,0.000006179
4,"Boundary","beginAnalysisUnit",,"posterior",-25709.5,0.000006226
4,"Boundary","beginAnalysisUnit",,"posterior",-25699.5,0.000006534
4,"Boundary","beginAnalysisUnit",,"posterior",-25689.5,0.000006463
4,"Boundary","beginAnalysisUnit",,"posterior",-25679.5,0.000006771
4,"Boundary","beginAnalysisUnit",,"posterior",-25669.5,0.000005942
