"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-391090,0
4,"Boundary","beginAnalysisUnit",,"posterior",-390990,0
4,"Boundary","beginAnalysisUnit",,"posterior",-390890,4.427e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390790,8.099e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390690,6.953e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390590,6.094e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390490,5.417e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390390,7.161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390290,6.719e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390190,5.078e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-390090,6.094e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389990,5.286e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389890,6.536e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389790,5.755e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389690,5.807e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389590,6.172e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389490,5.313e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389390,6.068e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389290,5.989e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389190,5.234e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-389090,5.599e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388990,4.688e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388890,5.365e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388790,4.87e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388690,6.797e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388590,4.713e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388490,4.844e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388390,4.74e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388290,5.052e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388190,5.234e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-388090,5.391e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387990,5.13e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387890,5.339e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387790,5.026e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387690,5.286e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387590,5.469e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387490,4.505e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387390,5.182e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387290,4.87e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387190,5.755e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-387090,5e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386990,5.495e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386890,4.531e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386790,5.078e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386690,4.713e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386590,4.557e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386490,5.078e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386390,4.792e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386290,4.531e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386190,4.219e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-386090,3.932e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385990,5.339e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385890,4.662e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385790,4.662e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385690,4.219e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385590,4.583e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385490,4.609e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385390,4.531e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385290,5.026e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385190,4.141e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-385090,4.531e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384990,5.208e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384890,4.635e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384790,4.401e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384690,4.896e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384590,5.391e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384490,4.453e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384390,4.922e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384290,4.01e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384190,4.948e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-384090,4.245e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383990,4.219e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383890,4.219e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383790,4.792e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383690,4.609e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383590,4.896e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383490,3.854e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383390,5.104e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383290,4.479e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383190,4.74e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-383090,5.26e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-382990,4.818e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-382890,4.766e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-382790,4.792e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-382690,4.271e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-382590,5e-7
