"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-45199.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-45189.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-45179.5,0.000011041
4,"Boundary","beginAnalysisUnit",,"posterior",-45169.5,0.000021198
4,"Boundary","beginAnalysisUnit",,"posterior",-45159.5,0.000019323
4,"Boundary","beginAnalysisUnit",,"posterior",-45149.5,0.000016042
4,"Boundary","beginAnalysisUnit",,"posterior",-45139.5,0.000015417
4,"Boundary","beginAnalysisUnit",,"posterior",-45129.5,0.000014219
4,"Boundary","beginAnalysisUnit",,"posterior",-45119.5,0.000013255
4,"Boundary","beginAnalysisUnit",,"posterior",-45109.5,0.000014114
4,"Boundary","beginAnalysisUnit",,"posterior",-45099.5,0.000013489
4,"Boundary","beginAnalysisUnit",,"posterior",-45089.5,0.000011276
4,"Boundary","beginAnalysisUnit",,"posterior",-45079.5,0.000013594
4,"Boundary","beginAnalysisUnit",,"posterior",-45069.5,0.000013698
4,"Boundary","beginAnalysisUnit",,"posterior",-45059.5,0.000011849
4,"Boundary","beginAnalysisUnit",,"posterior",-45049.5,0.000012083
4,"Boundary","beginAnalysisUnit",,"posterior",-45039.5,0.000011849
4,"Boundary","beginAnalysisUnit",,"posterior",-45029.5,0.000011614
4,"Boundary","beginAnalysisUnit",,"posterior",-45019.5,0.00001362
4,"Boundary","beginAnalysisUnit",,"posterior",-45009.5,0.000012968
4,"Boundary","beginAnalysisUnit",,"posterior",-44999.5,0.000012239
4,"Boundary","beginAnalysisUnit",,"posterior",-44989.5,0.000012239
4,"Boundary","beginAnalysisUnit",,"posterior",-44979.5,0.000011406
4,"Boundary","beginAnalysisUnit",,"posterior",-44969.5,0.000012552
4,"Boundary","beginAnalysisUnit",,"posterior",-44959.5,0.000012161
4,"Boundary","beginAnalysisUnit",,"posterior",-44949.5,0.000013333
4,"Boundary","beginAnalysisUnit",,"posterior",-44939.5,0.000010885
4,"Boundary","beginAnalysisUnit",,"posterior",-44929.5,0.000012474
4,"Boundary","beginAnalysisUnit",,"posterior",-44919.5,0.000011589
4,"Boundary","beginAnalysisUnit",,"posterior",-44909.5,0.000010364
4,"Boundary","beginAnalysisUnit",,"posterior",-44899.5,0.000012213
4,"Boundary","beginAnalysisUnit",,"posterior",-44889.5,0.000010677
4,"Boundary","beginAnalysisUnit",,"posterior",-44879.5,0.000012005
4,"Boundary","beginAnalysisUnit",,"posterior",-44869.5,0.000010104
4,"Boundary","beginAnalysisUnit",,"posterior",-44859.5,0.000010078
4,"Boundary","beginAnalysisUnit",,"posterior",-44849.5,0.000011588
4,"Boundary","beginAnalysisUnit",,"posterior",-44839.5,0.000011979
4,"Boundary","beginAnalysisUnit",,"posterior",-44829.5,0.000011224
4,"Boundary","beginAnalysisUnit",,"posterior",-44819.5,0.000011041
