"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-18499.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-18399.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-18299.5,0.00011101
4,"Boundary","beginAnalysisUnit",,"posterior",-18199.5,0.00017578
4,"Boundary","beginAnalysisUnit",,"posterior",-18099.5,0.00014953
4,"Boundary","beginAnalysisUnit",,"posterior",-17999.5,0.00013837
4,"Boundary","beginAnalysisUnit",,"posterior",-17899.5,0.00013014
4,"Boundary","beginAnalysisUnit",,"posterior",-17799.5,0.00012122
4,"Boundary","beginAnalysisUnit",,"posterior",-17699.5,0.00011626
4,"Boundary","beginAnalysisUnit",,"posterior",-17599.5,0.00010989
4,"Boundary","beginAnalysisUnit",,"posterior",-17499.5,0.00010552
4,"Boundary","beginAnalysisUnit",,"posterior",-17399.5,0.00010319
4,"Boundary","beginAnalysisUnit",,"posterior",-17299.5,0.00010157
4,"Boundary","beginAnalysisUnit",,"posterior",-17199.5,0.00009747
4,"Boundary","beginAnalysisUnit",,"posterior",-17099.5,0.00009449
4,"Boundary","beginAnalysisUnit",,"posterior",-16999.5,0.00009269
4,"Boundary","beginAnalysisUnit",,"posterior",-16899.5,0.00009171
4,"Boundary","beginAnalysisUnit",,"posterior",-16799.5,0.00009171
4,"Boundary","beginAnalysisUnit",,"posterior",-16699.5,0.00008932
4,"Boundary","beginAnalysisUnit",,"posterior",-16599.5,0.00008757
4,"Boundary","beginAnalysisUnit",,"posterior",-16499.5,0.00008706
4,"Boundary","beginAnalysisUnit",,"posterior",-16399.5,0.00008716
4,"Boundary","beginAnalysisUnit",,"posterior",-16299.5,0.00008415
4,"Boundary","beginAnalysisUnit",,"posterior",-16199.5,0.00008283
4,"Boundary","beginAnalysisUnit",,"posterior",-16099.5,0.0000839
4,"Boundary","beginAnalysisUnit",,"posterior",-15999.5,0.0000829
4,"Boundary","beginAnalysisUnit",,"posterior",-15899.5,0.00008236
4,"Boundary","beginAnalysisUnit",,"posterior",-15799.5,0.00008046
4,"Boundary","beginAnalysisUnit",,"posterior",-15699.5,0.00008139
4,"Boundary","beginAnalysisUnit",,"posterior",-15599.5,0.00007982
4,"Boundary","beginAnalysisUnit",,"posterior",-15499.5,0.00008119
4,"Boundary","beginAnalysisUnit",,"posterior",-15399.5,0.00008037
4,"Boundary","beginAnalysisUnit",,"posterior",-15299.5,0.00008041
4,"Boundary","beginAnalysisUnit",,"posterior",-15199.5,0.0000802
4,"Boundary","beginAnalysisUnit",,"posterior",-15099.5,0.0000789
4,"Boundary","beginAnalysisUnit",,"posterior",-14999.5,0.00008053
4,"Boundary","beginAnalysisUnit",,"posterior",-14899.5,0.00008078
4,"Boundary","beginAnalysisUnit",,"posterior",-14799.5,0.00008373
4,"Boundary","beginAnalysisUnit",,"posterior",-14699.5,0.0000826
4,"Boundary","beginAnalysisUnit",,"posterior",-14599.5,0.0000826
4,"Boundary","beginAnalysisUnit",,"posterior",-14499.5,0.00008399
4,"Boundary","beginAnalysisUnit",,"posterior",-14399.5,0.0000856
4,"Boundary","beginAnalysisUnit",,"posterior",-14299.5,0.00008777
4,"Boundary","beginAnalysisUnit",,"posterior",-14199.5,0.00008796
4,"Boundary","beginAnalysisUnit",,"posterior",-14099.5,0.00008861
4,"Boundary","beginAnalysisUnit",,"posterior",-13999.5,0.00008954
4,"Boundary","beginAnalysisUnit",,"posterior",-13899.5,0.00009219
4,"Boundary","beginAnalysisUnit",,"posterior",-13799.5,0.00009349
4,"Boundary","beginAnalysisUnit",,"posterior",-13699.5,0.00009479
4,"Boundary","beginAnalysisUnit",,"posterior",-13599.5,0.00009833
4,"Boundary","beginAnalysisUnit",,"posterior",-13499.5,0.0001013
4,"Boundary","beginAnalysisUnit",,"posterior",-13399.5,0.00010472
4,"Boundary","beginAnalysisUnit",,"posterior",-13299.5,0.00010833
4,"Boundary","beginAnalysisUnit",,"posterior",-13199.5,0.0001113
4,"Boundary","beginAnalysisUnit",,"posterior",-13099.5,0.00011171
4,"Boundary","beginAnalysisUnit",,"posterior",-12999.5,0.00011905
4,"Boundary","beginAnalysisUnit",,"posterior",-12899.5,0.0001261
4,"Boundary","beginAnalysisUnit",,"posterior",-12799.5,0.00012756
4,"Boundary","beginAnalysisUnit",,"posterior",-12699.5,0.00013236
4,"Boundary","beginAnalysisUnit",,"posterior",-12599.5,0.00013461
4,"Boundary","beginAnalysisUnit",,"posterior",-12499.5,0.00014384
4,"Boundary","beginAnalysisUnit",,"posterior",-12399.5,0.0001481
4,"Boundary","beginAnalysisUnit",,"posterior",-12299.5,0.00015509
4,"Boundary","beginAnalysisUnit",,"posterior",-12199.5,0.00016217
4,"Boundary","beginAnalysisUnit",,"posterior",-12099.5,0.0001721
4,"Boundary","beginAnalysisUnit",,"posterior",-11999.5,0.00017897
4,"Boundary","beginAnalysisUnit",,"posterior",-11899.5,0.00020011
4,"Boundary","beginAnalysisUnit",,"posterior",-11799.5,0.00021411
4,"Boundary","beginAnalysisUnit",,"posterior",-11699.5,0.00022586
4,"Boundary","beginAnalysisUnit",,"posterior",-11599.5,0.00024346
4,"Boundary","beginAnalysisUnit",,"posterior",-11499.5,0.00026779
4,"Boundary","beginAnalysisUnit",,"posterior",-11399.5,0.00028442
4,"Boundary","beginAnalysisUnit",,"posterior",-11299.5,0.00029913
4,"Boundary","beginAnalysisUnit",,"posterior",-11199.5,0.00030033
4,"Boundary","beginAnalysisUnit",,"posterior",-11099.5,0.00028625
4,"Boundary","beginAnalysisUnit",,"posterior",-10999.5,0.000258
4,"Boundary","beginAnalysisUnit",,"posterior",-10899.5,0.00021207
4,"Boundary","beginAnalysisUnit",,"posterior",-10799.5,0.00014545
4,"Boundary","beginAnalysisUnit",,"posterior",-10699.5,0.00010408
4,"Boundary","beginAnalysisUnit",,"posterior",-10599.5,0.00007291
4,"Boundary","beginAnalysisUnit",,"posterior",-10499.5,0.0000574
4,"Boundary","beginAnalysisUnit",,"posterior",-10399.5,0.0000397
4,"Boundary","beginAnalysisUnit",,"posterior",-10299.5,0.00003618
4,"Boundary","beginAnalysisUnit",,"posterior",-10199.5,0.000027927
4,"Boundary","beginAnalysisUnit",,"posterior",-10099.5,0.000016396
4,"Boundary","beginAnalysisUnit",,"posterior",-9999.5,0.000008698
4,"Boundary","beginAnalysisUnit",,"posterior",-9899.5,0.000004417
4,"Boundary","beginAnalysisUnit",,"posterior",-9799.5,0.0000019897
4,"Boundary","beginAnalysisUnit",,"posterior",-9699.5,0.0000013959
4,"Boundary","beginAnalysisUnit",,"posterior",-9599.5,6.98e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-9499.5,6.875e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-9399.5,1.3545e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-9299.5,0
6,"R_Date","7006[TEMP7]",,"likelihood",-13399.5,0
6,"R_Date","7006[TEMP7]",,"likelihood",-13299.5,0
6,"R_Date","7006[TEMP7]",,"likelihood",-13199.5,1.4461e-9
6,"R_Date","7006[TEMP7]",,"likelihood",-13099.5,4.338e-9
6,"R_Date","7006[TEMP7]",,"likelihood",-12999.5,1.0123e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-12899.5,2.6031e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-12799.5,8.098e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-12699.5,2.8923e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-12599.5,3.905e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-12499.5,6.363e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-12399.5,8.243e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-12299.5,1.6631e-7
6,"R_Date","7006[TEMP7]",,"likelihood",-12199.5,3.456e-7
6,"R_Date","7006[TEMP7]",,"likelihood",-12099.5,0.0000015315
6,"R_Date","7006[TEMP7]",,"likelihood",-11999.5,0.000004156
6,"R_Date","7006[TEMP7]",,"likelihood",-11899.5,0.000004253
6,"R_Date","7006[TEMP7]",,"likelihood",-11799.5,0.000021653
6,"R_Date","7006[TEMP7]",,"likelihood",-11699.5,0.000028524
6,"R_Date","7006[TEMP7]",,"likelihood",-11599.5,0.00007208
6,"R_Date","7006[TEMP7]",,"likelihood",-11499.5,0.00017967
6,"R_Date","7006[TEMP7]",,"likelihood",-11399.5,0.00029178
6,"R_Date","7006[TEMP7]",,"likelihood",-11299.5,0.0005397
6,"R_Date","7006[TEMP7]",,"likelihood",-11199.5,0.0007969
6,"R_Date","7006[TEMP7]",,"likelihood",-11099.5,0.0012893
6,"R_Date","7006[TEMP7]",,"likelihood",-10999.5,0.0013688
6,"R_Date","7006[TEMP7]",,"likelihood",-10899.5,0.0014461
6,"R_Date","7006[TEMP7]",,"likelihood",-10799.5,0.0012927
6,"R_Date","7006[TEMP7]",,"likelihood",-10699.5,0.0007591
6,"R_Date","7006[TEMP7]",,"likelihood",-10599.5,0.0005015
6,"R_Date","7006[TEMP7]",,"likelihood",-10499.5,0.00029091
6,"R_Date","7006[TEMP7]",,"likelihood",-10399.5,0.00024055
6,"R_Date","7006[TEMP7]",,"likelihood",-10299.5,0.00026715
6,"R_Date","7006[TEMP7]",,"likelihood",-10199.5,0.00021992
6,"R_Date","7006[TEMP7]",,"likelihood",-10099.5,0.00016574
6,"R_Date","7006[TEMP7]",,"likelihood",-9999.5,0.00009961
6,"R_Date","7006[TEMP7]",,"likelihood",-9899.5,0.00005355
6,"R_Date","7006[TEMP7]",,"likelihood",-9799.5,0.000024769
6,"R_Date","7006[TEMP7]",,"likelihood",-9699.5,0.000014626
6,"R_Date","7006[TEMP7]",,"likelihood",-9599.5,0.000010052
6,"R_Date","7006[TEMP7]",,"likelihood",-9499.5,0.000008858
6,"R_Date","7006[TEMP7]",,"likelihood",-9399.5,0.000004072
6,"R_Date","7006[TEMP7]",,"likelihood",-9299.5,0.0000014143
6,"R_Date","7006[TEMP7]",,"likelihood",-9199.5,6.508e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-9099.5,1.1569e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-8999.5,1.1569e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-8899.5,1.3015e-8
6,"R_Date","7006[TEMP7]",,"likelihood",-8799.5,2.8923e-9
6,"R_Date","7006[TEMP7]",,"likelihood",-8699.5,0
6,"R_Date","7006[TEMP7]",,"likelihood",-8599.5,0
6,"R_Date","7006[TEMP7]",,"likelihood",-8499.5,0
6,"R_Date","7006[TEMP7]",,"posterior",-12499.5,0
6,"R_Date","7006[TEMP7]",,"posterior",-12399.5,9.42e-8
6,"R_Date","7006[TEMP7]",,"posterior",-12299.5,1.1389e-7
6,"R_Date","7006[TEMP7]",,"posterior",-12199.5,3.543e-7
6,"R_Date","7006[TEMP7]",,"posterior",-12099.5,0.0000014482
6,"R_Date","7006[TEMP7]",,"posterior",-11999.5,0.000003426
6,"R_Date","7006[TEMP7]",,"posterior",-11899.5,0.000005312
6,"R_Date","7006[TEMP7]",,"posterior",-11799.5,0.000020062
6,"R_Date","7006[TEMP7]",,"posterior",-11699.5,0.00003194
6,"R_Date","7006[TEMP7]",,"posterior",-11599.5,0.00007688
6,"R_Date","7006[TEMP7]",,"posterior",-11499.5,0.00017654
6,"R_Date","7006[TEMP7]",,"posterior",-11399.5,0.00030275
6,"R_Date","7006[TEMP7]",,"posterior",-11299.5,0.0005357
6,"R_Date","7006[TEMP7]",,"posterior",-11199.5,0.000827
6,"R_Date","7006[TEMP7]",,"posterior",-11099.5,0.0012334
6,"R_Date","7006[TEMP7]",,"posterior",-10999.5,0.0013615
6,"R_Date","7006[TEMP7]",,"posterior",-10899.5,0.001406
6,"R_Date","7006[TEMP7]",,"posterior",-10799.5,0.0012687
6,"R_Date","7006[TEMP7]",,"posterior",-10699.5,0.000805
6,"R_Date","7006[TEMP7]",,"posterior",-10599.5,0.0005024
6,"R_Date","7006[TEMP7]",,"posterior",-10499.5,0.00030775
6,"R_Date","7006[TEMP7]",,"posterior",-10399.5,0.0002545
6,"R_Date","7006[TEMP7]",,"posterior",-10299.5,0.00026503
6,"R_Date","7006[TEMP7]",,"posterior",-10199.5,0.00021795
6,"R_Date","7006[TEMP7]",,"posterior",-10099.5,0.00017195
6,"R_Date","7006[TEMP7]",,"posterior",-9999.5,0.00010295
6,"R_Date","7006[TEMP7]",,"posterior",-9899.5,0.00005608
6,"R_Date","7006[TEMP7]",,"posterior",-9799.5,0.000027292
6,"R_Date","7006[TEMP7]",,"posterior",-9699.5,0.000014489
6,"R_Date","7006[TEMP7]",,"posterior",-9599.5,0.000010094
6,"R_Date","7006[TEMP7]",,"posterior",-9499.5,0.000007552
6,"R_Date","7006[TEMP7]",,"posterior",-9399.5,0.000004198
6,"R_Date","7006[TEMP7]",,"posterior",-9299.5,0.0000013231
6,"R_Date","7006[TEMP7]",,"posterior",-9199.5,1.2513e-7
6,"R_Date","7006[TEMP7]",,"posterior",-9099.5,0
6,"R_Date","7006[TEMP7]",,"posterior",-8999.5,0
6,"R_Date","7006[TEMP7]",,"posterior",-8899.5,2.109e-8
6,"R_Date","7006[TEMP7]",,"posterior",-8799.5,9.842e-9
7,"Calculate","Event",,"posterior",-18499.5,0
7,"Calculate","Event",,"posterior",-18399.5,0
7,"Calculate","Event",,"posterior",-18299.5,1.8762e-7
7,"Calculate","Event",,"posterior",-18199.5,0.0000015521
7,"Calculate","Event",,"posterior",-18099.5,0.000002948
7,"Calculate","Event",,"posterior",-17999.5,0.000003802
7,"Calculate","Event",,"posterior",-17899.5,0.000005125
7,"Calculate","Event",,"posterior",-17799.5,0.000006396
7,"Calculate","Event",,"posterior",-17699.5,0.000007323
7,"Calculate","Event",,"posterior",-17599.5,0.000008375
7,"Calculate","Event",,"posterior",-17499.5,0.000009448
7,"Calculate","Event",,"posterior",-17399.5,0.000010479
7,"Calculate","Event",,"posterior",-17299.5,0.000011281
7,"Calculate","Event",,"posterior",-17199.5,0.000012562
7,"Calculate","Event",,"posterior",-17099.5,0.000013562
7,"Calculate","Event",,"posterior",-16999.5,0.000014552
7,"Calculate","Event",,"posterior",-16899.5,0.000015563
7,"Calculate","Event",,"posterior",-16799.5,0.000015969
7,"Calculate","Event",,"posterior",-16699.5,0.000016531
7,"Calculate","Event",,"posterior",-16599.5,0.000018469
7,"Calculate","Event",,"posterior",-16499.5,0.000018948
7,"Calculate","Event",,"posterior",-16399.5,0.000020219
7,"Calculate","Event",,"posterior",-16299.5,0.000020938
7,"Calculate","Event",,"posterior",-16199.5,0.000022761
7,"Calculate","Event",,"posterior",-16099.5,0.000023073
7,"Calculate","Event",,"posterior",-15999.5,0.000023906
7,"Calculate","Event",,"posterior",-15899.5,0.000024906
7,"Calculate","Event",,"posterior",-15799.5,0.000027239
7,"Calculate","Event",,"posterior",-15699.5,0.000027177
7,"Calculate","Event",,"posterior",-15599.5,0.000026563
7,"Calculate","Event",,"posterior",-15499.5,0.000028854
7,"Calculate","Event",,"posterior",-15399.5,0.00002974
7,"Calculate","Event",,"posterior",-15299.5,0.00003209
7,"Calculate","Event",,"posterior",-15199.5,0.00003328
7,"Calculate","Event",,"posterior",-15099.5,0.00003381
7,"Calculate","Event",,"posterior",-14999.5,0.00003374
7,"Calculate","Event",,"posterior",-14899.5,0.00003498
7,"Calculate","Event",,"posterior",-14799.5,0.0000364
7,"Calculate","Event",,"posterior",-14699.5,0.00003906
7,"Calculate","Event",,"posterior",-14599.5,0.00003981
7,"Calculate","Event",,"posterior",-14499.5,0.00004005
7,"Calculate","Event",,"posterior",-14399.5,0.0000416
7,"Calculate","Event",,"posterior",-14299.5,0.0000432
7,"Calculate","Event",,"posterior",-14199.5,0.00004614
7,"Calculate","Event",,"posterior",-14099.5,0.00004626
7,"Calculate","Event",,"posterior",-13999.5,0.00004769
7,"Calculate","Event",,"posterior",-13899.5,0.00005025
7,"Calculate","Event",,"posterior",-13799.5,0.00005199
7,"Calculate","Event",,"posterior",-13699.5,0.00005447
7,"Calculate","Event",,"posterior",-13599.5,0.0000551
7,"Calculate","Event",,"posterior",-13499.5,0.0000574
7,"Calculate","Event",,"posterior",-13399.5,0.00006024
7,"Calculate","Event",,"posterior",-13299.5,0.00006323
7,"Calculate","Event",,"posterior",-13199.5,0.00006473
7,"Calculate","Event",,"posterior",-13099.5,0.00006868
7,"Calculate","Event",,"posterior",-12999.5,0.00006864
7,"Calculate","Event",,"posterior",-12899.5,0.00007524
7,"Calculate","Event",,"posterior",-12799.5,0.00007796
7,"Calculate","Event",,"posterior",-12699.5,0.00008121
7,"Calculate","Event",,"posterior",-12599.5,0.00008626
7,"Calculate","Event",,"posterior",-12499.5,0.00009053
7,"Calculate","Event",,"posterior",-12399.5,0.00009495
7,"Calculate","Event",,"posterior",-12299.5,0.00010156
7,"Calculate","Event",,"posterior",-12199.5,0.0001063
7,"Calculate","Event",,"posterior",-12099.5,0.00011417
7,"Calculate","Event",,"posterior",-11999.5,0.00012336
7,"Calculate","Event",,"posterior",-11899.5,0.00013571
7,"Calculate","Event",,"posterior",-11799.5,0.00014631
7,"Calculate","Event",,"posterior",-11699.5,0.00015727
7,"Calculate","Event",,"posterior",-11599.5,0.00017919
7,"Calculate","Event",,"posterior",-11499.5,0.00020202
7,"Calculate","Event",,"posterior",-11399.5,0.00023025
7,"Calculate","Event",,"posterior",-11299.5,0.0002603
7,"Calculate","Event",,"posterior",-11199.5,0.00029588
7,"Calculate","Event",,"posterior",-11099.5,0.0003281
7,"Calculate","Event",,"posterior",-10999.5,0.0003455
7,"Calculate","Event",,"posterior",-10899.5,0.0003425
7,"Calculate","Event",,"posterior",-10799.5,0.0003323
7,"Calculate","Event",,"posterior",-10699.5,0.00029961
7,"Calculate","Event",,"posterior",-10599.5,0.00026779
7,"Calculate","Event",,"posterior",-10499.5,0.0002459
7,"Calculate","Event",,"posterior",-10399.5,0.00021868
7,"Calculate","Event",,"posterior",-10299.5,0.00020405
7,"Calculate","Event",,"posterior",-10199.5,0.00018578
