"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-20219.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-20209.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-20199.5,0.0000013797
4,"Boundary","beginAnalysisUnit",,"posterior",-20189.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-20179.5,0.0000027862
4,"Boundary","beginAnalysisUnit",,"posterior",-20169.5,0.0000026819
4,"Boundary","beginAnalysisUnit",,"posterior",-20159.5,0.0000030723
4,"Boundary","beginAnalysisUnit",,"posterior",-20149.5,0.0000026819
4,"Boundary","beginAnalysisUnit",,"posterior",-20139.5,0.0000027341
4,"Boundary","beginAnalysisUnit",,"posterior",-20129.5,0.000003698
4,"Boundary","beginAnalysisUnit",,"posterior",-20119.5,0.0000019012
4,"Boundary","beginAnalysisUnit",,"posterior",-20109.5,0.000002813
4,"Boundary","beginAnalysisUnit",,"posterior",-20099.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-20089.5,0.0000017969
4,"Boundary","beginAnalysisUnit",,"posterior",-20079.5,0.0000025255
4,"Boundary","beginAnalysisUnit",,"posterior",-20069.5,0.0000031512
4,"Boundary","beginAnalysisUnit",,"posterior",-20059.5,0.0000028384
4,"Boundary","beginAnalysisUnit",,"posterior",-20049.5,0.0000026819
4,"Boundary","beginAnalysisUnit",,"posterior",-20039.5,0.0000027862
4,"Boundary","beginAnalysisUnit",,"posterior",-20029.5,0.0000029948
4,"Boundary","beginAnalysisUnit",,"posterior",-20019.5,0.0000026044
4,"Boundary","beginAnalysisUnit",,"posterior",-20009.5,0.0000027862
4,"Boundary","beginAnalysisUnit",,"posterior",-19999.5,0.000002813
4,"Boundary","beginAnalysisUnit",,"posterior",-19989.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-19979.5,0.0000018222
4,"Boundary","beginAnalysisUnit",,"posterior",-19969.5,0.0000027341
4,"Boundary","beginAnalysisUnit",,"posterior",-19959.5,0.000002214
4,"Boundary","beginAnalysisUnit",,"posterior",-19949.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-19939.5,0.0000025776
4,"Boundary","beginAnalysisUnit",,"posterior",-19929.5,0.0000018744
4,"Boundary","beginAnalysisUnit",,"posterior",-19919.5,0.0000028651
4,"Boundary","beginAnalysisUnit",,"posterior",-19909.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-19899.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-19889.5,0.0000025523
4,"Boundary","beginAnalysisUnit",,"posterior",-19879.5,0.000002214
4,"Boundary","beginAnalysisUnit",,"posterior",-19869.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-19859.5,0.0000020308
4,"Boundary","beginAnalysisUnit",,"posterior",-19849.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19839.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19829.5,0.0000019533
4,"Boundary","beginAnalysisUnit",,"posterior",-19819.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19809.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-19799.5,0.0000023183
4,"Boundary","beginAnalysisUnit",,"posterior",-19789.5,0.000002448
4,"Boundary","beginAnalysisUnit",,"posterior",-19779.5,0.0000019787
4,"Boundary","beginAnalysisUnit",,"posterior",-19769.5,0.0000024733
4,"Boundary","beginAnalysisUnit",,"posterior",-19759.5,0.0000025001
4,"Boundary","beginAnalysisUnit",,"posterior",-19749.5,0.000001849
4,"Boundary","beginAnalysisUnit",,"posterior",-19739.5,0.000002214
4,"Boundary","beginAnalysisUnit",,"posterior",-19729.5,0.0000026298
4,"Boundary","beginAnalysisUnit",,"posterior",-19719.5,0.0000025523
4,"Boundary","beginAnalysisUnit",,"posterior",-19709.5,0.0000024212
4,"Boundary","beginAnalysisUnit",,"posterior",-19699.5,0.000002448
4,"Boundary","beginAnalysisUnit",,"posterior",-19689.5,0.0000016672
4,"Boundary","beginAnalysisUnit",,"posterior",-19679.5,0.0000024733
4,"Boundary","beginAnalysisUnit",,"posterior",-19669.5,0.0000019012
4,"Boundary","beginAnalysisUnit",,"posterior",-19659.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19649.5,0.0000023958
4,"Boundary","beginAnalysisUnit",,"posterior",-19639.5,0.0000024212
4,"Boundary","beginAnalysisUnit",,"posterior",-19629.5,0.0000015629
4,"Boundary","beginAnalysisUnit",,"posterior",-19619.5,0.0000026298
4,"Boundary","beginAnalysisUnit",,"posterior",-19609.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19599.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19589.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-19579.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-19569.5,0.0000021872
4,"Boundary","beginAnalysisUnit",,"posterior",-19559.5,0.0000024733
4,"Boundary","beginAnalysisUnit",,"posterior",-19549.5,0.0000023691
4,"Boundary","beginAnalysisUnit",,"posterior",-19539.5,0.0000019012
4,"Boundary","beginAnalysisUnit",,"posterior",-19529.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-19519.5,0.0000024212
4,"Boundary","beginAnalysisUnit",,"posterior",-19509.5,0.0000020576
4,"Boundary","beginAnalysisUnit",,"posterior",-19499.5,0.0000019533
4,"Boundary","beginAnalysisUnit",,"posterior",-19489.5,0.0000021872
4,"Boundary","beginAnalysisUnit",,"posterior",-19479.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19469.5,0.000002214
4,"Boundary","beginAnalysisUnit",,"posterior",-19459.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-19449.5,0.000002214
4,"Boundary","beginAnalysisUnit",,"posterior",-19439.5,0.000002083
4,"Boundary","beginAnalysisUnit",,"posterior",-19429.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19419.5,0.0000020308
4,"Boundary","beginAnalysisUnit",,"posterior",-19409.5,0.0000017194
4,"Boundary","beginAnalysisUnit",,"posterior",-19399.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-19389.5,0.000001484
4,"Boundary","beginAnalysisUnit",,"posterior",-19379.5,0.000002448
4,"Boundary","beginAnalysisUnit",,"posterior",-19369.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-19359.5,0.0000019533
4,"Boundary","beginAnalysisUnit",,"posterior",-19349.5,0.0000017194
4,"Boundary","beginAnalysisUnit",,"posterior",-19339.5,0.0000018222
4,"Boundary","beginAnalysisUnit",,"posterior",-19329.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-19319.5,0.0000018222
4,"Boundary","beginAnalysisUnit",,"posterior",-19309.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-19299.5,0.000002448
4,"Boundary","beginAnalysisUnit",,"posterior",-19289.5,0.0000020054
4,"Boundary","beginAnalysisUnit",,"posterior",-19279.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-19269.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-19259.5,0.000002214
4,"Boundary","beginAnalysisUnit",,"posterior",-19249.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-19239.5,0.0000023691
4,"Boundary","beginAnalysisUnit",,"posterior",-19229.5,0.0000016672
4,"Boundary","beginAnalysisUnit",,"posterior",-19219.5,0.0000022915
4,"Boundary","beginAnalysisUnit",,"posterior",-19209.5,0.0000016926
4,"Boundary","beginAnalysisUnit",,"posterior",-19199.5,0.000001849
4,"Boundary","beginAnalysisUnit",,"posterior",-19189.5,0.000001849
4,"Boundary","beginAnalysisUnit",,"posterior",-19179.5,0.0000022915
4,"Boundary","beginAnalysisUnit",,"posterior",-19169.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-19159.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-19149.5,0.0000020054
4,"Boundary","beginAnalysisUnit",,"posterior",-19139.5,0.0000024212
4,"Boundary","beginAnalysisUnit",,"posterior",-19129.5,0.0000016404
4,"Boundary","beginAnalysisUnit",,"posterior",-19119.5,0.0000018744
4,"Boundary","beginAnalysisUnit",,"posterior",-19109.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-19099.5,0.0000026298
4,"Boundary","beginAnalysisUnit",,"posterior",-19089.5,0.0000022662
4,"Boundary","beginAnalysisUnit",,"posterior",-19079.5,0.0000021872
4,"Boundary","beginAnalysisUnit",,"posterior",-19069.5,0.0000024733
4,"Boundary","beginAnalysisUnit",,"posterior",-19059.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-19049.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-19039.5,0.0000026298
4,"Boundary","beginAnalysisUnit",,"posterior",-19029.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-19019.5,0.0000020576
4,"Boundary","beginAnalysisUnit",,"posterior",-19009.5,0.0000018222
4,"Boundary","beginAnalysisUnit",,"posterior",-18999.5,0.0000020054
4,"Boundary","beginAnalysisUnit",,"posterior",-18989.5,0.0000019012
4,"Boundary","beginAnalysisUnit",,"posterior",-18979.5,0.0000019012
4,"Boundary","beginAnalysisUnit",,"posterior",-18969.5,0.0000020054
4,"Boundary","beginAnalysisUnit",,"posterior",-18959.5,0.0000017969
4,"Boundary","beginAnalysisUnit",,"posterior",-18949.5,0.000002083
4,"Boundary","beginAnalysisUnit",,"posterior",-18939.5,0.0000020576
4,"Boundary","beginAnalysisUnit",,"posterior",-18929.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18919.5,0.0000019533
4,"Boundary","beginAnalysisUnit",,"posterior",-18909.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18899.5,0.0000020308
4,"Boundary","beginAnalysisUnit",,"posterior",-18889.5,0.0000024212
4,"Boundary","beginAnalysisUnit",,"posterior",-18879.5,0.000001849
4,"Boundary","beginAnalysisUnit",,"posterior",-18869.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-18859.5,0.000001849
4,"Boundary","beginAnalysisUnit",,"posterior",-18849.5,0.0000026298
4,"Boundary","beginAnalysisUnit",,"posterior",-18839.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-18829.5,0.0000017969
4,"Boundary","beginAnalysisUnit",,"posterior",-18819.5,0.0000019787
4,"Boundary","beginAnalysisUnit",,"posterior",-18809.5,0.000002083
4,"Boundary","beginAnalysisUnit",,"posterior",-18799.5,0.0000015883
4,"Boundary","beginAnalysisUnit",,"posterior",-18789.5,0.000002083
4,"Boundary","beginAnalysisUnit",,"posterior",-18779.5,0.0000023958
4,"Boundary","beginAnalysisUnit",,"posterior",-18769.5,0.0000016672
4,"Boundary","beginAnalysisUnit",,"posterior",-18759.5,0.0000018744
4,"Boundary","beginAnalysisUnit",,"posterior",-18749.5,0.0000024733
4,"Boundary","beginAnalysisUnit",,"posterior",-18739.5,0.0000017701
4,"Boundary","beginAnalysisUnit",,"posterior",-18729.5,0.0000020308
4,"Boundary","beginAnalysisUnit",,"posterior",-18719.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-18709.5,0.0000023958
4,"Boundary","beginAnalysisUnit",,"posterior",-18699.5,0.0000021872
4,"Boundary","beginAnalysisUnit",,"posterior",-18689.5,0.0000022662
4,"Boundary","beginAnalysisUnit",,"posterior",-18679.5,0.0000019012
4,"Boundary","beginAnalysisUnit",,"posterior",-18669.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18659.5,0.0000021872
4,"Boundary","beginAnalysisUnit",,"posterior",-18649.5,0.0000026044
4,"Boundary","beginAnalysisUnit",,"posterior",-18639.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-18629.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18619.5,0.0000015883
4,"Boundary","beginAnalysisUnit",,"posterior",-18609.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18599.5,0.0000025001
4,"Boundary","beginAnalysisUnit",,"posterior",-18589.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18579.5,0.0000013543
4,"Boundary","beginAnalysisUnit",,"posterior",-18569.5,0.0000019787
4,"Boundary","beginAnalysisUnit",,"posterior",-18559.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-18549.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-18539.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18529.5,0.0000018744
4,"Boundary","beginAnalysisUnit",,"posterior",-18519.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18509.5,0.0000017701
4,"Boundary","beginAnalysisUnit",,"posterior",-18499.5,0.0000023183
4,"Boundary","beginAnalysisUnit",,"posterior",-18489.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18479.5,0.0000020308
4,"Boundary","beginAnalysisUnit",,"posterior",-18469.5,0.000001849
4,"Boundary","beginAnalysisUnit",,"posterior",-18459.5,0.0000019012
4,"Boundary","beginAnalysisUnit",,"posterior",-18449.5,0.0000025776
4,"Boundary","beginAnalysisUnit",,"posterior",-18439.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-18429.5,0.0000015361
4,"Boundary","beginAnalysisUnit",,"posterior",-18419.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18409.5,0.0000024212
4,"Boundary","beginAnalysisUnit",,"posterior",-18399.5,0.000002448
4,"Boundary","beginAnalysisUnit",,"posterior",-18389.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-18379.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18369.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-18359.5,0.0000022915
4,"Boundary","beginAnalysisUnit",,"posterior",-18349.5,0.000002083
4,"Boundary","beginAnalysisUnit",,"posterior",-18339.5,0.0000020308
4,"Boundary","beginAnalysisUnit",,"posterior",-18329.5,0.0000022662
4,"Boundary","beginAnalysisUnit",,"posterior",-18319.5,0.0000020308
4,"Boundary","beginAnalysisUnit",,"posterior",-18309.5,0.0000021619
4,"Boundary","beginAnalysisUnit",,"posterior",-18299.5,0.0000020054
4,"Boundary","beginAnalysisUnit",,"posterior",-18289.5,0.0000018744
4,"Boundary","beginAnalysisUnit",,"posterior",-18279.5,0.0000022915
4,"Boundary","beginAnalysisUnit",,"posterior",-18269.5,0.0000023183
4,"Boundary","beginAnalysisUnit",,"posterior",-18259.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-18249.5,0.0000019533
4,"Boundary","beginAnalysisUnit",,"posterior",-18239.5,0.0000020576
4,"Boundary","beginAnalysisUnit",,"posterior",-18229.5,0.0000022915
4,"Boundary","beginAnalysisUnit",,"posterior",-18219.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-18209.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18199.5,0.0000019533
4,"Boundary","beginAnalysisUnit",,"posterior",-18189.5,0.0000023437
4,"Boundary","beginAnalysisUnit",,"posterior",-18179.5,0.0000020054
4,"Boundary","beginAnalysisUnit",,"posterior",-18169.5,0.000002083
4,"Boundary","beginAnalysisUnit",,"posterior",-18159.5,0.0000023958
4,"Boundary","beginAnalysisUnit",,"posterior",-18149.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-18139.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18129.5,0.0000015883
4,"Boundary","beginAnalysisUnit",,"posterior",-18119.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-18109.5,0.0000022662
4,"Boundary","beginAnalysisUnit",,"posterior",-18099.5,0.000002214
4,"Boundary","beginAnalysisUnit",,"posterior",-18089.5,0.0000018744
4,"Boundary","beginAnalysisUnit",,"posterior",-18079.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18069.5,0.0000019265
4,"Boundary","beginAnalysisUnit",,"posterior",-18059.5,0.0000023958
4,"Boundary","beginAnalysisUnit",,"posterior",-18049.5,0.0000021351
4,"Boundary","beginAnalysisUnit",,"posterior",-18039.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-18029.5,0.0000022394
4,"Boundary","beginAnalysisUnit",,"posterior",-18019.5,0.0000026298
4,"Boundary","beginAnalysisUnit",,"posterior",-18009.5,0.0000020576
4,"Boundary","beginAnalysisUnit",,"posterior",-17999.5,0.000002083
4,"Boundary","beginAnalysisUnit",,"posterior",-17989.5,0.0000021097
4,"Boundary","beginAnalysisUnit",,"posterior",-17979.5,0.000001849
4,"Boundary","beginAnalysisUnit",,"posterior",-17969.5,0.0000020054
4,"Boundary","beginAnalysisUnit",,"posterior",-17959.5,0.0000023958
4,"Boundary","beginAnalysisUnit",,"posterior",-17949.5,0.000002083
