"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",1170.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",1180.5,0.0000023303
4,"Boundary","beginAnalysisUnit",,"posterior",1190.5,0.000005753
4,"Boundary","beginAnalysisUnit",,"posterior",1200.5,0.000006583
4,"Boundary","beginAnalysisUnit",,"posterior",1210.5,0.000007501
4,"Boundary","beginAnalysisUnit",,"posterior",1220.5,0.000009081
4,"Boundary","beginAnalysisUnit",,"posterior",1230.5,0.000011083
4,"Boundary","beginAnalysisUnit",,"posterior",1240.5,0.000014914
4,"Boundary","beginAnalysisUnit",,"posterior",1250.5,0.000019334
4,"Boundary","beginAnalysisUnit",,"posterior",1260.5,0.000028335
4,"Boundary","beginAnalysisUnit",,"posterior",1270.5,0.00003258
4,"Boundary","beginAnalysisUnit",,"posterior",1280.5,0.0000485
4,"Boundary","beginAnalysisUnit",,"posterior",1290.5,0.00006433
4,"Boundary","beginAnalysisUnit",,"posterior",1300.5,0.00007734
4,"Boundary","beginAnalysisUnit",,"posterior",1310.5,0.0001115
4,"Boundary","beginAnalysisUnit",,"posterior",1320.5,0.00015016
4,"Boundary","beginAnalysisUnit",,"posterior",1330.5,0.00021525
4,"Boundary","beginAnalysisUnit",,"posterior",1340.5,0.00030658
4,"Boundary","beginAnalysisUnit",,"posterior",1350.5,0.0004259
4,"Boundary","beginAnalysisUnit",,"posterior",1360.5,0.0006057
4,"Boundary","beginAnalysisUnit",,"posterior",1370.5,0.0008781
4,"Boundary","beginAnalysisUnit",,"posterior",1380.5,0.0013198
4,"Boundary","beginAnalysisUnit",,"posterior",1390.5,0.0019505
4,"Boundary","beginAnalysisUnit",,"posterior",1400.5,0.0029772
4,"Boundary","beginAnalysisUnit",,"posterior",1410.5,0.004342
4,"Boundary","beginAnalysisUnit",,"posterior",1420.5,0.005973
4,"Boundary","beginAnalysisUnit",,"posterior",1430.5,0.007282
4,"Boundary","beginAnalysisUnit",,"posterior",1440.5,0.007273
4,"Boundary","beginAnalysisUnit",,"posterior",1450.5,0.006153
4,"Boundary","beginAnalysisUnit",,"posterior",1460.5,0.005131
4,"Boundary","beginAnalysisUnit",,"posterior",1470.5,0.004627
4,"Boundary","beginAnalysisUnit",,"posterior",1480.5,0.004139
4,"Boundary","beginAnalysisUnit",,"posterior",1490.5,0.003898
4,"Boundary","beginAnalysisUnit",,"posterior",1500.5,0.00366
4,"Boundary","beginAnalysisUnit",,"posterior",1510.5,0.003861
4,"Boundary","beginAnalysisUnit",,"posterior",1520.5,0.003996
4,"Boundary","beginAnalysisUnit",,"posterior",1530.5,0.004709
4,"Boundary","beginAnalysisUnit",,"posterior",1540.5,0.005062
4,"Boundary","beginAnalysisUnit",,"posterior",1550.5,0.005519
4,"Boundary","beginAnalysisUnit",,"posterior",1560.5,0.005154
