"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",380.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",390.5,4.164e-7
4,"Boundary","beginAnalysisUnit",,"posterior",400.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",410.5,0.0000014616
4,"Boundary","beginAnalysisUnit",,"posterior",420.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",430.5,0.000001878
4,"Boundary","beginAnalysisUnit",,"posterior",440.5,0.0000010452
4,"Boundary","beginAnalysisUnit",,"posterior",450.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",460.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",470.5,4.164e-7
4,"Boundary","beginAnalysisUnit",,"posterior",480.5,6.287e-7
4,"Boundary","beginAnalysisUnit",,"posterior",490.5,0.0000014616
4,"Boundary","beginAnalysisUnit",,"posterior",500.5,0.0000012493
4,"Boundary","beginAnalysisUnit",,"posterior",510.5,0.000001878
4,"Boundary","beginAnalysisUnit",,"posterior",520.5,6.287e-7
4,"Boundary","beginAnalysisUnit",,"posterior",530.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",540.5,0.000001878
4,"Boundary","beginAnalysisUnit",,"posterior",550.5,0.0000014616
4,"Boundary","beginAnalysisUnit",,"posterior",560.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",570.5,0.000001878
4,"Boundary","beginAnalysisUnit",,"posterior",580.5,0.0000022944
4,"Boundary","beginAnalysisUnit",,"posterior",590.5,0.000001878
4,"Boundary","beginAnalysisUnit",,"posterior",600.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",610.5,8.329e-7
4,"Boundary","beginAnalysisUnit",,"posterior",620.5,0.0000020821
4,"Boundary","beginAnalysisUnit",,"posterior",630.5,0.0000012493
4,"Boundary","beginAnalysisUnit",,"posterior",640.5,0.0000016657
4,"Boundary","beginAnalysisUnit",,"posterior",650.5,0.0000020821
4,"Boundary","beginAnalysisUnit",,"posterior",660.5,0.0000022944
4,"Boundary","beginAnalysisUnit",,"posterior",670.5,0.0000027109
4,"Boundary","beginAnalysisUnit",,"posterior",680.5,0.0000010452
4,"Boundary","beginAnalysisUnit",,"posterior",690.5,0.000001878
4,"Boundary","beginAnalysisUnit",,"posterior",700.5,0.0000020821
4,"Boundary","beginAnalysisUnit",,"posterior",710.5,0.000001878
4,"Boundary","beginAnalysisUnit",,"posterior",720.5,0.0000016657
4,"Boundary","beginAnalysisUnit",,"posterior",730.5,0.000003544
4,"Boundary","beginAnalysisUnit",,"posterior",740.5,0.0000024986
4,"Boundary","beginAnalysisUnit",,"posterior",750.5,0.000004581
4,"Boundary","beginAnalysisUnit",,"posterior",760.5,0.0000022944
4,"Boundary","beginAnalysisUnit",,"posterior",770.5,0.000003748
