"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",1120.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",1130.5,0.0000011365
4,"Boundary","beginAnalysisUnit",,"posterior",1140.5,0.000004167
4,"Boundary","beginAnalysisUnit",,"posterior",1150.5,0.000004792
4,"Boundary","beginAnalysisUnit",,"posterior",1160.5,0.000006251
4,"Boundary","beginAnalysisUnit",,"posterior",1170.5,0.000008542
4,"Boundary","beginAnalysisUnit",,"posterior",1180.5,0.000015304
4,"Boundary","beginAnalysisUnit",,"posterior",1190.5,0.000009054
4,"Boundary","beginAnalysisUnit",,"posterior",1200.5,0.000020002
4,"Boundary","beginAnalysisUnit",,"posterior",1210.5,0.00001843
4,"Boundary","beginAnalysisUnit",,"posterior",1220.5,0.000030097
4,"Boundary","beginAnalysisUnit",,"posterior",1230.5,0.00003968
4,"Boundary","beginAnalysisUnit",,"posterior",1240.5,0.00008073
4,"Boundary","beginAnalysisUnit",,"posterior",1250.5,0.00008105
4,"Boundary","beginAnalysisUnit",,"posterior",1260.5,0.00011416
4,"Boundary","beginAnalysisUnit",,"posterior",1270.5,0.00015198
4,"Boundary","beginAnalysisUnit",,"posterior",1280.5,0.00021697
4,"Boundary","beginAnalysisUnit",,"posterior",1290.5,0.0003322
4,"Boundary","beginAnalysisUnit",,"posterior",1300.5,0.0005526
4,"Boundary","beginAnalysisUnit",,"posterior",1310.5,0.0006759
4,"Boundary","beginAnalysisUnit",,"posterior",1320.5,0.0009138
4,"Boundary","beginAnalysisUnit",,"posterior",1330.5,0.0011622
4,"Boundary","beginAnalysisUnit",,"posterior",1340.5,0.0014851
4,"Boundary","beginAnalysisUnit",,"posterior",1350.5,0.0017749
4,"Boundary","beginAnalysisUnit",,"posterior",1360.5,0.0023257
4,"Boundary","beginAnalysisUnit",,"posterior",1370.5,0.00338
4,"Boundary","beginAnalysisUnit",,"posterior",1380.5,0.005433
4,"Boundary","beginAnalysisUnit",,"posterior",1390.5,0.008396
4,"Boundary","beginAnalysisUnit",,"posterior",1400.5,0.011999
4,"Boundary","beginAnalysisUnit",,"posterior",1410.5,0.015444
4,"Boundary","beginAnalysisUnit",,"posterior",1420.5,0.018941
4,"Boundary","beginAnalysisUnit",,"posterior",1430.5,0.018351
4,"Boundary","beginAnalysisUnit",,"posterior",1440.5,0.007512
4,"Boundary","beginAnalysisUnit",,"posterior",1450.5,0.0005085
4,"Boundary","beginAnalysisUnit",,"posterior",1460.5,0.000009793
4,"Boundary","beginAnalysisUnit",,"posterior",1470.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",1480.5,0
6,"R_Date","7997[SMU-1085]",,"likelihood",1290.5,0
6,"R_Date","7997[SMU-1085]",,"likelihood",1300.5,0
6,"R_Date","7997[SMU-1085]",,"likelihood",1310.5,0
6,"R_Date","7997[SMU-1085]",,"likelihood",1320.5,6.366e-8
6,"R_Date","7997[SMU-1085]",,"likelihood",1330.5,0.000004456
6,"R_Date","7997[SMU-1085]",,"likelihood",1340.5,0.000003501
6,"R_Date","7997[SMU-1085]",,"likelihood",1350.5,0.0000014961
6,"R_Date","7997[SMU-1085]",,"likelihood",1360.5,3.183e-8
6,"R_Date","7997[SMU-1085]",,"likelihood",1370.5,0
6,"R_Date","7997[SMU-1085]",,"likelihood",1380.5,0
6,"R_Date","7997[SMU-1085]",,"likelihood",1390.5,1.5916e-7
6,"R_Date","7997[SMU-1085]",,"likelihood",1400.5,0.000029922
6,"R_Date","7997[SMU-1085]",,"likelihood",1410.5,0.0008232
6,"R_Date","7997[SMU-1085]",,"likelihood",1420.5,0.003482
6,"R_Date","7997[SMU-1085]",,"likelihood",1430.5,0.01638
6,"R_Date","7997[SMU-1085]",,"likelihood",1440.5,0.03183
6,"R_Date","7997[SMU-1085]",,"likelihood",1450.5,0.028293
