"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-329.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-319.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-309.5,0.00009125
4,"Boundary","beginAnalysisUnit",,"posterior",-299.5,0.00014042
4,"Boundary","beginAnalysisUnit",,"posterior",-289.5,0.00012521
4,"Boundary","beginAnalysisUnit",,"posterior",-279.5,0.00012813
4,"Boundary","beginAnalysisUnit",,"posterior",-269.5,0.00011437
4,"Boundary","beginAnalysisUnit",,"posterior",-259.5,0.000125
4,"Boundary","beginAnalysisUnit",,"posterior",-249.5,0.00012292
4,"Boundary","beginAnalysisUnit",,"posterior",-239.5,0.00011083
4,"Boundary","beginAnalysisUnit",,"posterior",-229.5,0.00011875
4,"Boundary","beginAnalysisUnit",,"posterior",-219.5,0.0001075
4,"Boundary","beginAnalysisUnit",,"posterior",-209.5,0.00011312
4,"Boundary","beginAnalysisUnit",,"posterior",-199.5,0.00010562
4,"Boundary","beginAnalysisUnit",,"posterior",-189.5,0.00010729
4,"Boundary","beginAnalysisUnit",,"posterior",-179.5,0.00010396
4,"Boundary","beginAnalysisUnit",,"posterior",-169.5,0.00010542
4,"Boundary","beginAnalysisUnit",,"posterior",-159.5,0.0000975
4,"Boundary","beginAnalysisUnit",,"posterior",-149.5,0.00010396
4,"Boundary","beginAnalysisUnit",,"posterior",-139.5,0.00011604
4,"Boundary","beginAnalysisUnit",,"posterior",-129.5,0.00009792
4,"Boundary","beginAnalysisUnit",,"posterior",-119.5,0.00009729
4,"Boundary","beginAnalysisUnit",,"posterior",-109.5,0.00009729
4,"Boundary","beginAnalysisUnit",,"posterior",-99.5,0.00010167
4,"Boundary","beginAnalysisUnit",,"posterior",-89.5,0.00011333
4,"Boundary","beginAnalysisUnit",,"posterior",-79.5,0.00010896
4,"Boundary","beginAnalysisUnit",,"posterior",-69.5,0.0001
4,"Boundary","beginAnalysisUnit",,"posterior",-59.5,0.00010583
4,"Boundary","beginAnalysisUnit",,"posterior",-49.5,0.00009833
4,"Boundary","beginAnalysisUnit",,"posterior",-39.5,0.00010396
4,"Boundary","beginAnalysisUnit",,"posterior",-29.5,0.00010125
4,"Boundary","beginAnalysisUnit",,"posterior",-19.5,0.00010542
4,"Boundary","beginAnalysisUnit",,"posterior",-9.5,0.00011312
4,"Boundary","beginAnalysisUnit",,"posterior",0.5,0.00011833
4,"Boundary","beginAnalysisUnit",,"posterior",10.5,0.00010167
4,"Boundary","beginAnalysisUnit",,"posterior",20.5,0.00011604
4,"Boundary","beginAnalysisUnit",,"posterior",30.5,0.00011104
4,"Boundary","beginAnalysisUnit",,"posterior",40.5,0.00011375
4,"Boundary","beginAnalysisUnit",,"posterior",50.5,0.00010458
4,"Boundary","beginAnalysisUnit",,"posterior",60.5,0.00010667
4,"Boundary","beginAnalysisUnit",,"posterior",70.5,0.00011479
4,"Boundary","beginAnalysisUnit",,"posterior",80.5,0.00012
4,"Boundary","beginAnalysisUnit",,"posterior",90.5,0.00011188
4,"Boundary","beginAnalysisUnit",,"posterior",100.5,0.00010708
4,"Boundary","beginAnalysisUnit",,"posterior",110.5,0.00010958
4,"Boundary","beginAnalysisUnit",,"posterior",120.5,0.00011833
4,"Boundary","beginAnalysisUnit",,"posterior",130.5,0.000125
4,"Boundary","beginAnalysisUnit",,"posterior",140.5,0.00012146
4,"Boundary","beginAnalysisUnit",,"posterior",150.5,0.00013521
4,"Boundary","beginAnalysisUnit",,"posterior",160.5,0.00012542
4,"Boundary","beginAnalysisUnit",,"posterior",170.5,0.00012792
4,"Boundary","beginAnalysisUnit",,"posterior",180.5,0.00012813
4,"Boundary","beginAnalysisUnit",,"posterior",190.5,0.00013646
4,"Boundary","beginAnalysisUnit",,"posterior",200.5,0.00013875
4,"Boundary","beginAnalysisUnit",,"posterior",210.5,0.00014271
4,"Boundary","beginAnalysisUnit",,"posterior",220.5,0.00013229
4,"Boundary","beginAnalysisUnit",,"posterior",230.5,0.00014833
4,"Boundary","beginAnalysisUnit",,"posterior",240.5,0.00015187
4,"Boundary","beginAnalysisUnit",,"posterior",250.5,0.00014042
4,"Boundary","beginAnalysisUnit",,"posterior",260.5,0.00015083
4,"Boundary","beginAnalysisUnit",,"posterior",270.5,0.00015708
4,"Boundary","beginAnalysisUnit",,"posterior",280.5,0.00015125
4,"Boundary","beginAnalysisUnit",,"posterior",290.5,0.00014792
4,"Boundary","beginAnalysisUnit",,"posterior",300.5,0.00015583
4,"Boundary","beginAnalysisUnit",,"posterior",310.5,0.00016958
4,"Boundary","beginAnalysisUnit",,"posterior",320.5,0.00016083
4,"Boundary","beginAnalysisUnit",,"posterior",330.5,0.00018854
4,"Boundary","beginAnalysisUnit",,"posterior",340.5,0.00017042
4,"Boundary","beginAnalysisUnit",,"posterior",350.5,0.0001675
4,"Boundary","beginAnalysisUnit",,"posterior",360.5,0.00019917
4,"Boundary","beginAnalysisUnit",,"posterior",370.5,0.00018458
4,"Boundary","beginAnalysisUnit",,"posterior",380.5,0.00018833
4,"Boundary","beginAnalysisUnit",,"posterior",390.5,0.00020812
4,"Boundary","beginAnalysisUnit",,"posterior",400.5,0.00019417
4,"Boundary","beginAnalysisUnit",,"posterior",410.5,0.00020583
4,"Boundary","beginAnalysisUnit",,"posterior",420.5,0.00021854
4,"Boundary","beginAnalysisUnit",,"posterior",430.5,0.00022354
4,"Boundary","beginAnalysisUnit",,"posterior",440.5,0.00023292
4,"Boundary","beginAnalysisUnit",,"posterior",450.5,0.00022542
4,"Boundary","beginAnalysisUnit",,"posterior",460.5,0.00023333
4,"Boundary","beginAnalysisUnit",,"posterior",470.5,0.00024208
4,"Boundary","beginAnalysisUnit",,"posterior",480.5,0.00026625
4,"Boundary","beginAnalysisUnit",,"posterior",490.5,0.000265
4,"Boundary","beginAnalysisUnit",,"posterior",500.5,0.00027563
4,"Boundary","beginAnalysisUnit",,"posterior",510.5,0.00029542
4,"Boundary","beginAnalysisUnit",,"posterior",520.5,0.00029896
4,"Boundary","beginAnalysisUnit",,"posterior",530.5,0.00028667
4,"Boundary","beginAnalysisUnit",,"posterior",540.5,0.0002975
4,"Boundary","beginAnalysisUnit",,"posterior",550.5,0.000324
4,"Boundary","beginAnalysisUnit",,"posterior",560.5,0.000344
4,"Boundary","beginAnalysisUnit",,"posterior",570.5,0.0003613
4,"Boundary","beginAnalysisUnit",,"posterior",580.5,0.0003454
4,"Boundary","beginAnalysisUnit",,"posterior",590.5,0.000345
