"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-2799.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-2789.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-2779.5,0.00004813
4,"Boundary","beginAnalysisUnit",,"posterior",-2769.5,0.00009375
4,"Boundary","beginAnalysisUnit",,"posterior",-2759.5,0.00008708
4,"Boundary","beginAnalysisUnit",,"posterior",-2749.5,0.00007625
4,"Boundary","beginAnalysisUnit",,"posterior",-2739.5,0.00007333
4,"Boundary","beginAnalysisUnit",,"posterior",-2729.5,0.00007562
4,"Boundary","beginAnalysisUnit",,"posterior",-2719.5,0.0000875
4,"Boundary","beginAnalysisUnit",,"posterior",-2709.5,0.00006958
4,"Boundary","beginAnalysisUnit",,"posterior",-2699.5,0.00006875
4,"Boundary","beginAnalysisUnit",,"posterior",-2689.5,0.00007771
4,"Boundary","beginAnalysisUnit",,"posterior",-2679.5,0.00006208
4,"Boundary","beginAnalysisUnit",,"posterior",-2669.5,0.00007208
4,"Boundary","beginAnalysisUnit",,"posterior",-2659.5,0.0000675
4,"Boundary","beginAnalysisUnit",,"posterior",-2649.5,0.00006979
4,"Boundary","beginAnalysisUnit",,"posterior",-2639.5,0.00006375
4,"Boundary","beginAnalysisUnit",,"posterior",-2629.5,0.00006833
4,"Boundary","beginAnalysisUnit",,"posterior",-2619.5,0.00006792
4,"Boundary","beginAnalysisUnit",,"posterior",-2609.5,0.00006563
4,"Boundary","beginAnalysisUnit",,"posterior",-2599.5,0.00006896
4,"Boundary","beginAnalysisUnit",,"posterior",-2589.5,0.00006312
4,"Boundary","beginAnalysisUnit",,"posterior",-2579.5,0.00006292
4,"Boundary","beginAnalysisUnit",,"posterior",-2569.5,0.00006
4,"Boundary","beginAnalysisUnit",,"posterior",-2559.5,0.00005562
4,"Boundary","beginAnalysisUnit",,"posterior",-2549.5,0.00006417
4,"Boundary","beginAnalysisUnit",,"posterior",-2539.5,0.00007188
4,"Boundary","beginAnalysisUnit",,"posterior",-2529.5,0.00006125
4,"Boundary","beginAnalysisUnit",,"posterior",-2519.5,0.00006375
4,"Boundary","beginAnalysisUnit",,"posterior",-2509.5,0.00006479
4,"Boundary","beginAnalysisUnit",,"posterior",-2499.5,0.00006625
4,"Boundary","beginAnalysisUnit",,"posterior",-2489.5,0.00006229
4,"Boundary","beginAnalysisUnit",,"posterior",-2479.5,0.00005313
4,"Boundary","beginAnalysisUnit",,"posterior",-2469.5,0.00005979
4,"Boundary","beginAnalysisUnit",,"posterior",-2459.5,0.00006521
4,"Boundary","beginAnalysisUnit",,"posterior",-2449.5,0.00006563
4,"Boundary","beginAnalysisUnit",,"posterior",-2439.5,0.00006354
4,"Boundary","beginAnalysisUnit",,"posterior",-2429.5,0.00006438
4,"Boundary","beginAnalysisUnit",,"posterior",-2419.5,0.00006312
4,"Boundary","beginAnalysisUnit",,"posterior",-2409.5,0.00006271
4,"Boundary","beginAnalysisUnit",,"posterior",-2399.5,0.00006438
4,"Boundary","beginAnalysisUnit",,"posterior",-2389.5,0.00006833
4,"Boundary","beginAnalysisUnit",,"posterior",-2379.5,0.00006063
4,"Boundary","beginAnalysisUnit",,"posterior",-2369.5,0.00005854
4,"Boundary","beginAnalysisUnit",,"posterior",-2359.5,0.00005938
4,"Boundary","beginAnalysisUnit",,"posterior",-2349.5,0.00006063
4,"Boundary","beginAnalysisUnit",,"posterior",-2339.5,0.00006083
4,"Boundary","beginAnalysisUnit",,"posterior",-2329.5,0.00006042
4,"Boundary","beginAnalysisUnit",,"posterior",-2319.5,0.00006563
4,"Boundary","beginAnalysisUnit",,"posterior",-2309.5,0.00006333
4,"Boundary","beginAnalysisUnit",,"posterior",-2299.5,0.00006812
4,"Boundary","beginAnalysisUnit",,"posterior",-2289.5,0.00006667
4,"Boundary","beginAnalysisUnit",,"posterior",-2279.5,0.00006688
4,"Boundary","beginAnalysisUnit",,"posterior",-2269.5,0.00005771
4,"Boundary","beginAnalysisUnit",,"posterior",-2259.5,0.00005771
4,"Boundary","beginAnalysisUnit",,"posterior",-2249.5,0.00006396
4,"Boundary","beginAnalysisUnit",,"posterior",-2239.5,0.00006375
4,"Boundary","beginAnalysisUnit",,"posterior",-2229.5,0.00005729
4,"Boundary","beginAnalysisUnit",,"posterior",-2219.5,0.00006458
4,"Boundary","beginAnalysisUnit",,"posterior",-2209.5,0.00006375
4,"Boundary","beginAnalysisUnit",,"posterior",-2199.5,0.00006438
4,"Boundary","beginAnalysisUnit",,"posterior",-2189.5,0.00006625
4,"Boundary","beginAnalysisUnit",,"posterior",-2179.5,0.00006667
4,"Boundary","beginAnalysisUnit",,"posterior",-2169.5,0.00006583
4,"Boundary","beginAnalysisUnit",,"posterior",-2159.5,0.00006604
4,"Boundary","beginAnalysisUnit",,"posterior",-2149.5,0.00007083
4,"Boundary","beginAnalysisUnit",,"posterior",-2139.5,0.00006396
4,"Boundary","beginAnalysisUnit",,"posterior",-2129.5,0.00006542
4,"Boundary","beginAnalysisUnit",,"posterior",-2119.5,0.00006292
4,"Boundary","beginAnalysisUnit",,"posterior",-2109.5,0.00006312
4,"Boundary","beginAnalysisUnit",,"posterior",-2099.5,0.00006625
4,"Boundary","beginAnalysisUnit",,"posterior",-2089.5,0.00007042
4,"Boundary","beginAnalysisUnit",,"posterior",-2079.5,0.00006958
4,"Boundary","beginAnalysisUnit",,"posterior",-2069.5,0.00006521
4,"Boundary","beginAnalysisUnit",,"posterior",-2059.5,0.00007
4,"Boundary","beginAnalysisUnit",,"posterior",-2049.5,0.00006917
4,"Boundary","beginAnalysisUnit",,"posterior",-2039.5,0.00007021
4,"Boundary","beginAnalysisUnit",,"posterior",-2029.5,0.00006896
4,"Boundary","beginAnalysisUnit",,"posterior",-2019.5,0.00007167
4,"Boundary","beginAnalysisUnit",,"posterior",-2009.5,0.00007104
4,"Boundary","beginAnalysisUnit",,"posterior",-1999.5,0.00007042
4,"Boundary","beginAnalysisUnit",,"posterior",-1989.5,0.00006708
4,"Boundary","beginAnalysisUnit",,"posterior",-1979.5,0.00007042
4,"Boundary","beginAnalysisUnit",,"posterior",-1969.5,0.00007208
4,"Boundary","beginAnalysisUnit",,"posterior",-1959.5,0.00007896
4,"Boundary","beginAnalysisUnit",,"posterior",-1949.5,0.00008333
4,"Boundary","beginAnalysisUnit",,"posterior",-1939.5,0.00007167
4,"Boundary","beginAnalysisUnit",,"posterior",-1929.5,0.00007354
4,"Boundary","beginAnalysisUnit",,"posterior",-1919.5,0.0000775
4,"Boundary","beginAnalysisUnit",,"posterior",-1909.5,0.00007625
4,"Boundary","beginAnalysisUnit",,"posterior",-1899.5,0.00007271
4,"Boundary","beginAnalysisUnit",,"posterior",-1889.5,0.00008
4,"Boundary","beginAnalysisUnit",,"posterior",-1879.5,0.00007417
4,"Boundary","beginAnalysisUnit",,"posterior",-1869.5,0.00008083
4,"Boundary","beginAnalysisUnit",,"posterior",-1859.5,0.00007313
4,"Boundary","beginAnalysisUnit",,"posterior",-1849.5,0.00008333
4,"Boundary","beginAnalysisUnit",,"posterior",-1839.5,0.00008146
4,"Boundary","beginAnalysisUnit",,"posterior",-1829.5,0.00008104
4,"Boundary","beginAnalysisUnit",,"posterior",-1819.5,0.00007917
4,"Boundary","beginAnalysisUnit",,"posterior",-1809.5,0.000075
4,"Boundary","beginAnalysisUnit",,"posterior",-1799.5,0.00007354
4,"Boundary","beginAnalysisUnit",,"posterior",-1789.5,0.00008979
4,"Boundary","beginAnalysisUnit",,"posterior",-1779.5,0.00008854
4,"Boundary","beginAnalysisUnit",,"posterior",-1769.5,0.00007396
4,"Boundary","beginAnalysisUnit",,"posterior",-1759.5,0.00007604
4,"Boundary","beginAnalysisUnit",,"posterior",-1749.5,0.00009146
4,"Boundary","beginAnalysisUnit",,"posterior",-1739.5,0.00008438
4,"Boundary","beginAnalysisUnit",,"posterior",-1729.5,0.00007646
4,"Boundary","beginAnalysisUnit",,"posterior",-1719.5,0.00008021
4,"Boundary","beginAnalysisUnit",,"posterior",-1709.5,0.00007854
4,"Boundary","beginAnalysisUnit",,"posterior",-1699.5,0.00008354
4,"Boundary","beginAnalysisUnit",,"posterior",-1689.5,0.00009083
4,"Boundary","beginAnalysisUnit",,"posterior",-1679.5,0.00010062
4,"Boundary","beginAnalysisUnit",,"posterior",-1669.5,0.00008979
4,"Boundary","beginAnalysisUnit",,"posterior",-1659.5,0.00009271
4,"Boundary","beginAnalysisUnit",,"posterior",-1649.5,0.00009229
4,"Boundary","beginAnalysisUnit",,"posterior",-1639.5,0.00009604
4,"Boundary","beginAnalysisUnit",,"posterior",-1629.5,0.00010167
4,"Boundary","beginAnalysisUnit",,"posterior",-1619.5,0.00010104
4,"Boundary","beginAnalysisUnit",,"posterior",-1609.5,0.00009458
4,"Boundary","beginAnalysisUnit",,"posterior",-1599.5,0.00009396
4,"Boundary","beginAnalysisUnit",,"posterior",-1589.5,0.00009104
4,"Boundary","beginAnalysisUnit",,"posterior",-1579.5,0.00009813
4,"Boundary","beginAnalysisUnit",,"posterior",-1569.5,0.00010771
4,"Boundary","beginAnalysisUnit",,"posterior",-1559.5,0.00010187
4,"Boundary","beginAnalysisUnit",,"posterior",-1549.5,0.00010313
4,"Boundary","beginAnalysisUnit",,"posterior",-1539.5,0.00009833
4,"Boundary","beginAnalysisUnit",,"posterior",-1529.5,0.00010396
4,"Boundary","beginAnalysisUnit",,"posterior",-1519.5,0.00011042
4,"Boundary","beginAnalysisUnit",,"posterior",-1509.5,0.00010438
4,"Boundary","beginAnalysisUnit",,"posterior",-1499.5,0.00010521
4,"Boundary","beginAnalysisUnit",,"posterior",-1489.5,0.00010479
4,"Boundary","beginAnalysisUnit",,"posterior",-1479.5,0.00011167
4,"Boundary","beginAnalysisUnit",,"posterior",-1469.5,0.00011208
4,"Boundary","beginAnalysisUnit",,"posterior",-1459.5,0.00012687
4,"Boundary","beginAnalysisUnit",,"posterior",-1449.5,0.00011104
4,"Boundary","beginAnalysisUnit",,"posterior",-1439.5,0.00010938
4,"Boundary","beginAnalysisUnit",,"posterior",-1429.5,0.00011958
4,"Boundary","beginAnalysisUnit",,"posterior",-1419.5,0.00012646
4,"Boundary","beginAnalysisUnit",,"posterior",-1409.5,0.00011833
4,"Boundary","beginAnalysisUnit",,"posterior",-1399.5,0.00011021
4,"Boundary","beginAnalysisUnit",,"posterior",-1389.5,0.00010958
4,"Boundary","beginAnalysisUnit",,"posterior",-1379.5,0.00013021
4,"Boundary","beginAnalysisUnit",,"posterior",-1369.5,0.00011896
4,"Boundary","beginAnalysisUnit",,"posterior",-1359.5,0.00012604
