"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-129.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-119.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-109.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-99.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-89.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-79.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-69.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-59.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-49.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-39.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-29.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-19.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-9.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",0.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",10.5,4.155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",20.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",30.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",40.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",50.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",60.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",70.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",80.5,6.232e-7
4,"Boundary","beginAnalysisUnit",,"posterior",90.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",100.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",110.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",120.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",130.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",140.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",150.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",160.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",170.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",180.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",190.5,4.155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",200.5,6.232e-7
4,"Boundary","beginAnalysisUnit",,"posterior",210.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",220.5,6.232e-7
4,"Boundary","beginAnalysisUnit",,"posterior",230.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",240.5,7.271e-7
4,"Boundary","beginAnalysisUnit",,"posterior",250.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",260.5,7.271e-7
4,"Boundary","beginAnalysisUnit",,"posterior",270.5,4.155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",280.5,7.271e-7
4,"Boundary","beginAnalysisUnit",,"posterior",290.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",300.5,4.155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",310.5,4.155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",320.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",330.5,4.155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",340.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",350.5,3.1161e-7
4,"Boundary","beginAnalysisUnit",,"posterior",360.5,7.271e-7
4,"Boundary","beginAnalysisUnit",,"posterior",370.5,6.232e-7
4,"Boundary","beginAnalysisUnit",,"posterior",380.5,5.194e-7
4,"Boundary","beginAnalysisUnit",,"posterior",390.5,4.155e-7
4,"Boundary","beginAnalysisUnit",,"posterior",400.5,7.271e-7
4,"Boundary","beginAnalysisUnit",,"posterior",410.5,9.348e-7
4,"Boundary","beginAnalysisUnit",,"posterior",420.5,0.0000011426
4,"Boundary","beginAnalysisUnit",,"posterior",430.5,8.31e-7
4,"Boundary","beginAnalysisUnit",,"posterior",440.5,8.31e-7
4,"Boundary","beginAnalysisUnit",,"posterior",450.5,0.0000011426
4,"Boundary","beginAnalysisUnit",,"posterior",460.5,2.0774e-7
4,"Boundary","beginAnalysisUnit",,"posterior",470.5,6.232e-7
4,"Boundary","beginAnalysisUnit",,"posterior",480.5,6.232e-7
4,"Boundary","beginAnalysisUnit",,"posterior",490.5,0.0000010387
4,"Boundary","beginAnalysisUnit",,"posterior",500.5,6.232e-7
4,"Boundary","beginAnalysisUnit",,"posterior",510.5,0.0000011426
4,"Boundary","beginAnalysisUnit",,"posterior",520.5,0.0000011426
4,"Boundary","beginAnalysisUnit",,"posterior",530.5,8.31e-7
4,"Boundary","beginAnalysisUnit",,"posterior",540.5,0.0000010387
4,"Boundary","beginAnalysisUnit",,"posterior",550.5,0.000001981
4,"Boundary","beginAnalysisUnit",,"posterior",560.5,1.0387e-7
4,"Boundary","beginAnalysisUnit",,"posterior",570.5,0.000001981
4,"Boundary","beginAnalysisUnit",,"posterior",580.5,0.0000013577
4,"Boundary","beginAnalysisUnit",,"posterior",590.5,8.31e-7
4,"Boundary","beginAnalysisUnit",,"posterior",600.5,0.0000020848
4,"Boundary","beginAnalysisUnit",,"posterior",610.5,0.0000010387
4,"Boundary","beginAnalysisUnit",,"posterior",620.5,0.0000018771
4,"Boundary","beginAnalysisUnit",,"posterior",630.5,0.0000014616
4,"Boundary","beginAnalysisUnit",,"posterior",640.5,0.0000010387
4,"Boundary","beginAnalysisUnit",,"posterior",650.5,0.0000016694
4,"Boundary","beginAnalysisUnit",,"posterior",660.5,0.000001981
4,"Boundary","beginAnalysisUnit",,"posterior",670.5,0.0000016694
4,"Boundary","beginAnalysisUnit",,"posterior",680.5,9.348e-7
4,"Boundary","beginAnalysisUnit",,"posterior",690.5,0.00000417
4,"Boundary","beginAnalysisUnit",,"posterior",700.5,0.0000018771
4,"Boundary","beginAnalysisUnit",,"posterior",710.5,0.0000029158
4,"Boundary","beginAnalysisUnit",,"posterior",720.5,0.0000018771
4,"Boundary","beginAnalysisUnit",,"posterior",730.5,0.0000030197
4,"Boundary","beginAnalysisUnit",,"posterior",740.5,0.000004066
4,"Boundary","beginAnalysisUnit",,"posterior",750.5,0.000003539
4,"Boundary","beginAnalysisUnit",,"posterior",760.5,0.000003747
4,"Boundary","beginAnalysisUnit",,"posterior",770.5,0.000004897
4,"Boundary","beginAnalysisUnit",,"posterior",780.5,0.000004066
4,"Boundary","beginAnalysisUnit",,"posterior",790.5,0.000004066
4,"Boundary","beginAnalysisUnit",,"posterior",800.5,0.000004897
4,"Boundary","beginAnalysisUnit",,"posterior",810.5,0.000006878
4,"Boundary","beginAnalysisUnit",,"posterior",820.5,0.0000029158
4,"Boundary","beginAnalysisUnit",,"posterior",830.5,0.000005001
4,"Boundary","beginAnalysisUnit",,"posterior",840.5,0.000006878
4,"Boundary","beginAnalysisUnit",,"posterior",850.5,0.000007501
4,"Boundary","beginAnalysisUnit",,"posterior",860.5,0.000007916
4,"Boundary","beginAnalysisUnit",,"posterior",870.5,0.000005312
4,"Boundary","beginAnalysisUnit",,"posterior",880.5,0.000009586
4,"Boundary","beginAnalysisUnit",,"posterior",890.5,0.00000552
4,"Boundary","beginAnalysisUnit",,"posterior",900.5,0.000010001
4,"Boundary","beginAnalysisUnit",,"posterior",910.5,0.000013956
4,"Boundary","beginAnalysisUnit",,"posterior",920.5,0.000011352
4,"Boundary","beginAnalysisUnit",,"posterior",930.5,0.000011352
4,"Boundary","beginAnalysisUnit",,"posterior",940.5,0.000009794
4,"Boundary","beginAnalysisUnit",,"posterior",950.5,0.000015417
4,"Boundary","beginAnalysisUnit",,"posterior",960.5,0.000012086
4,"Boundary","beginAnalysisUnit",,"posterior",970.5,0.000015314
4,"Boundary","beginAnalysisUnit",,"posterior",980.5,0.000021457
4,"Boundary","beginAnalysisUnit",,"posterior",990.5,0.000018541
4,"Boundary","beginAnalysisUnit",,"posterior",1000.5,0.000021872
4,"Boundary","beginAnalysisUnit",,"posterior",1010.5,0.000021249
4,"Boundary","beginAnalysisUnit",,"posterior",1020.5,0.000025107
4,"Boundary","beginAnalysisUnit",,"posterior",1030.5,0.000026457
4,"Boundary","beginAnalysisUnit",,"posterior",1040.5,0.000024269
4,"Boundary","beginAnalysisUnit",,"posterior",1050.5,0.000028438
4,"Boundary","beginAnalysisUnit",,"posterior",1060.5,0.000030108
4,"Boundary","beginAnalysisUnit",,"posterior",1070.5,0.0000326
4,"Boundary","beginAnalysisUnit",,"posterior",1080.5,0.00003239
4,"Boundary","beginAnalysisUnit",,"posterior",1090.5,0.00003875
4,"Boundary","beginAnalysisUnit",,"posterior",1100.5,0.00003687
4,"Boundary","beginAnalysisUnit",,"posterior",1110.5,0.00004594
4,"Boundary","beginAnalysisUnit",,"posterior",1120.5,0.00006125
4,"Boundary","beginAnalysisUnit",,"posterior",1130.5,0.0000574
4,"Boundary","beginAnalysisUnit",,"posterior",1140.5,0.00005864
4,"Boundary","beginAnalysisUnit",,"posterior",1150.5,0.00007302
4,"Boundary","beginAnalysisUnit",,"posterior",1160.5,0.00008115
4,"Boundary","beginAnalysisUnit",,"posterior",1170.5,0.00008667
4,"Boundary","beginAnalysisUnit",,"posterior",1180.5,0.00009365
4,"Boundary","beginAnalysisUnit",,"posterior",1190.5,0.0001126
4,"Boundary","beginAnalysisUnit",,"posterior",1200.5,0.0001124
4,"Boundary","beginAnalysisUnit",,"posterior",1210.5,0.00012438
4,"Boundary","beginAnalysisUnit",,"posterior",1220.5,0.00015938
4,"Boundary","beginAnalysisUnit",,"posterior",1230.5,0.00017438
4,"Boundary","beginAnalysisUnit",,"posterior",1240.5,0.00019531
4,"Boundary","beginAnalysisUnit",,"posterior",1250.5,0.000215
4,"Boundary","beginAnalysisUnit",,"posterior",1260.5,0.00024531
4,"Boundary","beginAnalysisUnit",,"posterior",1270.5,0.00027406
4,"Boundary","beginAnalysisUnit",,"posterior",1280.5,0.0003275
4,"Boundary","beginAnalysisUnit",,"posterior",1290.5,0.0003782
4,"Boundary","beginAnalysisUnit",,"posterior",1300.5,0.0004435
4,"Boundary","beginAnalysisUnit",,"posterior",1310.5,0.0004793
4,"Boundary","beginAnalysisUnit",,"posterior",1320.5,0.0005499
4,"Boundary","beginAnalysisUnit",,"posterior",1330.5,0.0006547
4,"Boundary","beginAnalysisUnit",,"posterior",1340.5,0.0007115
4,"Boundary","beginAnalysisUnit",,"posterior",1350.5,0.0008852
4,"Boundary","beginAnalysisUnit",,"posterior",1360.5,0.0009944
4,"Boundary","beginAnalysisUnit",,"posterior",1370.5,0.0012087
4,"Boundary","beginAnalysisUnit",,"posterior",1380.5,0.0013872
4,"Boundary","beginAnalysisUnit",,"posterior",1390.5,0.0014675
4,"Boundary","beginAnalysisUnit",,"posterior",1400.5,0.00191
4,"Boundary","beginAnalysisUnit",,"posterior",1410.5,0.0020596
4,"Boundary","beginAnalysisUnit",,"posterior",1420.5,0.0024428
4,"Boundary","beginAnalysisUnit",,"posterior",1430.5,0.0030432
4,"Boundary","beginAnalysisUnit",,"posterior",1440.5,0.003364
4,"Boundary","beginAnalysisUnit",,"posterior",1450.5,0.003536
4,"Boundary","beginAnalysisUnit",,"posterior",1460.5,0.004055
4,"Boundary","beginAnalysisUnit",,"posterior",1470.5,0.004295
4,"Boundary","beginAnalysisUnit",,"posterior",1480.5,0.005011
4,"Boundary","beginAnalysisUnit",,"posterior",1490.5,0.005021
4,"Boundary","beginAnalysisUnit",,"posterior",1500.5,0.006024
4,"Boundary","beginAnalysisUnit",,"posterior",1510.5,0.006198
4,"Boundary","beginAnalysisUnit",,"posterior",1520.5,0.007276
4,"Boundary","beginAnalysisUnit",,"posterior",1530.5,0.007419
4,"Boundary","beginAnalysisUnit",,"posterior",1540.5,0.006004
4,"Boundary","beginAnalysisUnit",,"posterior",1550.5,0.004438
4,"Boundary","beginAnalysisUnit",,"posterior",1560.5,0.003315
4,"Boundary","beginAnalysisUnit",,"posterior",1570.5,0.0027197
4,"Boundary","beginAnalysisUnit",,"posterior",1580.5,0.0020471
4,"Boundary","beginAnalysisUnit",,"posterior",1590.5,0.0016189
4,"Boundary","beginAnalysisUnit",,"posterior",1600.5,0.0015519
4,"Boundary","beginAnalysisUnit",,"posterior",1610.5,0.0013537
4,"Boundary","beginAnalysisUnit",,"posterior",1620.5,0.0012182
4,"Boundary","beginAnalysisUnit",,"posterior",1630.5,0.0009723
4,"Boundary","beginAnalysisUnit",,"posterior",1640.5,0.0005744
4,"Boundary","beginAnalysisUnit",,"posterior",1650.5,0.00023094
4,"Boundary","beginAnalysisUnit",,"posterior",1660.5,0.00003427
4,"Boundary","beginAnalysisUnit",,"posterior",1670.5,0.000001981
4,"Boundary","beginAnalysisUnit",,"posterior",1680.5,0.000001981
6,"R_Date","10035[UM-2602]",,"likelihood",1410.5,0
6,"R_Date","10035[UM-2602]",,"likelihood",1420.5,0
6,"R_Date","10035[UM-2602]",,"likelihood",1430.5,0
6,"R_Date","10035[UM-2602]",,"likelihood",1440.5,1.631e-8
6,"R_Date","10035[UM-2602]",,"likelihood",1450.5,2.7184e-7
6,"R_Date","10035[UM-2602]",,"likelihood",1460.5,0.000003322
6,"R_Date","10035[UM-2602]",,"likelihood",1470.5,0.000006057
6,"R_Date","10035[UM-2602]",,"likelihood",1480.5,0.00001935
6,"R_Date","10035[UM-2602]",,"likelihood",1490.5,0.00003297
6,"R_Date","10035[UM-2602]",,"likelihood",1500.5,0.00006112
6,"R_Date","10035[UM-2602]",,"likelihood",1510.5,0.00010228
6,"R_Date","10035[UM-2602]",,"likelihood",1520.5,0.00018538
6,"R_Date","10035[UM-2602]",,"likelihood",1530.5,0.0006257
6,"R_Date","10035[UM-2602]",,"likelihood",1540.5,0.0006509
6,"R_Date","10035[UM-2602]",,"likelihood",1550.5,0.0005437
6,"R_Date","10035[UM-2602]",,"likelihood",1560.5,0.0003201
6,"R_Date","10035[UM-2602]",,"likelihood",1570.5,0.00029618
6,"R_Date","10035[UM-2602]",,"likelihood",1580.5,0.00018581
6,"R_Date","10035[UM-2602]",,"likelihood",1590.5,0.00013086
6,"R_Date","10035[UM-2602]",,"likelihood",1600.5,0.00005543
6,"R_Date","10035[UM-2602]",,"likelihood",1610.5,0.00004589
6,"R_Date","10035[UM-2602]",,"likelihood",1620.5,0.00012425
6,"R_Date","10035[UM-2602]",,"likelihood",1630.5,0.0003276
6,"R_Date","10035[UM-2602]",,"likelihood",1640.5,0.0013639
6,"R_Date","10035[UM-2602]",,"likelihood",1650.5,0.003255
6,"R_Date","10035[UM-2602]",,"likelihood",1660.5,0.004808
6,"R_Date","10035[UM-2602]",,"likelihood",1670.5,0.005437
