"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",90.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",100.5,0.0000025007
4,"Boundary","beginAnalysisUnit",,"posterior",110.5,0.000006041
4,"Boundary","beginAnalysisUnit",,"posterior",120.5,0.000007085
4,"Boundary","beginAnalysisUnit",,"posterior",130.5,0.000010833
4,"Boundary","beginAnalysisUnit",,"posterior",140.5,0.000008124
4,"Boundary","beginAnalysisUnit",,"posterior",150.5,0.00000875
4,"Boundary","beginAnalysisUnit",,"posterior",160.5,0.000010207
4,"Boundary","beginAnalysisUnit",,"posterior",170.5,0.000010833
4,"Boundary","beginAnalysisUnit",,"posterior",180.5,0.000010833
4,"Boundary","beginAnalysisUnit",,"posterior",190.5,0.000015835
4,"Boundary","beginAnalysisUnit",,"posterior",200.5,0.000014582
4,"Boundary","beginAnalysisUnit",,"posterior",210.5,0.000012499
4,"Boundary","beginAnalysisUnit",,"posterior",220.5,0.000022706
4,"Boundary","beginAnalysisUnit",,"posterior",230.5,0.000019584
4,"Boundary","beginAnalysisUnit",,"posterior",240.5,0.000023124
4,"Boundary","beginAnalysisUnit",,"posterior",250.5,0.000020419
4,"Boundary","beginAnalysisUnit",,"posterior",260.5,0.000028543
4,"Boundary","beginAnalysisUnit",,"posterior",270.5,0.00003
4,"Boundary","beginAnalysisUnit",,"posterior",280.5,0.000029164
4,"Boundary","beginAnalysisUnit",,"posterior",290.5,0.00004229
4,"Boundary","beginAnalysisUnit",,"posterior",300.5,0.00004229
4,"Boundary","beginAnalysisUnit",,"posterior",310.5,0.00004708
4,"Boundary","beginAnalysisUnit",,"posterior",320.5,0.00005312
4,"Boundary","beginAnalysisUnit",,"posterior",330.5,0.00005729
4,"Boundary","beginAnalysisUnit",,"posterior",340.5,0.00006437
4,"Boundary","beginAnalysisUnit",,"posterior",350.5,0.00007125
4,"Boundary","beginAnalysisUnit",,"posterior",360.5,0.00009104
4,"Boundary","beginAnalysisUnit",,"posterior",370.5,0.00009792
4,"Boundary","beginAnalysisUnit",,"posterior",380.5,0.00010937
4,"Boundary","beginAnalysisUnit",,"posterior",390.5,0.00010459
4,"Boundary","beginAnalysisUnit",,"posterior",400.5,0.00014708
4,"Boundary","beginAnalysisUnit",,"posterior",410.5,0.00017875
4,"Boundary","beginAnalysisUnit",,"posterior",420.5,0.00021333
4,"Boundary","beginAnalysisUnit",,"posterior",430.5,0.00021375
4,"Boundary","beginAnalysisUnit",,"posterior",440.5,0.00026646
4,"Boundary","beginAnalysisUnit",,"posterior",450.5,0.00029521
