"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-327.5,0
4,"Boundary","beginAnalysisUnit",,"posterior",-317.5,6.25e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-307.5,0.00000125
4,"Boundary","beginAnalysisUnit",,"posterior",-297.5,0.00000125
4,"Boundary","beginAnalysisUnit",,"posterior",-287.5,8.32e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-277.5,8.32e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-267.5,0.0000010431
4,"Boundary","beginAnalysisUnit",,"posterior",-257.5,6.25e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-247.5,8.32e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-237.5,0.0000016681
4,"Boundary","beginAnalysisUnit",,"posterior",-227.5,6.25e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-217.5,0.00000125
4,"Boundary","beginAnalysisUnit",,"posterior",-207.5,8.32e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-197.5,6.25e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-187.5,0.00000125
4,"Boundary","beginAnalysisUnit",,"posterior",-177.5,0.0000010431
4,"Boundary","beginAnalysisUnit",,"posterior",-167.5,0.0000016681
4,"Boundary","beginAnalysisUnit",,"posterior",-157.5,0.0000022932
4,"Boundary","beginAnalysisUnit",,"posterior",-147.5,4.181e-7
4,"Boundary","beginAnalysisUnit",,"posterior",-137.5,0.000001457
4,"Boundary","beginAnalysisUnit",,"posterior",-127.5,0.0000016681
4,"Boundary","beginAnalysisUnit",,"posterior",-117.5,0.000003332
4,"Boundary","beginAnalysisUnit",,"posterior",-107.5,0.0000018751
4,"Boundary","beginAnalysisUnit",,"posterior",-97.5,0.0000025001
4,"Boundary","beginAnalysisUnit",,"posterior",-87.5,0.00000125
4,"Boundary","beginAnalysisUnit",,"posterior",-77.5,0.0000010431
4,"Boundary","beginAnalysisUnit",,"posterior",-67.5,0.000002707
4,"Boundary","beginAnalysisUnit",,"posterior",-57.5,0.000002707
4,"Boundary","beginAnalysisUnit",,"posterior",-47.5,0.000003957
4,"Boundary","beginAnalysisUnit",,"posterior",-37.5,0.0000029182
4,"Boundary","beginAnalysisUnit",,"posterior",-27.5,0.0000016681
4,"Boundary","beginAnalysisUnit",,"posterior",-17.5,0.0000029182
4,"Boundary","beginAnalysisUnit",,"posterior",-7.5,0.000008332
4,"Boundary","beginAnalysisUnit",,"posterior",2.5,0.000005418
4,"Boundary","beginAnalysisUnit",,"posterior",12.5,0.000003543
4,"Boundary","beginAnalysisUnit",,"posterior",22.5,0.000005625
4,"Boundary","beginAnalysisUnit",,"posterior",32.5,0.000005832
4,"Boundary","beginAnalysisUnit",,"posterior",42.5,0.000004793
4,"Boundary","beginAnalysisUnit",,"posterior",52.5,0.000007918
4,"Boundary","beginAnalysisUnit",,"posterior",62.5,0.000006668
4,"Boundary","beginAnalysisUnit",,"posterior",72.5,0.000006457
4,"Boundary","beginAnalysisUnit",,"posterior",82.5,0.00000875
4,"Boundary","beginAnalysisUnit",,"posterior",92.5,0.000005207
4,"Boundary","beginAnalysisUnit",,"posterior",102.5,0.000008957
4,"Boundary","beginAnalysisUnit",,"posterior",112.5,0.000011875
4,"Boundary","beginAnalysisUnit",,"posterior",122.5,0.000009375
4,"Boundary","beginAnalysisUnit",,"posterior",132.5,0.000008957
4,"Boundary","beginAnalysisUnit",,"posterior",142.5,0.000012707
4,"Boundary","beginAnalysisUnit",,"posterior",152.5,0.000012919
4,"Boundary","beginAnalysisUnit",,"posterior",162.5,0.000011043
4,"Boundary","beginAnalysisUnit",,"posterior",172.5,0.000014169
4,"Boundary","beginAnalysisUnit",,"posterior",182.5,0.000014582
4,"Boundary","beginAnalysisUnit",,"posterior",192.5,0.000018751
4,"Boundary","beginAnalysisUnit",,"posterior",202.5,0.000014582
4,"Boundary","beginAnalysisUnit",,"posterior",212.5,0.000023958
4,"Boundary","beginAnalysisUnit",,"posterior",222.5,0.000029165
4,"Boundary","beginAnalysisUnit",,"posterior",232.5,0.000024165
4,"Boundary","beginAnalysisUnit",,"posterior",242.5,0.000025626
4,"Boundary","beginAnalysisUnit",,"posterior",252.5,0.000027083
4,"Boundary","beginAnalysisUnit",,"posterior",262.5,0.00003229
4,"Boundary","beginAnalysisUnit",,"posterior",272.5,0.00003271
4,"Boundary","beginAnalysisUnit",,"posterior",282.5,0.000030415
4,"Boundary","beginAnalysisUnit",,"posterior",292.5,0.00004896
