"index","op","name","z","type","value","probability"
4,"Boundary","beginAnalysisUnit",,"posterior",-905050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-904050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-903050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-902050,4.573e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-901050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-900050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-899050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-898050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-897050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-896050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-895050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-894050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-893050,4.573e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-892050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-891050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-890050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-889050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-888050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-887050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-886050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-885050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-884050,4.573e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-883050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-882050,9.528e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-881050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-880050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-879050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-878050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-877050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-876050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-875050,4.573e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-874050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-873050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-872050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-871050,9.528e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-870050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-869050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-868050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-867050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-866050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-865050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-864050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-863050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-862050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-861050,0
4,"Boundary","beginAnalysisUnit",,"posterior",-860050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-859050,2.2867e-10
4,"Boundary","beginAnalysisUnit",,"posterior",-858050,2.2867e-10
