"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
468027,"event",11014,11234,10794
468019,"event",12524,12704,12274
468036,"event",12834,12984,12694
468034,"event",1494,2684,604
468022,"event",12174,12434,11904
468020,"event",12424,12634,12144
468033,"event",12964,13104,12814
468015,"event",8774,9124,8464
468024,"event",12284,12524,12014
468037,"event",7664,7814,7514
468031,"event",8334,8444,8204
468026,"event",12614,12774,12404
468028,"event",6544,6664,6434
468023,"event",11414,11594,11264
468017,"event",9744,9904,9614
468029,"event",11494,11744,11264
468027,"bounds",NA,11684,10344
468019,"bounds",NA,13134,11854
468036,"bounds",NA,13284,12384
468034,"bounds",NA,4794,-1366
468022,"bounds",NA,12944,11384
468020,"bounds",NA,13064,11724
468033,"bounds",NA,13394,12534
468015,"bounds",NA,9794,7794
468024,"bounds",NA,12994,11534
468037,"bounds",NA,8164,7174
468031,"bounds",NA,8714,7944
468026,"bounds",NA,13204,11974
468028,"bounds",NA,6924,6174
468023,"bounds",NA,11914,10944
468017,"bounds",NA,10194,9344
468029,"bounds",NA,12254,10754
