"","collid","ndb.analysisunits.analysisunitid","ndb.analysisunits.analysisunitname","agemodel","ndb.chroncontrols.age","ndb.chroncontrols.agelimitolder","ndb.chroncontrols.agelimityounger","notes","ndb.chroncontrols.chroncontroltypeid","ndb.collections.collectionunitid","rerun.&amp;.check","ndb.chroncontrols.notes","TEMP_chronid"
"21",4437,80110,"Assemblage","event",NA,28502,1292,"full range of dated units in collection",80,4437,FALSE,"inferred: full range of dated units in collection",NA
"22",4437,80110,"Assemblage","bounds",NA,30082,-75,"full range of dated units in collection",80,4437,FALSE,"inferred: full range of dated units in collection",NA
"23",4437,80111,"Front Occupation","event",NA,12317,1292,"above Hearth II and III",23,4437,FALSE,"inferred: above Hearth II and III",NA
"24",4437,80111,"Front Occupation","bounds",NA,11002,-75,"above Hearth II and III",23,4437,FALSE,"inferred: above Hearth II and III",NA
"25",4437,80112,"Glacial Black Bone Level","event",NA,35000,13687,"below Hearth II and III; biostratigraphically <35ka",37,4437,FALSE,"inferred: below Hearth II and III; biostratigraphically &lt;35ka",NA
"26",4437,80112,"Glacial Black Bone Level","bounds",NA,35000,14912,"below Hearth II and III; biostratigraphically <35ka",37,4437,FALSE,"inferred: below Hearth II and III; biostratigraphically &lt;35ka",NA
"27",4437,80115,"Main Occupation","event",NA,12317,1292,"above Hearth II and III",23,4437,FALSE,"inferred: above Hearth II and III",NA
"28",4437,80115,"Main Occupation","bounds",NA,11002,-75,"above Hearth II and III",23,4437,FALSE,"inferred: above Hearth II and III",NA
"29",4437,80116,"Upper Occupation","event",NA,12317,1292,"above Hearth II and III",23,4437,FALSE,"inferred: above Hearth II and III",NA
"30",4437,80116,"Upper Occupation","bounds",NA,11002,-75,"above Hearth II and III",23,4437,FALSE,"inferred: above Hearth II and III",NA
"69",4457,80166,"Stratum A","event",NA,997,200,"above rest of unit, below end of Dietrich Phase",37,4457,FALSE,"inferred: above rest of unit, below end of Dietrich Phase",NA
"70",4457,80166,"Stratum A","bounds",NA,997,200,"above rest of unit, below end of Dietrich Phase",37,4457,FALSE,"inferred: above rest of unit, below end of Dietrich Phase",NA
"71",4457,80171,"Stratum D","event",NA,25842,18867,"above Stratum E, below all others",23,4457,FALSE,"inferred: above Stratum E, below all others",NA
"72",4457,80171,"Stratum D","bounds",NA,19377,19272,"above Stratum E, below all others",23,4457,FALSE,"inferred: above Stratum E, below all others",NA
"81",4472,80216,"Below Level 15","event",NA,35000,14202,"below Level 15, above 35ka",37,4472,FALSE,"inferred: below Level 15, above 35ka",NA
"82",4472,80216,"Below Level 15","bounds",NA,35000,15467,"below Level 15, above 35ka",37,4472,FALSE,"inferred: below Level 15, above 35ka",NA
"83",4472,80217,"Level 1","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"84",4472,80217,"Level 1","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"85",4472,80219,"Level 11","event",NA,13047,6512,"between Levels 10 and 13-15",23,4472,FALSE,"inferred: between Levels 10 and 13-15",NA
"86",4472,80219,"Level 11","bounds",NA,11777,7732,"between Levels 10 and 13-15",23,4472,FALSE,"inferred: between Levels 10 and 13-15",NA
"87",4472,80220,"Level 12","event",NA,13047,6512,"between Levels 10 and 13-15",23,4472,FALSE,"inferred: between Levels 10 and 13-15",NA
"88",4472,80220,"Level 12","bounds",NA,11777,7732,"between Levels 10 and 13-15",23,4472,FALSE,"inferred: between Levels 10 and 13-15",NA
"89",4472,80221,"Level 13","event",13577,14202,13047,"same as Level 13-15",112,4472,FALSE,"inferred: same as Level 13-15",NA
"90",4472,80221,"Level 13","bounds",NA,15467,11777,"same as Level 13-15",112,4472,FALSE,"inferred: same as Level 13-15",NA
"91",4472,80223,"Level 14","event",13577,14202,13047,"same as Level 13-15",112,4472,FALSE,"inferred: same as Level 13-15",NA
"92",4472,80223,"Level 14","bounds",NA,15467,11777,"same as Level 13-15",112,4472,FALSE,"inferred: same as Level 13-15",NA
"93",4472,80224,"Level 15","event",13577,14202,13047,"same as Level 13-15",112,4472,FALSE,"inferred: same as Level 13-15",NA
"94",4472,80224,"Level 15","bounds",NA,15467,11777,"same as Level 13-15",112,4472,FALSE,"inferred: same as Level 13-15",NA
"95",4472,80225,"Level 2","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"96",4472,80225,"Level 2","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"97",4472,80226,"Level 3","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"98",4472,80226,"Level 3","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"99",4472,80227,"Level 4","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"100",4472,80227,"Level 4","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"101",4472,80228,"Level 5","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"102",4472,80228,"Level 5","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"103",4472,80229,"Level 6","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"104",4472,80229,"Level 6","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"105",4472,80230,"Level 7","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"106",4472,80230,"Level 7","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"107",4472,80231,"Level 8","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"108",4472,80231,"Level 8","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"109",4472,80232,"Level 9","event",NA,5417,3642,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"110",4472,80232,"Level 9","bounds",NA,4192,0,"above Level 10, below surface",23,4472,FALSE,"inferred: above Level 10, below surface",NA
"517",5388,81635,"Stratum I","event",NA,10000,4727,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"518",5388,81635,"Stratum I","bounds",NA,10000,5107,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"519",5388,81636,"Stratum II","event",NA,10000,4727,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"520",5388,81636,"Stratum II","bounds",NA,10000,5107,"below Stratum III, Holocene",37,5388,FALSE,"inferred: below Stratum III, Holocene",NA
"521",5388,81637,"Stratum III 0-10cm","event",NA,77,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"522",5388,81637,"Stratum III 0-10cm","bounds",NA,-75,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"523",5388,81638,"Stratum III 10-20cm","event",NA,77,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"524",5388,81638,"Stratum III 10-20cm","bounds",NA,-75,-75,"above Stratum III 20-30cm",23,5388,FALSE,"inferred: above Stratum III 20-30cm",NA
"525",5388,81640,"Stratum III 30-40cm","event",NA,3042,327,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"526",5388,81640,"Stratum III 30-40cm","bounds",NA,2707,557,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"527",5388,81641,"Stratum III 40-50cm","event",NA,3042,327,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"528",5388,81641,"Stratum III 40-50cm","bounds",NA,2707,557,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
"529",5388,81642,"Stratum III 50-60cm","event",NA,3042,327,"between Stratum III 20-30cm and Stratum III 60-70cm",23,5388,FALSE,"inferred: between Stratum III 20-30cm and Stratum III 60-70cm",NA
